Linie ,9608 ,9608 ,9612 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608 ,9608
Fahrtnummer ,003 ,001 ,025 ,007 ,103 ,005 ,009 ,051 ,013 ,019 ,017 ,023 ,025 ,039 ,027 ,015 ,029 ,011 ,031 ,049 ,037 ,043
Haltestellen ,S ,S ,F ,S ,F ,"","","","","","","","",S ,"","","","","","","",S 
Anschlußhinweis,"","","","","","","","","","","","","","","","","","","","","",""
Bus aus Oberammergau an ,"","","","","",7.30 ,"",8.12 ,"",9.17 ,"","",11.55 ,"",12.43 ,"",S 13.46 ,"",15.16 ,"","",16.15
Zug aus München an ,"","","","","",7.21 ,7.54 ,7.54 ,8.54 ,"",9.54 ,10.54 ,11.54 ,"",12.54 ,"",13.54 ,"",14.54 ,"",15.55,""
Garmisch-Partenkirchen Bahnhof ab ,5.46 ,"","","",6.18 ,7.35 ,8.00 ,8.15 ,9.00 ,9.30 ,10.02 ,11.10 ,12.03 ,"",J 13.05 ,"",14.02 ,"",15.20 ,"",16.02 ,16.40
Garmisch-Partenk. Rathaus ,5.50 ,"","","",6.22 ,7.39 ,8.04 ,8.19 ,9.04 ,9.32 ,10.06 ,11.12 ,12.07 ,"",13.09 ,"",14.06 ,"",15.24 ,"",16.06 ,16.44
Partenkirchen Haupt-/Dr.Wigger-Str ,5.51 ,"","","",6.23 ,7.40 ,8.05 ,8.20 ,9.05 ,9.33 ,10.07 ,11.13 ,12.08 ,"",13.10 ,"",14.07 ,"",15.25 ,"",16.07 ,16.45
Partenkirchen Mittenwalder Straße ,5.52 ,"","","",6.24 ,7.41 ,8.06 ,8.21 ,9.06 ,9.34 ,10.08 ,11.14 ,12.09 ,"",13.11 ,"",14.08 ,"",15.26 ,"",16.08 ,16.46
Partenkirchen Alpenstraße ,5.53 ,"","","",6.25 ,7.42 ,8.07 ,8.22 ,9.07 ,9.35 ,10.09 ,11.15 ,12.10 ,"",13.12 ,"",14.09 ,"",15.27 ,"",16.09 ,16.47
Partenkirchen Abzw. Wildenauerstr. ,5.53 ,"","","",6.25 ,7.42 ,8.07 ,8.22 ,9.07 ,9.35 ,10.09 ,11.15 ,12.10 ,"",13.12 ,"",14.09 ,"",15.27 ,"",16.09 ,16.47
Anzlesau ,5.54 ,"","","",6.27 ,7.44 ,8.08 ,8.24 ,9.08 ,9.36 ,10.10 ,11.16 ,12.11 ,"",13.13 ,"",14.10 ,"",15.28 ,"",16.10 ,16.49
Schlattan ,5.55 ,"","","",6.28 ,7.45 ,8.09 ,8.25 ,9.09 ,9.37 ,10.11 ,11.17 ,12.12 ,"",13.14 ,"",14.11 ,"",15.29 ,"",16.11 ,16.50
Kaltenbrunn Gasth. ,5.57 ,"","","",6.30 ,7.47 ,8.11 ,8.27 ,9.11 ,9.39 ,10.13 ,11.19 ,12.14 ,"",13.16 ,"",14.13 ,"",15.31 ,"",16.13 ,16.52
Gerold Abzw. ,6.00 ,"","","",6.32 ,7.49 ,8.14 ,8.30 ,9.14 ,9.42 ,10.16 ,11.22 ,12.17 ,"",13.19 ,"",14.16 ,"",15.34 ,"",16.16 ,16.55
Klais Bahnhof ,6.04 ,"","","",6.37 ,7.54 ,8.19 ,8.35 ,9.19 ,9.47 ,10.21 ,11.27 ,Y 12.22 ,"",13.24 ,"",14.21 ,"",15.39 ,"",16.21 ,17.00
Barmsee ,6.07 ,"","","","","",8.23 ,"",9.23 ,"",10.25 ,"",12.26 ,"",13.28 ,"",14.25 ,"",15.43 ,"",16.25,""
Bärnbichl ,6.08 ,"","","","","",8.24 ,"",9.24 ,"",10.26 ,"",12.27 ,"",13.29 ,"",14.26 ,"",15.44 ,"",16.26,""
Schmalensee ,"","","","",6.41 ,7.58 ,"",8.40 ,"",9.52 ,"",11.32 ,"","","","","","","","","",17.05
Mittenwald Partenkirchner Straße ,"","","","",6.44 ,8.01 ,"",8.43 ,"",9.56 ,"",11.36 ,"","","","","","","","","",17.08
Mittenwald Geigenbauschule ,"","","","",6.45 ,8.02 ,"",8.44 ,"",9.57 ,"",11.37 ,"","","","","","","","","",17.09
Mittenwald Bahnhof an ,"","","","",6.46 ,8.03 ,"",8.46 ,"",10.00 ,"",11.40 ,"","","","","","","","","",17.11
Anschlußhinweis,"","","","","","","","","","","","","","","","","","","","","",""
Bus nach Seefeld (über Leutasch) ab ,"","","","","","","",9.08 ,"",10.48,"","","","","","","","","","","",""
Bus nach Seefeld (über Scharnitz) ab ,"","","","","","","",9.03,"","","","","","","","","","","","","",""
Bus aus Seefeld (über Leutasch) an ,"","","","","","","","","","","",11.03 ,"","","",13.13 ,"",15.08,"","","",""
Bus aus Seefeld (über Scharnitz) an ,"","","","","","","","","","","","","","","","","",14.48,"","","",""
Mittenwald Bahnhof ab ,"","","",6.45 ,6.47 ,8.05 ,"",8.46 ,"",10.04 ,"",11.45 ,"","","",14.00 ,"",15.10 ,"",16.00,"",""
Mittenwald Geigenbauschule ,"","","",6.47 ,6.49 ,8.07 ,"",8.47 ,"",10.06 ,"",11.47 ,"","","",14.02 ,"",15.12 ,"",16.02,"",""
