Fahrtnummer ,003 ,005 ,105 ,007 ,009 ,011 ,"",213 ,215 ,219 ,017 ,021 ,023 ,121 ,025 ,125 ,029 ,129 ,231 ,233 ,135 ,037 ,239 ,041 ,043 ,045 ,"",313 ,319 ,331 ,337 ,839
Haltestellen ,"",S ,F ,S ,S ,"","","","","","",S ,S ,F ,S ,F ,S ,F ,H ,"",F ,"","","","","","","","","","",""
Anschlußhinweis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bus aus Bad Tölz an ,"",6.43 ,6.43 ,"",6.43 ,"","",9.01 ,"",10.48 ,"","","","","",12.48 ,"","",F 13.48 ,S 14.04 ,"","",16.48 ,17.48 ,"",19.13 ,"","","",13.44 ,15.44 ,17.44
Bus aus Garmisch-Partenk. an ,"",6.49 ,"","",6.49 ,"","",9.05 ,"",11.06 ,"","","","","","","","","",14.09 ,"",15.06 ,"",17.06 ,18.04 ,"","",9.04 ,10.35 ,13.35 ,15.35 ,17.35
Zug aus Tutzing/München an ,"",6.36 ,7.06 ,"",7.06 ,"","",9.07 ,10.08 ,11.08 ,"","","","","","","","",13.46 ,14.12 ,"",15.08 ,16.38 ,17.08 ,18.08 ,19.08 ,"",9.08 ,11.08 ,14.07 ,15.08 ,17.08
Kochel Bahnhof ab ,6.00 ,7.00 ,7.15 ,"",7.22 ,"","",9.13 ,10.15 ,11.20 ,"","","","",12.36 ,12.52 ,"","",13.49 ,14.25 ,"",15.50 ,16.53 ,17.53 ,18.20 ,19.35 ,"",9.15 ,11.15 ,14.15 ,15.48 ,17.48
Kochel Gh. Schmied von Kochel ,6.01 ,7.01 ,7.16 ,"",7.23 ,"","",9.14 ,10.16 ,11.21 ,"","","","",12.37 ,12.53 ,"","",13.50 ,14.26 ,"",15.51 ,16.54 ,17.54 ,18.21 ,19.36 ,"",9.16 ,11.16 ,14.16 ,15.49 ,17.49
Kochel Loisachbrücke (Trimini) ,6.02 ,7.02 ,7.17 ,"",7.24 ,"","",9.15 ,10.17 ,11.22 ,"","","","",12.38 ,12.54 ,"","",13.51 ,14.27 ,"",15.52 ,16.55 ,17.55 ,18.22 ,19.37 ,"",9.17 ,11.17 ,14.17 ,15.50 ,17.50
Schlehdorf Post ,6.05 ,7.05 ,7.20 ,"",7.28 ,"","",9.18 ,10.20 ,11.26 ,"","",12.34 ,"",12.43 ,12.57 ,"","",13.54 ,14.30 ,"",15.56 ,16.58 ,17.58 ,18.26 ,19.41 ,"",9.20 ,11.20 ,14.20 ,15.53 ,17.53
Großweil Rathaus ,6.08 ,7.08 ,7.23 ,"",7.31 ,"","",9.21 ,10.23 ,11.29 ,"","",12.37 ,"",12.49 ,13.00 ,"","",13.57 ,14.33 ,"",15.59 ,17.01 ,18.01 ,18.29 ,19.44 ,"",9.23 ,11.23 ,14.23 ,15.56 ,17.56
Glentleiten Freilichtmuseum ,"","","","","","",Y ,9.25 ,Y 10.27 ,11.33 ,"","","","","","","","",14.01 ,14.37 ,"","",17.05 ,"","","",Y ,9.27 ,11.27 ,14.27 ,16.00,""
Großweil Bergwerk ,6.10 ,7.10 ,7.25 ,"",7.32 ,"","",9.29 ,10.31 ,11.37 ,"","",12.39 ,"",12.50 ,13.01 ,"","",14.05 ,14.41 ,"",16.01 ,17.09 ,18.03 ,18.30 ,19.45 ,"",9.31 ,11.31 ,14.31 ,16.04 ,17.58
Abzw. Glentleiten ,6.11 ,7.11 ,7.26 ,"",7.33 ,"","",9.30 ,10.32 ,11.38 ,"","",12.40 ,"",12.51 ,13.02 ,"","",14.06 ,14.42 ,"",16.02 ,17.10 ,18.04 ,18.31 ,19.46 ,"",9.32 ,11.32 ,14.32 ,16.05 ,17.59
Abzw. Kreuth ,6.12 ,7.12 ,7.27 ,"",7.34 ,"","",9.31 ,10.33 ,11.39 ,"","",12.41 ,"",12.52 ,13.03 ,"","",14.07 ,14.43 ,"",16.03 ,17.11 ,18.05 ,18.32 ,19.47 ,"",9.33 ,11.33 ,14.33 ,16.06 ,18.00
Schwaiganger ,6.14 ,7.14 ,7.29 ,"",7.36 ,"","",9.33 ,10.35 ,11.41 ,"","",12.43 ,"",12.54 ,13.05 ,"","",14.09 ,14.45 ,"",16.05 ,17.12 ,18.07 ,18.34 ,19.49 ,"",9.35 ,11.34 ,14.35 ,16.07 ,18.02
Ohlstadt Ortsmitte ,"","","","","","","","","","",12.04 ,12.44 ,"",12.51 ,"","",13.35 ,13.51 ,"","",14.56,"","","","","","","","","","",""
Schwaiganger Abzw. Ohlstadt ,"",7.15 ,7.30 ,7.20 ,"","","",9.34 ,10.36 ,11.42 ,12.06 ,12.46 ,12.44 ,12.53 ,"",13.06 ,13.37 ,13.53 ,14.10 ,14.46 ,14.58 ,16.06 ,"",18.08 ,"","","",9.36 ,"",14.36 ,"",18.03
Achrain ,6.15 ,"","","",7.37 ,"","","","","",12.08 ,12.48 ,"",12.55 ,12.55 ,"",13.39 ,13.55 ,"","",15.00 ,"",17.13 ,"",18.35 ,19.50 ,"","",11.35 ,"",16.08,""
Abzw. Mühlhagen ,6.16 ,"","","",7.38 ,"","","","","",12.09 ,12.49 ,"",12.56 ,12.56 ,"",13.40 ,13.56 ,"","",15.01 ,"",17.14 ,"",18.36 ,19.51 ,"","",11.36 ,"",16.09,""
Murnau Unfallklinik ,6.17 ,"","","",7.40 ,"","","","","",12.10 ,12.50 ,"",12.57 ,12.57 ,"",13.41 ,13.57 ,"","",15.02 ,"",17.16 ,"",18.37 ,19.52 ,"","",11.38 ,"",16.11,""
Murnau Kreiskrankenhaus ,6.18 ,"","","","","","","","","",12.11 ,12.51 ,"",12.58 ,12.58 ,"",13.42 ,13.58 ,"","",15.03 ,"",17.17 ,"",18.38 ,19.53 ,"","",11.39 ,"",16.12,""
Murnau Seidlstraße ,6.19 ,"","","","","","","","","",12.12 ,12.52 ,"",12.59 ,13.00 ,"",13.43 ,13.59 ,"","",15.04 ,"",17.18 ,"",18.39 ,19.54 ,"","",11.40 ,"",16.13,""
Ohlstadt Ortsmitte ,"",7.19 ,7.33 ,7.23 ,"",8.55 ,"",9.37 ,10.39 ,11.45 ,"","",12.47 ,"","",13.09 ,"","",14.13 ,14.49 ,"",16.09 ,"",18.11 ,"","","",9.38 ,"",14.38 ,"",18.06
Ohlstadt Abzw. Bahnhof ,"",7.22 ,7.34 ,7.25 ,"",8.56 ,"",9.38 ,10.40 ,11.46 ,"","",12.48 ,"","",13.10 ,"","",14.14 ,14.50 ,"",16.10 ,"",18.12 ,"","","",9.40 ,"",14.40 ,"",18.07
Hechendorf Süd ,6.24 ,"",7.39 ,7.30 ,"",9.01 ,"",9.43 ,10.45 ,11.51 ,"","",12.53 ,"","",13.15 ,"","",14.19 ,14.55 ,"",16.15 ,"",18.17 ,"","","",9.45 ,"",14.45 ,"",18.12
Hechendorf Gasthof Salcher ,6.25 ,"",7.40 ,7.31 ,"",9.02 ,"",9.44 ,10.46 ,11.52 ,"","",12.54 ,"","",13.16 ,"","",14.20 ,14.56 ,"",16.16 ,"",18.18 ,"","","",9.46 ,"",14.46 ,"",18.13
Hechendorf Nord ,6.27 ,"",7.41 ,7.32 ,"",9.03 ,"",9.45 ,10.47 ,11.53 ,"","",12.55 ,"","",13.17 ,"","",14.21 ,14.57 ,"",16.17 ,"",18.19 ,"","","",9.47 ,"",14.47 ,"",18.14
Murnau Burggraben ,6.30 ,7.30 ,7.42 ,7.34 ,"",9.05 ,"",9.46 ,10.50 ,11.56 ,12.13 ,12.53 ,12.58 ,13.00 ,13.02 ,13.19 ,13.44 ,14.00 ,14.22 ,14.58 ,15.05 ,16.19 ,17.19 ,18.20 ,18.40 ,19.55 ,"",9.49 ,11.41 ,14.49 ,16.14 ,18.16
Murnau Postamt ,6.32 ,7.33 ,7.43 ,7.36 ,"",9.07 ,"",9.47 ,10.51 ,11.58 ,12.15 ,12.55 ,13.00 ,13.02 ,13.04 ,13.21 ,13.46 ,14.02 ,14.23 ,14.59 ,15.07 ,16.21 ,17.21 ,18.21 ,18.42 ,19.57 ,"",9.50 ,11.43 ,14.50 ,16.16 ,18.17
Murnau Weindorfer Str. ,"",7.38 ,"",7.40,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Murnau Sollerstr. ,"",7.40 ,"",7.42 ,7.43,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
Murnau Grundschule ,"","","",7.44,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Murnau Bahnhof an ,6.40 ,7.47 ,7.46 ,7.52 ,"",9.10 ,"",9.50 ,10.54 ,12.01 ,12.18 ,12.58 ,13.03 ,13.05 ,13.08 ,13.24 ,13.49 ,14.05 ,14.26 ,15.02 ,15.10 ,16.24 ,17.24 ,18.24 ,18.45 ,20.00 ,"",9.54 ,11.47 ,14.54 ,16.20 ,18.21
Anschlußhinweis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Zug nach München ab ,6.55 ,7.59 ,7.59 ,7.59 ,"",9.32 ,"",10.33 ,11.32 ,12.32 ,12.32 ,13.32 ,13.32 ,13.32 ,13.32 ,13.32 ,14.32 ,14.32 ,14.32 ,15.32 ,15.32 ,16.31 ,17.32 ,18.33 ,19.33 ,20.31 ,"",10.33 ,12.32 ,15.31 ,16.31 ,18.33
Zug nach Garmisch-Partenk. ab ,6.52 ,8.28 ,8.28 ,8.28 ,"",9.28 ,"",10.28 ,11.28 ,12.28 ,12.28 ,13.28 ,13.28 ,13.28 ,13.28 ,13.28 ,14.28 ,14.28 ,"",15.28 ,15.28 ,16.28 ,17.28 ,18.28 ,19.03 ,20.28 ,"",10.02 ,12.28 ,15.28 ,16.28 ,18.28
Fahrtnummer ,002 ,004 ,904 ,006 ,008 ,010 ,012 ,"",214 ,216 ,118 ,018 ,020 ,022 ,028 ,120 ,122 ,024 ,226 ,128 ,532 ,030 ,032 ,134 ,536 ,236 ,548 ,046 ,038 ,040 ,042 ,044 ,340 ,316 ,322 ,334 ,338
Haltestellen ,"",S ,S ,"",S ,"","","","","",F ,S 99 ,S ,S 99 ,S ,F ,F ,S 99 ,"",F ,F ,S 99 ,S ,F ,F ,S 99 ,F ,S ,"","","","","","","","",""
Anschlußhinweis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Zug aus München an ,6.04 ,6.04 ,6.04 ,"","",8.27 ,8.27 ,"",9.27 ,10.27 ,11.27 ,11.27 ,11.27 ,"","","",12.27 ,12.27 ,12.27 ,13.27 ,13.27 ,13.27 ,14.27 ,14.27 ,"",15.27 ,15.27 ,"",16.27 ,17.27 ,18.27 ,18.53 ,7.27 ,10.01 ,12.27 ,14.27 ,16.2
Zug aus Garmisch-Partenk. an ,5.54 ,6.26 ,6.26 ,6.47 ,"",8.31 ,8.31 ,"",9.31 ,10.32 ,11.31 ,11.31 ,11.31 ,"","","",12.31 ,12.50 ,12.50 ,13.31 ,13.31 ,13.31 ,14.31 ,14.31 ,"",15.31 ,15.31 ,"",16.30 ,17.31 ,"",18.32 ,7.31 ,9.31 ,12.31 ,14.31 ,16.3
Murnau Bahnhof ab ,6.16 ,6.40 ,6.40 ,6.55 ,"",8.35 ,8.40 ,"",9.35 ,10.35 ,11.34 ,11.35 ,12.05 ,12.15 ,"",12.20 ,12.34 ,13.02 ,13.05 ,13.35 ,13.52 ,13.52 ,14.34 ,14.40 ,15.15 ,15.35 ,16.00 ,"",16.34 ,17.35 ,18.34 ,19.06 ,7.35 ,10.05 ,12.35 ,15.00 ,16.5
Murnau Weindorfer Str. ,"","","","","","","","","","","",11.40 ,"",12.20 ,12.20 ,"","",13.07 ,13.10 ,"","","",14.39 ,"","",15.25,"","","","","","","","","","",""
Murnau Sollerstr. ,"","","","",7.46 ,"","","","","","",11.42 ,"",12.22 ,12.22 ,"","",13.09 ,13.12 ,"","","",14.40 ,"","",15.28,"","","","","","","","","","",""
Murnau Grundschule ,"","","","","","","","","","","",11.45 ,"",12.25 ,"","","",13.12,"","","","","","","","","","","","","","","","","","",""
Murnau UKM/Schwaigangerstr. ,"","","","","","","","","","","",11.47 ,"",12.27 ,"","","",13.16,"","","","","","","","","","","","","","","","","","",""
Murnau Postamt ,6.18 ,6.42 ,6.43 ,6.57 ,"",8.37 ,8.43 ,"",9.37 ,10.37 ,11.36 ,"",12.09 ,"","",12.24 ,12.36 ,"","",13.37 ,13.54 ,"",14.45 ,14.42 ,15.18 ,15.38 ,16.02 ,"",16.37 ,17.37 ,18.36 ,19.08 ,7.37 ,10.07 ,12.37 ,15.02 ,16.5
Murnau Burggraben ,6.19 ,6.43 ,6.45 ,6.59 ,"",8.38 ,8.45 ,"",9.39 ,10.39 ,11.37 ,"",12.10 ,"","",12.25 ,12.38 ,"","",13.38 ,13.56 ,"",14.47 ,14.43 ,15.19 ,15.39 ,16.04 ,"",16.39 ,17.38 ,18.37 ,19.10 ,7.39 ,10.09 ,12.39 ,15.04 ,16.5
Murnau Seidlstraße ,"","",6.46 ,7.01 ,"","",8.47 ,"",9.41 ,"","",11.50 ,12.12 ,12.30 ,"",12.27 ,"",13.19 ,"","",13.58 ,14.04 ,14.49 ,"","","","","",16.41 ,"","",19.12 ,"",10.11 ,"",15.06,""
Murnau Kreiskrankenhaus ,"","",6.47 ,7.02 ,"","",8.48 ,"",9.42 ,"","",11.48 ,12.13 ,12.28 ,"",12.28 ,"",13.17 ,"","",13.59 ,14.05 ,14.50 ,"","","","","",16.42 ,"","",19.13 ,"",10.12 ,"",15.07,""
Murnau Unfallklinik ,"","",6.48 ,7.03 ,7.49 ,"",8.49 ,"",9.43 ,"","","",12.14 ,"",12.25 ,12.29 ,"","",13.15 ,"",14.00 ,14.06 ,14.51 ,"","","","","",16.43 ,"","",19.14 ,"",10.13 ,"",15.08,""
Abzw. Mühlhagen ,"","",6.49 ,7.04 ,7.50 ,"",8.50 ,"",9.44 ,"","","",12.15 ,"",12.26 ,12.30 ,"","",13.16 ,"",14.01 ,14.07 ,14.52 ,"","","","","",16.44 ,"","",19.15 ,"",10.14 ,"",15.09,""
Achrain ,"","",6.50 ,7.05 ,7.51 ,"",8.51 ,"",9.45 ,"","","",12.16 ,"",12.27 ,12.31 ,"","",13.17 ,"",14.02 ,14.08 ,14.53 ,"","","","","",16.45 ,"","",19.16 ,"",10.15 ,"",15.10,""
Schwaiganger Abzw. Ohlstadt ,"","","","","","",8.52,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hechendorf Nord ,6.22 ,6.46 ,"","","",8.41 ,"","","",10.42 ,11.40 ,11.52 ,"",12.32 ,"","",12.41 ,13.22 ,"",13.41 ,"",13.59 ,"",14.46 ,15.22 ,15.42 ,16.07 ,"","",17.41 ,18.40 ,"",7.42 ,"",12.42 ,"",17.0
Hechendorf Gasthof Salcher ,6.23 ,6.47 ,"","","",8.42 ,"","","",10.43 ,11.41 ,11.53 ,"",12.33 ,"","",12.42 ,13.23 ,"",13.42 ,"",14.00 ,"",14.47 ,15.23 ,15.43 ,16.08 ,"","",17.42 ,18.41 ,"",7.43 ,"",12.43 ,"",17.0
Hechendorf Süd ,6.24 ,6.48 ,"","","",8.43 ,"","","",10.44 ,11.42 ,11.55 ,"",12.35 ,"","",12.43 ,13.25 ,"",13.43 ,"",14.01 ,"",14.48 ,15.24 ,15.44 ,16.09 ,"","",17.43 ,18.42 ,"",7.44 ,"",12.44 ,"",17.0
Ohlstadt Abzw. Bahnhof ,6.29 ,6.53 ,"","","",8.48 ,"","","",10.49 ,11.47 ,12.01 ,"",12.41 ,"","",12.48 ,13.31 ,"",13.48 ,"","","",14.53 ,15.29 ,15.49 ,16.14 ,"","",17.48 ,18.47 ,"",7.49 ,"",12.49 ,"",17.0
Ohlstadt Ortsmitte ,6.31 ,6.55 ,"","","",8.50 ,8.55 ,"","",10.51 ,11.49 ,12.03 ,"",12.43 ,"","",12.50 ,13.34 ,"",13.50 ,"","","",14.55 ,15.31 ,15.51 ,16.16 ,"","",17.50 ,18.49 ,"",7.51 ,"",12.51 ,"",17.1
Schwaiganger Abzw. Ohlstadt ,6.34 ,6.58 ,"","","",8.53 ,"","","",10.54 ,"","","","","","","","","","","","","","",15.33 ,15.53 ,16.19 ,"","",17.53 ,18.52 ,"",7.54 ,"",12.54 ,"",17.1
Schwaiganger ,6.35 ,6.59 ,6.51 ,7.06 ,7.52 ,8.54 ,"","",9.46 ,10.55 ,"","",12.17 ,"",12.28 ,12.32 ,"","",13.18 ,"",14.03 ,14.09 ,14.54 ,"",15.34 ,15.54 ,16.20 ,"",16.46 ,17.54 ,18.53 ,19.17 ,7.55 ,10.16 ,12.55 ,15.11 ,17.1
Abzw. Kreuth ,6.36 ,7.00 ,"",7.07 ,7.53 ,8.55 ,"","",9.47 ,10.57 ,"","",12.18 ,"",12.29 ,12.33 ,"","",13.19 ,"",14.05 ,14.10 ,14.56 ,"",15.35 ,15.55 ,16.21 ,"",16.48 ,17.55 ,18.54 ,19.18 ,7.56 ,10.18 ,12.56 ,15.13 ,17.1
Abzw. Glentleiten ,6.37 ,7.01 ,"",7.08 ,7.54 ,8.56 ,"","",9.48 ,10.58 ,"","",12.19 ,"",12.30 ,12.34 ,"","",13.20 ,"",14.06 ,14.11 ,14.57 ,"",15.36 ,15.56 ,16.22 ,"",16.49 ,17.56 ,18.55 ,19.19 ,7.57 ,10.19 ,12.57 ,15.14 ,17.1
Großweil Bergwerk ,6.38 ,7.02 ,6.54 ,7.09 ,7.55 ,8.57 ,"","",9.49 ,11.00 ,"","",12.20 ,"",12.31 ,12.35 ,"","",13.21 ,"",14.08 ,14.12 ,14.59 ,"",15.38 ,15.58 ,16.23 ,"",16.51 ,17.57 ,18.56 ,19.20 ,7.58 ,10.21 ,12.58 ,15.16 ,17.1
Großweil Schule ,"","","","","","","",Y ,9.50 ,Y 11.01 ,"","","","","","","","",13.22 ,"",14.09 ,"","","",15.39 ,15.59 ,16.24 ,"","","","","","",Y 10.22 ,12.59 ,15.17 ,17.1
Glentleiten Freilichtmuseum ,"","","","","","","",Y ,9.52 ,Y 11.03 ,"","","","","","","","",13.24 ,"",14.11 ,"","","",15.41 ,16.01 ,16.26 ,16.27 ,"","","","","",Y 10.24 ,13.01 ,15.19 ,17.2
Großweil Rathaus ,6.40 ,7.04 ,6.55 ,7.11 ,7.57 ,8.59 ,"","",9.56 ,11.07 ,"","",12.22 ,"",12.33 ,12.37 ,"","",13.28 ,"",14.15 ,14.13 ,15.00 ,"",15.45 ,16.05 ,16.30 ,16.31 ,16.53 ,17.59 ,18.58 ,19.22 ,7.59 ,10.28 ,13.05 ,15.23 ,17.2
Schlehdorf Post ,6.43 ,7.07 ,7.00 ,7.14 ,8.00 ,9.02 ,"","",9.59 ,11.10 ,"","",12.25 ,"",12.37 ,12.40 ,"","",13.31 ,"",14.18 ,14.16 ,15.03 ,"",15.48 ,16.08 ,16.33 ,16.34 ,16.56 ,18.02 ,19.01 ,19.25 ,8.02 ,10.31 ,13.08 ,15.26 ,17.2
