,2,,,,,,,,,,,,,,,,,
Partenkirchen Gemeindewerke,,,08:50:00,,09:30:00,,,,,,,,,,,,,
Partenkirchen Altenheim Ri S,,,8:52,,9:32,,,,,,,,,,,,,
Partenkirchen Dr Gazert Straße Ri S,,,8:53,,9:33,,,,,,,,,,,,,
Partenkirchen Klinikum,07:00:00,08:15:00,,09:00:00,,09:50:00,10:30:00,11:15:00,12:00:00,12:45:00,13:31:00,14:15:00,14:57:00,15:42:00,16:05:00,16:30:00,16:55:00,17:15:00
Partenkirchen Skistadion Ri W,07:01:00,08:16:00,,09:01:00,,09:51:00,10:31:00,11:16:00,12:01:00,12:46:00,13:32:00,14:16:00,14:58:00,15:43:00,16:06:00,16:31:00,16:56:00,17:16:00
Partenkirchen Abzw Wildenauer Straße Ri N,07:02:00,08:17:00,,09:02:00,,09:52:00,10:32:00,11:17:00,12:02:00,12:47:00,13:33:00,14:17:00,14:59:00,15:44:00,16:07:00,16:32:00,16:57:00,17:17:00
Partenkirchen Alpenstraße Ri W,07:02:00,08:18:00,,09:03:00,,09:53:00,10:33:00,11:17:00,12:03:00,12:48:00,13:34:00,14:18:00,15:00:00,15:45:00,16:08:00,16:33:00,16:58:00,17:18:00
Partenkirchen Mittenwalder Straße Ri W,07:03:00,08:19:00,,09:04:00,,09:54:00,10:34:00,11:19:00,12:04:00,12:49:00,13:35:00,14:19:00,15:01:00,15:46:00,16:09:00,16:34:00,16:59:00,17:19:00
Partenkirchen Haupt / Dr Wigger Straße Ri W,07:04:00,08:20:00,,09:05:00,,09:55:00,10:35:00,11:20:00,12:05:00,12:50:00,13:36:00,14:20:00,15:02:00,15:47:00,16:10:00,16:35:00,17:00:00,17:20:00
Partenkirchen Badgasse / Werdenfels Museum Ri N,07:05:00,08:21:00,,09:06:00,,09:56:00,10:36:00,11:21:00,12:06:00,12:51:00,13:37:00,14:21:00,15:03:00,15:48:00,16:11:00,16:36:00,17:01:00,17:21:00
Partenkirchen Historische Ludwigstraße Ri N,07:07:00,08:23:00,,09:08:00,,09:58:00,10:38:00,11:23:00,12:08:00,12:52:00,13:39:00,14:23:00,15:05:00,15:50:00,16:13:00,16:38:00,17:03:00,17:23:00
