,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Partenkirchen Kreuzeck / Alpspitzbahn,07:35:00,09:00:00,09:25:00,09:45:00,10:04:00,10:30:00,11:15:00,11:58:00,12:42:00,13:30:00,14:15:00,15:00:00,15:42:00,16:30:00,16:48:00,17:22:00,17:37:00,18:09:00
Partenkirchen Hammersbacher Fußweg Ri N,07:36:00,09:01:00,09:26:00,09:46:00,10:05:00,10:31:00,11:16:00,11:59:00,12:43:00,13:31:00,14:16:00,15:01:00,15:43:00,16:31:00,16:49:00,17:23:00,17:38:00,18:10:00
Partenkirchen Aule Alm Fußweg Ri O,07:36:00,09:01:00,09:26:00,09:46:00,10:05:00,10:31:00,11:16:00,11:59:00,12:43:00,13:31:00,14:16:00,15:01:00,15:43:00,16:31:00,16:49:00,17:23:00,17:38:00,18:10:00
Partenkirchen Grainauer Fußweg Ri N,07:37:00,09:02:00,09:27:00,09:47:00,10:06:00,10:32:00,11:17:00,12:00:00,12:44:00,13:32:00,14:17:00,15:02:00,15:44:00,16:32:00,16:50:00,17:24:00,17:39:00,18:11:00
Partenkirchen Äußere Maximilianstraße,,,09:32:00,,10:11:00,,,,,,,,,,,,,
Partenkirchen Loisachbrücke Ri S,,,09:32:00,,10:11:00,,,,,,,,,,,,,
Breitenau Zugspitzstraße Ri O,07:38:00,09:03:00,09:33:00,09:48:00,10:12:00,10:33:00,11:18:00,12:01:00,12:45:00,13:33:00,14:18:00,15:03:00,15:45:00,16:33:00,16:51:00,17:25:00,17:40:00,18:12:00
Partenkirchen Archstraße Ri O,07:40:00,09:05:00,09:35:00,09:50:00,10:14:00,10:35:00,11:20:00,12:03:00,12:47:00,13:35:00,14:20:00,15:05:00,15:47:00,16:35:00,16:53:00,17:27:00,17:42:00,18:14:00
Partenkirchen Fichtackerstraße Ri O,07:41:00,09:06:00,09:36:00,09:51:00,10:15:00,10:36:00,11:21:00,12:04:00,12:48:00,13:36:00,14:21:00,15:06:00,15:48:00,16:36:00,16:54:00,17:28:00,17:43:00,18:15:00
Partenkirchen Am Mühlbach Ri O,07:42:00,09:07:00,09:37:00,09:52:00,10:16:00,10:37:00,11:22:00,12:05:00,12:49:00,13:37:00,14:22:00,15:07:00,15:49:00,16:37:00,16:55:00,17:29:00,17:44:00,18:16:00
