,3,3,3,3,3,3
Farchant Antonistüberl Ri S,07:08:00,,,19:11:00,20:24:00,21:40:00
Farchant Maibaum Ri S,07:09:00,,,19:12:00,20:25:00,21:41:00
Farchant Garmischer Straße Ri S,07:09:00,,,19:12:00,20:25:00,21:41:00
Steigfeldstraße Ri W,07:12:00,08:03:00,09:46:00,19:14:00,20:27:00,21:43:00
Burgrain Ri W,07:13:00,08:04:00,09:47:00,19:15:00,20:28:00,21:44:00
Schwaigwang Ri S,07:14:00,08:05:00,09:48:00,19:16:00,20:29:00,21:45:00
Partenkirchen Sonnenbichl Ri W,07:15:00,08:06:00,09:49:00,19:17:00,20:30:00,21:46:00
Partenkirchen Hörmannstraße Ri S,07:16:00,08:07:00,09:50:00,19:18:00,20:31:00,21:47:00
Partenkirchen Thomas Knorr Straße Ri S,07:16:00,08:08:00,09:51:00,19:18:00,20:31:00,21:47:00
Partenkirchen Alte Kirche Ri S,07:17:00,08:09:00,09:52:00,19:19:00,20:32:00,21:48:00
Partenkirchen Loisachbrücke 2 Ri S,07:18:00,08:10:00,09:53:00,19:20:00,20:33:00,21:49:00
Partenkirchen Marienplatz Ri S,07:22:00,08:14:00,09:57:00,19:23:00,20:36:00,
Farchant Alpspitzstraße Ri S,07:22:00,08:14:00,09:57:00,19:23:00,20:36:00,
Partenkirchen Achenfeldstraße Ri O,07:23:00,08:15:00,09:58:00,19:24:00,20:37:00,
Partenkirchen Kurpark Ri O,07:26:00,08:18:00,10:01:00,19:25:00,20:38:00,
Garmisch Partenkirchen Bahnhof ankunft,07:30:00,08:22:00,10:05:00,19:29:00,20:41:00,
Garmisch Partenkirchen Bahnhof abfahrt,07:30:00,08:22:00,10:05:00,19:29:00,20:41:00,
Partenkirchen Rathaus Ri O,07:31:00,08:23:00,10:06:00,19:30:00,20:42:00,
Partenkirchen Sebastianskirche Ri O,07:34:00,08:26:00,10:09:00,19:32:00,20:44:00,
Partenkirchen Dr Gazert Straße Ri N,07:35:00,08:27:00,10:10:00,19:33:00,20:45:00,
Partenkirchen Altenheim Ri N,07:36:00,08:28:00,10:11:00,19:34:00,20:46:00,
Partenkirchen Wankbahn,,08:31:00,10:14:00,19:37:00,20:49:00,
Partenkirchen Schützenhaus,,08:31:00,10:14:00,19:37:00,20:49:00,
Partenkirchen Friedhof,07:37:00,08:33:00,10:16:00,19:39:00,20:51:00,
Partenkirchen Gemeindewerke,07:37:00,08:35:00,10:18:00,19:41:00,20:53:00,
Partenkirchen Am Brünnl Ri N,07:38:00,,,,,
Partenkirchen Loisachauen Ri N,07:39:00,,,,,
Steigfeldstraße Ri O,07:41:00,,,,,
Farchant Garmischer Straße Ri N,,,,,,
Farchant Maibaum Ri N,,,,,,
Farchant Antonistüberl Ri N,,,,,,
