,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186
Seefeld i. T. Bahnhof Ri N,,08:20:00,,09:40:00,10:20:00,,,12:25:00,13:20:00,14:20:00,,16:20:00,
Seefeld i. T. Hotel Metropol Ri N,,08:22:00,,09:42:00,10:22:00,,,12:27:00,13:22:00,14:22:00,,16:22:00,
Seefeld i. T. Birkenlift Ri N,,08:23:00,,09:43:00,10:23:00,,,12:28:00,13:23:00,14:23:00,,16:23:00,
Leutasch Unterkelle Ri N,,08:24:00,,09:44:00,10:24:00,,,12:29:00,13:24:00,14:24:00,,16:24:00,
Leutasch Gh Neuleutasch / Skilifte Ri N,,08:25:00,,09:45:00,10:25:00,,,12:30:00,13:25:00,14:25:00,,16:25:00,
Leutasch Weidach Kreithkapelle Ri N,,08:28:00,,09:48:00,10:28:00,,,12:33:00,13:28:00,14:28:00,,16:28:00,
Leutasch Weidach Gh Zum See Ri N ankunft,,08:29:00,,09:49:00,10:29:00,,,12:34:00,13:29:00,14:29:00,,16:29:00,
Leutasch Weidach Gh Zum See Ri N abfahrt,06:20:00,08:30:00,,09:50:00,10:30:00,,11:45:00,12:40:00,13:30:00,14:30:00,15:20:00,16:30:00,17:30:00
Leutasch Weidach Quellenhof Ri W,,,,,,,11:46:00,12:41:00,,,,,
Leutasch Weidach Föhrenwald Ri W,,,,,,,11:50:00,12:45:00,,,,,
Leutasch Gasse Gh Rössl Ri N,06:22:00,08:32:00,,09:52:00,10:32:00,,11:52:00,12:47:00,13:32:00,14:32:00,15:22:00,16:32:00,17:32:00
Leutasch Gasse Naturwirt Ri O,06:24:00,08:34:00,,09:54:00,10:34:00,,11:54:00,12:49:00,13:34:00,14:34:00,15:24:00,16:34:00,17:34:00
Leutasch Ahrn Ri N,06:25:00,08:35:00,,09:55:00,10:35:00,,11:55:00,12:50:00,13:35:00,14:35:00,15:25:00,16:35:00,17:35:00
Leutasch Puitbach Ri N,06:26:00,08:36:00,,09:56:00,10:36:00,,11:56:00,12:51:00,13:36:00,14:36:00,15:26:00,16:36:00,17:36:00
Leutasch Reindlau Ri N,06:28:00,08:38:00,,09:58:00,10:38:00,,11:58:00,12:53:00,13:38:00,14:38:00,15:28:00,16:38:00,17:38:00
Leutasch Lochlehen Ri N,06:29:00,08:39:00,,09:59:00,10:39:00,,11:59:00,12:54:00,13:39:00,14:39:00,15:29:00,16:39:00,17:39:00
Leutasch Unterkirchen Ri N,06:31:00,08:41:00,,10:01:00,10:41:00,,12:01:00,12:56:00,13:41:00,14:41:00,15:31:00,16:41:00,17:41:00
Leutasch Gh Brücke Ri O,06:32:00,08:42:00,,10:02:00,10:42:00,,12:02:00,12:57:00,13:42:00,14:42:00,15:32:00,16:42:00,17:42:00
Leutasch Gh Mühle Ri N,06:33:00,08:43:00,,10:03:00,10:43:00,,12:03:00,12:58:00,13:43:00,14:43:00,15:33:00,16:43:00,17:43:00
Leutasch Staatsgrenze Ri N,06:35:00,08:45:00,,10:05:00,10:45:00,,12:05:00,13:00:00,13:45:00,14:45:00,15:35:00,16:45:00,17:45:00
Leutasch Geisterklamm Ri N,,08:46:00,,10:06:00,10:46:00,,12:06:00,13:01:00,13:46:00,14:46:00,15:36:00,16:46:00,17:46:00
Mittenwald Dekan Karl Platz Ri N,,08:54:00,,,10:54:00,,,13:09:00,,14:54:00,,16:54:00,
Mittenwald Bahnhof / Postamt ankunft,,08:56:00,,,10:56:00,,,13:11:00,,14:56:00,,16:56:00,
Mittenwald Bahnhof / Postamt abfahrt,,09:03:00,,,11:03:00,,,13:13:00,,15:03:00,,17:03:00,
Mittenwald Dekan Karl Platz Ri S,,09:05:00,,,11:05:00,,,13:15:00,,15:05:00,,17:05:00,
Scharnitz Gh Risserhof Ri S,,09:13:00,,,11:13:00,,,13:23:00,,15:13:00,,17:13:00,
Gießenbach Abzw Bahnhaltestelle Ri S,,09:16:00,,,11:16:00,,,13:26:00,,15:16:00,,17:16:00,
Seefeld i. T. Rosshütte,,09:22:00,,,11:22:00,,,13:32:00,,15:22:00,,17:22:00,
Seefeld i. T. Bahnhof Ri S ankunft,,09:25:00,,,11:25:00,,,13:35:00,,15:25:00,,17:25:00,
Seefeld i. T. Bahnhof Ri S abfahrt,,,09:30:00,,,11:30:00,,13:40:00,,15:30:00,,17:30:00,
Reith b. S. Krinz Ri S,,,09:32:00,,,11:32:00,,13:42:00,,15:32:00,,17:32:00,
Reith b. S. Gschwandtkopf Ri S,,,09:34:00,,,11:34:00,,13:44:00,,15:34:00,,17:34:00,
Reith b. S. Auland Ri S,,,09:35:00,,,11:35:00,,13:45:00,,15:35:00,,17:35:00,
Reith b. S. Information Ri S,,,09:37:00,,,11:37:00,,13:47:00,,15:37:00,,17:37:00,
Reith b. S. Kirche Ri S,,,09:38:00,,,11:38:00,,13:48:00,,15:38:00,,17:38:00,
Leithen Gh Hirschen,,,09:40:00,,,11:40:00,,13:50:00,,15:40:00,,17:40:00,
