,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186,4186
Leithen Gh Hirschen,,,,08:00:00,08:30:00,09:20:00,,10:00:00,,12:00:00,,14:00:00,,16:00:00,,,
Reith b. S. Kirche Ri N,,,,08:03:00,08:33:00,09:23:00,,10:03:00,,12:03:00,,14:03:00,,16:03:00,,,
Reith b. S. Information Ri N,,,,08:04:00,08:34:00,09:24:00,,10:04:00,,12:04:00,,14:04:00,,16:04:00,,,
Reith b. S. Auland Ri N,,,,08:06:00,08:36:00,09:26:00,,10:06:00,,12:06:00,,14:06:00,,16:06:00,,,
Reith b. S. Gschwandtkopf Ri N,,,,08:07:00,08:37:00,09:27:00,,10:07:00,,12:07:00,,14:07:00,,16:07:00,,,
Reith b. S. Krinz Ri N,,,,08:09:00,08:39:00,09:29:00,,10:09:00,,12:09:00,,14:09:00,,16:09:00,,,
Seefeld i. T. Rosshütte,,,,08:11:00,08:41:00,09:31:00,,10:11:00,,12:11:00,,14:11:00,,16:11:00,,,
Seefeld i. T. Bahnhof ankunft,,,,08:13:00,08:43:00,09:33:00,,10:13:00,,12:13:00,,14:13:00,,16:13:00,,,
Seefeld i. T. Bahnhof abfahrt,,,,,08:50:00,,,10:20:00,,12:20:00,,14:20:00,,,16:20:00,,18:05:00
Seefeld i. T. Rosshütte,,,,,08:53:00,,,10:23:00,,12:23:00,,14:23:00,,,16:23:00,,18:08:00
Gießenbach Abzw Bahnhaltestelle Ri N,,,,,08:59:00,,,10:29:00,,12:29:00,,14:29:00,,,16:29:00,,18:14:00
Scharnitz Gh Risserhof Ri N,,,,,09:02:00,,,10:32:00,,12:32:00,,14:32:00,,,16:32:00,,18:17:00
Mittenwald Dekan Karl Platz Ri N,,,,,09:10:00,,,10:40:00,,12:40:00,,14:40:00,,,16:40:00,,18:25:00
Mittenwald Bahnhof / Postamt ankunft,,,,,09:12:00,,,10:42:00,,12:42:00,,14:42:00,,,16:42:00,,18:27:00
Mittenwald Bahnhof / Postamt abfahrt,,,,,09:18:00,,,10:48:00,,12:48:00,,14:48:00,,,16:48:00,,
Mittenwald Dekan Karl Platz Ri S,,,,,09:20:00,,,10:50:00,,12:50:00,,14:50:00,,,16:50:00,,
Leutasch Geisterklamm Ri S,,,,,09:27:00,,10:17:00,10:57:00,12:07:00,12:57:00,13:57:00,14:57:00,15:57:00,,16:57:00,17:57:00,
Leutasch Staatsgrenze Ri S,06:00:00,06:40:00,,,09:28:00,,10:18:00,10:58:00,12:08:00,12:58:00,13:58:00,14:58:00,15:58:00,,16:58:00,17:58:00,
Leutasch Gh Mühle Ri S,06:02:00,06:42:00,07:30:00,,09:30:00,,10:20:00,11:00:00,12:10:00,13:00:00,14:00:00,15:00:00,16:00:00,,17:00:00,18:00:00,
Leutasch Gh Brücke Ri W,06:03:00,06:43:00,07:31:00,,09:31:00,,10:21:00,11:01:00,12:11:00,13:01:00,14:01:00,15:01:00,16:01:00,,17:01:00,18:01:00,
Leutasch Unterkirchen Ri S,06:04:00,06:44:00,07:32:00,,09:32:00,,10:22:00,11:02:00,12:12:00,13:02:00,14:02:00,15:02:00,16:02:00,,17:02:00,18:02:00,
Leutasch Lochlehen Ri S,06:06:00,06:46:00,07:34:00,,09:34:00,,10:24:00,11:04:00,12:14:00,13:04:00,14:04:00,15:04:00,16:04:00,,17:04:00,18:04:00,
Leutasch Reindlau Ri S,06:07:00,06:47:00,07:35:00,,09:35:00,,10:25:00,11:05:00,12:15:00,13:05:00,14:05:00,15:05:00,16:05:00,,17:05:00,18:05:00,
Leutasch Puitbach Ri S,06:09:00,06:49:00,07:37:00,,09:37:00,,10:27:00,11:07:00,12:17:00,13:07:00,14:07:00,15:07:00,16:07:00,,17:07:00,18:07:00,
Leutasch Ahrn Ri S,06:10:00,06:50:00,07:38:00,,09:38:00,,10:28:00,11:08:00,12:18:00,13:08:00,14:08:00,15:08:00,16:08:00,,17:08:00,18:08:00,
Leutasch Gasse Naturwirt Ri W,06:11:00,06:51:00,07:39:00,,09:39:00,,10:29:00,11:09:00,12:19:00,13:09:00,14:09:00,15:09:00,16:09:00,,17:09:00,18:09:00,
Leutasch Gasse Gh Rössl Ri S,06:13:00,06:53:00,07:41:00,,09:41:00,,10:31:00,11:11:00,12:21:00,13:11:00,14:11:00,15:11:00,16:11:00,,17:11:00,18:11:00,
Leutasch Weidach Föhrenwald Ri O,,,07:43:00,,,,,,,,,,,,,,
Leutasch Weidach Gh Zum See Ri S ankunft,06:15:00,06:55:00,07:45:00,,09:43:00,,10:33:00,11:13:00,12:23:00,13:13:00,14:13:00,15:13:00,16:13:00,,17:13:00,18:13:00,
Leutasch Weidach Gh Zum See Ri S abfahrt,,06:55:00,,,09:45:00,,,11:15:00,,13:15:00,,15:15:00,,,,,
Leutasch Weidach Kreithkapelle Ri S,,06:56:00,,,09:46:00,,,11:16:00,,13:16:00,,15:16:00,,,,,
Leutasch Gh Neuleutasch / Skilifte Ri S,,06:59:00,,,09:49:00,,,11:19:00,,13:19:00,,15:19:00,,,,,
Leutasch Unterkelle Ri S,,07:00:00,,,09:50:00,,,11:20:00,,13:20:00,,15:20:00,,,,,
Seefeld i. T. Birkenlift Ri S,,07:02:00,,,09:52:00,,,11:22:00,,13:22:00,,15:22:00,,,,,
Seefeld i. T. Hotel Metropol Ri S,,07:04:00,,,09:54:00,,,11:24:00,,13:24:00,,15:24:00,,,,,
Seefeld i. T. Bahnhof Ri S,,07:06:00,,,09:56:00,,,11:26:00,,13:26:00,,15:26:00,,,,,
