,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Farchant Antonistüberl Ri S,,08:15:00,08:55:00,09:53:00,10:45:00,11:40:00,12:39:00,13:25:00,14:03:00,14:58:00,15:46:00,,16:38:00,16:56:00,17:30:00,18:21:00,18:56:00,,
Farchant Maibaum Ri S,,08:16:00,08:56:00,09:54:00,10:46:00,11:41:00,12:40:00,13:26:00,14:04:00,14:59:00,15:47:00,,16:39:00,16:57:00,17:31:00,18:22:00,18:57:00,,
Farchant Garmischer Straße Ri S,,08:17:00,08:57:00,09:55:00,10:47:00,11:42:00,12:41:00,13:27:00,14:05:00,15:00:00,15:48:00,,16:40:00,16:58:00,17:32:00,18:23:00,18:58:00,,
Steigfeldstraße Ri W,07:27:00,,,,,,,,,,,,,,,,,,
Partenkirchen Loisachauen Ri S,07:28:00,08:18:00,08:58:00,09:56:00,10:48:00,11:43:00,12:42:00,13:28:00,14:06:00,15:01:00,15:49:00,,16:41:00,16:59:00,17:33:00,18:24:00,18:59:00,,
Partenkirchen Am Brünnl Ri S,07:29:00,08:19:00,08:59:00,09:57:00,10:49:00,11:44:00,12:43:00,13:29:00,14:07:00,15:02:00,15:50:00,,16:42:00,17:00:00,17:34:00,18:25:00,19:00:00,,
Partenkirchen Friedhof Ri S,07:30:00,08:20:00,09:00:00,09:58:00,10:50:00,11:45:00,12:44:00,13:30:00,14:08:00,15:03:00,15:51:00,,16:43:00,17:01:00,17:35:00,18:26:00,19:01:00,,
Partenkirchen Gemeindewerke,,,,,,,,,14:14:00,,,16:15:00,,,,,,21:13:00,
Partenkirchen Wankbahn,,,09:03:00,10:01:00,10:53:00,11:48:00,12:47:00,,14:18:00,15:06:00,15:54:00,16:19:00,16:46:00,17:04:00,17:38:00,,,,
Partenkirchen Schützenhaus,,,09:03:00,10:01:00,10:53:00,11:48:00,12:47:00,,14:18:00,15:06:00,15:54:00,16:19:00,16:46:00,17:04:00,17:38:00,,,,
Partenkirchen Altenheim Ri S,07:32:00,08:22:00,09:07:00,10:05:00,10:57:00,11:52:00,12:51:00,13:32:00,14:22:00,15:10:00,15:58:00,16:23:00,16:50:00,17:08:00,17:42:00,18:28:00,19:03:00,21:14:00,
Partenkirchen Dr Gazert Straße Ri S,07:34:00,08:23:00,09:08:00,10:06:00,10:58:00,11:53:00,12:52:00,13:33:00,14:23:00,15:11:00,15:59:00,16:24:00,16:51:00,17:09:00,17:43:00,18:29:00,19:04:00,21:15:00,
Partenkirchen Sebastianskirche Ri W,07:37:00,08:26:00,09:11:00,10:09:00,11:01:00,11:55:00,12:55:00,13:36:00,14:26:00,15:14:00,16:02:00,16:27:00,16:54:00,17:12:00,17:46:00,18:32:00,19:06:00,21:17:00,22:17:00
Partenkirchen Rathaus Ri W,07:38:00,08:27:00,09:12:00,10:10:00,11:02:00,11:56:00,12:58:00,13:37:00,14:27:00,15:15:00,16:03:00,16:28:00,16:55:00,17:13:00,17:47:00,18:33:00,19:07:00,21:18:00,22:18:00
Garmisch Partenkirchen Bahnhof Ri N ankunft,07:42:00,08:31:00,09:16:00,10:14:00,11:06:00,12:00:00,13:01:00,13:41:00,14:31:00,15:19:00,16:07:00,16:32:00,16:59:00,17:17:00,17:51:00,18:37:00,19:11:00,21:21:00,22:21:00
