,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606
Garmisch Partenkirchen Bahnhof,,05:35:00,,,,06:20:00,,06:50:00,,07:17:00,07:50:00,08:35:00,09:40:00,10:40:00,,12:05:00,,13:00:00,14:10:00,15:15:00,16:00:00,16:50:00,17:40:00,18:20:00,19:30:00
Partenkirchen Werdenfelser Platz Ri N,,05:38:00,,,,06:23:00,,06:53:00,,07:19:00,07:53:00,08:38:00,09:43:00,10:43:00,,12:08:00,,13:03:00,14:13:00,15:18:00,16:03:00,16:53:00,17:43:00,18:23:00,19:33:00
Partenkirchen Friedhof Ri N,,05:40:00,,,,06:25:00,,06:55:00,,07:20:00,07:55:00,08:40:00,09:45:00,10:45:00,,12:10:00,,13:05:00,14:15:00,15:20:00,16:05:00,16:55:00,17:45:00,18:25:00,19:35:00
Partenkirchen Loisachauen Ri N,,05:42:00,,,,06:27:00,,06:57:00,,,07:57:00,08:42:00,09:47:00,10:47:00,,12:12:00,,13:07:00,14:17:00,15:22:00,16:07:00,16:57:00,17:47:00,18:27:00,19:37:00
Farchant Maibaum Ri N,,05:45:00,,,,06:30:00,,07:00:00,,,08:00:00,08:45:00,09:50:00,10:50:00,,12:15:00,,13:10:00,14:20:00,15:25:00,16:10:00,17:00:00,17:50:00,18:30:00,19:40:00
Oberau Bahnhof Ri N ankunft,,05:49:00,,,,06:34:00,,07:04:00,,07:28:00,08:04:00,08:49:00,09:54:00,10:54:00,,12:19:00,,13:14:00,14:24:00,15:29:00,16:14:00,17:04:00,17:54:00,18:34:00,19:44:00
Oberau Bahnhof Ri N abfahrt,,05:49:00,,,,06:34:00,,07:05:00,07:28:00,07:29:00,08:04:00,08:50:00,09:58:00,10:54:00,,12:20:00,,13:15:00,14:25:00,15:30:00,16:15:00,17:04:00,17:54:00,18:35:00,19:44:00
Oberau Untermberg Ri N,,05:51:00,,,,06:36:00,,07:07:00,07:30:00,07:30:00,08:06:00,08:52:00,10:00:00,10:56:00,,12:22:00,,13:17:00,14:27:00,15:32:00,16:17:00,17:06:00,17:56:00,18:37:00,19:46:00
Ettal am Berg Ri N,,05:57:00,,,,06:42:00,,07:13:00,07:36:00,07:36:00,08:12:00,08:58:00,10:06:00,11:02:00,,12:28:00,,13:23:00,14:33:00,15:38:00,16:23:00,17:12:00,18:02:00,18:43:00,19:52:00
Ettal Klostergasthof Ri W,,05:59:00,,,,06:44:00,,07:15:00,07:38:00,07:37:00,08:14:00,09:00:00,10:08:00,11:04:00,12:15:00,12:30:00,13:00:00,13:25:00,14:35:00,15:40:00,16:25:00,17:14:00,18:04:00,18:45:00,19:54:00
Ettal Abzw Zieglerhof Ri W,,06:00:00,,,,06:45:00,,07:16:00,07:39:00,,08:15:00,09:01:00,10:09:00,11:05:00,12:16:00,12:32:00,,13:27:00,14:36:00,15:41:00,16:26:00,17:15:00,18:05:00,18:46:00,19:55:00
Oberammergau Hexenstube Ri W,,,,,,06:48:00,,,,,,,,,12:19:00,,,,,,16:29:00,,,,
Oberammergau Rainenbichl Ri O,,06:05:00,,,,,,07:21:00,07:42:00,,08:20:00,09:06:00,10:14:00,11:10:00,,12:37:00,,13:32:00,14:41:00,15:46:00,,17:20:00,18:10:00,18:51:00,20:00:00
Oberammergau Nato Schule Ri N,,06:06:00,,,,,,07:22:00,07:43:00,,08:21:00,09:07:00,10:15:00,11:11:00,,12:38:00,,13:33:00,14:42:00,15:47:00,,17:21:00,18:11:00,18:52:00,20:01:00
