,9822,73,9651,73,73
Garmisch Partenkirchen Bahnhof,,,,,
Partenkirchen Werdenfelser Platz Ri N,,,,,
Partenkirchen Friedhof Ri N,,,,,
Partenkirchen Loisachauen Ri N,,,,,
Farchant Maibaum Ri N,,,,,
Oberau Bahnhof Ri N ankunft,,,,,
Oberau Bahnhof Ri N abfahrt,,,,,
Oberau Untermberg Ri N,,,,,
Ettal am Berg Ri N,,,,,
Ettal Klostergasthof Ri W,,,,,
Ettal Abzw Zieglerhof Ri W,,,,,
Oberammergau Hexenstube Ri W,,,,,
Oberammergau Rainenbichl Ri O,,,,,
Oberammergau Nato Schule Ri N,,,,,
Oberammergau Aufackerstraße Ri N,,,,,
Oberammergau Tiroler Gasse Ri S,,,,,
Oberammergau Eugen Papst Straße Ri N,,,,,
Oberammergau Bahnhof Ri W ankunft,,,,,
Oberammergau Bahnhof Ri W abfahrt,,,,,
Unterammergau Rathaus Ri N,,,,,
Unterammergau Ammerbrücke Ri N,,,,,
Scherenau Ri N,,,,,
Wurmansau Ri N,,,,,
Altenau Abzw Ri N,,,,,
Altenau Säge Ri W,,,,,
Saulgrub Bürgersaal Ri N,,,,,
Saulgrub Bahnhof Ri N,,,,,
Saulgrub Rathaus Ri N,,,,,
Bad Kohlgrub Feuerwehrhaus Ri O,,,,,
Bad Kohlgrub Rathaus,,,,,
Bad Kohlgrub Feuerwehrhaus Ri W,,,,,
Saulgrub Rathaus Ri W,,,,,
Bad Bayersoien Eisplatz Ri W,,,,,
Bad Bayersoien Gh Weißes Roß Ri W,,,,,
Bad Bayersoien Gschwendt Ri N,,,,,
Bad Bayersoien Echelsbach Ri N,,,,,
Echelsbacher Brücke Ri W ankunft,,,,,
Echelsbacher Brücke Ri W abfahrt,06:18:00,09:00:00,11:55:00,,18:08:00
Rottenbuch Alte Post,,,,,
Steingaden Feuerwehrhaus Ri W,,,,,
Wieskirche Ri S,,09:10:00,,15:00:00,
Steingaden Feuerwehrhaus Ri W,06:35:00,09:20:00,12:10:00,15:10:00,18:19:00
Füssen Bahnhof,07:23:00,09:59:00,12:52:00,15:45:00,18:59:00
