,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608
Garmisch Partenkirchen Bahnhof,05:46:00,,,07:35:00,08:00:00,08:15:00,09:00:00,09:30:00,10:02:00,11:10:00,12:03:00,,13:05:00,,14:02:00,,15:20:00,,16:02:00,16:40:00,,18:15:00,19:25:00
Garmisch Partenkirchen Rathaus Ri O,05:50:00,,,07:39:00,08:04:00,08:19:00,09:04:00,09:32:00,10:06:00,11:12:00,12:07:00,,13:09:00,,14:06:00,,15:24:00,,16:06:00,16:44:00,,18:19:00,19:29:00
Partenkirchen Haupt / Dr Wigger Straße Ri O,05:51:00,,,07:40:00,08:05:00,08:20:00,09:05:00,09:33:00,10:07:00,11:13:00,12:08:00,,13:10:00,,14:07:00,,15:25:00,,16:07:00,16:45:00,,18:20:00,19:30:00
Partenkirchen Mittenwalder Straße Ri O,05:52:00,,,07:41:00,08:06:00,08:21:00,09:06:00,09:34:00,10:08:00,11:14:00,12:09:00,,13:11:00,,14:08:00,,15:26:00,,16:08:00,16:46:00,,18:21:00,19:31:00
Partenkirchen Alpenstraße Ri O,05:53:00,,,07:42:00,08:07:00,08:22:00,09:07:00,09:35:00,10:09:00,11:15:00,12:10:00,,13:12:00,,14:09:00,,15:27:00,,16:09:00,16:47:00,,18:22:00,19:32:00
Partenkirchen Abzw Wildenauer Straße Ri O,05:53:00,,,07:42:00,08:07:00,08:22:00,09:07:00,09:35:00,10:09:00,11:15:00,12:10:00,,13:12:00,,14:09:00,,15:27:00,,16:09:00,16:47:00,,18:22:00,19:32:00
Anzlesau Ri O,05:54:00,,,07:44:00,08:08:00,08:24:00,09:08:00,09:36:00,10:10:00,11:16:00,12:11:00,,13:13:00,,14:10:00,,15:28:00,,16:10:00,16:49:00,,18:23:00,19:33:00
Schlattan Ri O,05:55:00,,,07:45:00,08:09:00,08:25:00,09:09:00,09:37:00,10:11:00,11:17:00,12:12:00,,13:14:00,,14:11:00,,15:29:00,,16:11:00,16:50:00,,18:24:00,19:34:00
Kaltenbrunn Gasth Ri O,05:57:00,,,07:47:00,08:11:00,08:27:00,09:11:00,09:39:00,10:13:00,11:19:00,12:14:00,,13:16:00,,14:13:00,,15:31:00,,16:13:00,16:52:00,,18:26:00,19:36:00
Gerold Abzw Ri O,06:00:00,,,07:49:00,08:14:00,08:30:00,09:14:00,09:42:00,10:16:00,11:22:00,12:17:00,,13:19:00,,14:16:00,,15:34:00,,16:16:00,16:55:00,,18:29:00,19:39:00
Klais Bahnhof Ri O,06:04:00,,,07:54:00,08:19:00,08:35:00,09:19:00,09:47:00,10:21:00,11:27:00,12:22:00,,13:24:00,,14:21:00,,15:39:00,,16:21:00,17:00:00,,18:34:00,19:44:00
Barmsee Ri N,06:07:00,,,,08:23:00,,09:23:00,,10:25:00,,12:26:00,,13:28:00,,14:25:00,,15:43:00,,16:25:00,,,,19:48:00
Bärnbichl Ri O,06:08:00,,,,08:24:00,,09:24:00,,10:26:00,,12:27:00,,13:29:00,,14:26:00,,15:44:00,,16:26:00,,,,19:49:00
Schmalensee Ri S,,,,07:58:00,,08:40:00,,09:52:00,,11:32:00,,,,,,,,,,17:05:00,,18:39:00,
Mittenwald Partenkirchener Straße Ri S,,,,08:01:00,,08:43:00,,09:56:00,,11:36:00,,,,,,,,,,17:08:00,,18:42:00,
