,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Starnberg Ri S,,,05:12:00,,,,,,,,,,07:17:00,,,,08:17:00,,,09:17:00,,10:17:00,,,,11:17:00,,,12:17:00,,,13:17:00,,,,14:17:00,,,,15:18:00,,,16:15:00,,,,,17:16:00,,,,,18:15:00,,,,,,19:18:00,,,20:17:00,,21:17:00,,,,,,
Tutzing Ri S ankunft,,,05:21:00,06:00:00,,,,,,07:00:00,,,07:26:00,,08:00:00,,08:26:00,09:00:00,,09:26:00,10:00:00,10:26:00,,11:00:00,,11:26:00,,12:00:00,12:26:00,,13:00:00,13:26:00,,14:00:00,,14:26:00,15:00:00,,,15:27:00,16:00:00,,16:24:00,,,17:00:00,,17:24:00,,,18:00:00,,18:24:00,,,19:00:00,,,19:27:00,,20:00:00,20:26:00,21:00:00,21:26:00,22:00:00,,23:00:00,24:00:00,01:00:00,00:00:00
Tutzing Ri S abfahrt,,,05:28:00,06:04:00,,,,,,07:02:00,,,07:29:00,,08:02:00,,08:36:00,09:02:00,,09:29:00,10:02:00,10:29:00,,11:02:00,,11:29:00,,12:02:00,12:29:00,,13:02:00,13:29:00,,14:02:00,,14:29:00,15:01:00,,,15:29:00,16:02:00,,16:26:00,,,17:01:00,,17:26:00,,,18:02:00,,18:26:00,,,19:01:00,,,19:29:00,,20:01:00,20:30:00,21:02:00,21:30:00,22:01:00,,23:02:00,24:02:00,01:01:00,00:02:00
Weilheim Ri S ankunft,,,05:38:00,06:19:00,,,,,,07:10:00,,,07:39:00,,08:11:00,,08:54:00,09:11:00,,09:39:00,10:11:00,10:39:00,,11:11:00,,11:39:00,,12:10:00,12:39:00,,13:10:00,13:39:00,,14:11:00,,14:39:00,15:10:00,,,15:41:00,16:10:00,,16:34:00,16:47:00,,17:09:00,,17:35:00,17:47:00,,18:11:00,,18:35:00,18:47:00,,19:11:00,,,19:38:00,,20:10:00,20:40:00,21:11:00,21:39:00,22:10:00,,23:10:00,24:11:00,01:10:00,00:11:00
Weilheim Ri S abfahrt,,,05:45:00,,,,,06:27:00,,07:12:00,,,,,08:12:00,,,09:12:00,,,10:12:00,,,11:12:00,,,,12:12:00,,,13:12:00,,,14:12:00,,,15:12:00,,,,16:12:00,,16:36:00,16:49:00,,17:12:00,,17:36:00,17:49:00,,18:12:00,,18:37:00,18:50:00,,19:12:00,,,19:39:00,,20:13:00,,21:12:00,,22:12:00,,23:12:00,24:12:00,,00:12:00
Huglfing Ri S,,,05:51:00,,,,,06:37:00,,07:18:00,,,,,08:18:00,,,09:18:00,,,10:18:00,,,11:18:00,,,,12:18:00,,,13:18:00,,,14:18:00,,,15:18:00,,,,16:18:00,,16:43:00,,,17:18:00,,17:43:00,,,18:18:00,,18:43:00,,,19:18:00,,,19:52:00,,20:19:00,,21:18:00,,22:18:00,,23:18:00,24:18:00,,00:18:00
Uffing Ri S,,,06:00:00,,,,,06:43:00,,07:23:00,,,,,08:23:00,,,09:23:00,,,10:23:00,,,11:23:00,,,,12:23:00,,,13:23:00,,,14:23:00,,,15:23:00,,,,16:23:00,,16:49:00,,,17:23:00,,17:49:00,,,18:23:00,,18:49:00,,,19:23:00,,,19:58:00,,20:24:00,,21:23:00,,22:23:00,,23:23:00,24:23:00,,00:23:00
Murnau Ri S ankunft,,,06:04:00,,,,,06:47:00,,07:27:00,,,,,08:27:00,,,09:27:00,,,10:27:00,,,11:27:00,,,,12:27:00,,,13:27:00,,,14:27:00,,,15:27:00,,,,16:27:00,,16:53:00,17:01:00,,17:27:00,,17:53:00,18:02:00,,18:27:00,,18:53:00,19:02:00,,19:27:00,,19:54:00,20:02:00,,20:28:00,,21:27:00,,22:27:00,,23:27:00,24:27:00,,00:27:00
Murnau Ri S abfahrt,,,06:05:00,,,,,06:52:00,,07:28:00,,,,,08:28:00,,,09:28:00,,,10:28:00,,,11:28:00,,,,12:28:00,,,13:28:00,,,14:28:00,,,15:28:00,,,,16:28:00,,17:09:00,17:02:00,17:09:00,17:28:00,,18:09:00,18:02:00,18:09:00,18:28:00,,19:09:00,19:03:00,19:09:00,19:29:00,,19:56:00,,,20:29:00,,21:28:00,,22:28:00,,23:38:00,14:28:00,,00:28:00
Ohlstadt Ri S,,,,,,,,06:59:00,,,,,,,08:35:00,,,09:36:00,,,10:35:00,,,11:35:00,,,,12:35:00,,,13:35:00,,,14:35:00,,,15:35:00,,,,16:34:00,,,,,17:35:00,,,,18:16:00,18:35:00,,,,,19:36:00,,,,,20:35:00,,21:35:00,,22:35:00,,23:35:00,24:35:00,,00:35:00
