,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Innsbruck Hauptbahnhof,,,,,,,,,,,,,,,06:38:00,,,07:08:00,,,08:08:00,,08:38:00,,09:08:00,,10:08:00,,10:38:00,,,11:08:00,,,12:08:00,,12:38:00,13:08:00,,,,14:08:00,14:38:00,,,,15:08:00,,16:08:00,,16:38:00,17:08:00,,,,18:08:00,,18:38:00,,19:08:00,,20:08:00,20:38:00,,,23:08:00
Innsbruck Westbahnhof Ri W,,,,,,,,,,,,,,,06:42:00,,,07:12:00,,,08:12:00,,08:42:00,,09:12:00,,10:12:00,,10:42:00,,,11:12:00,,,12:12:00,,12:42:00,13:12:00,,,,14:12:00,14:42:00,,,,15:12:00,,16:12:00,,16:42:00,17:12:00,,,,18:12:00,,18:42:00,,19:12:00,,20:12:00,20:42:00,,,23:12:00
Innsbruck Hötting Ri N,,,,,,,,,,,,,,,06:45:00,,,07:15:00,,,08:15:00,,08:45:00,,09:15:00,,10:15:00,,10:45:00,,,11:15:00,,,12:15:00,,12:45:00,13:15:00,,,,14:15:00,14:45:00,,,,15:15:00,,16:15:00,,16:45:00,17:15:00,,,,18:15:00,,18:45:00,,19:15:00,,20:15:00,20:45:00,,,23:15:00
Innsbruck Allerheiligenhöfe Ri W,,,,,,,,,,,,,,,06:48:00,,,07:18:00,,,08:18:00,,08:48:00,,09:18:00,,10:18:00,,10:48:00,,,11:18:00,,,12:18:00,,12:48:00,13:18:00,,,,14:18:00,14:48:00,,,,15:18:00,,16:18:00,,16:48:00,17:18:00,,,,18:18:00,,18:48:00,,19:18:00,,20:18:00,20:48:00,,,23:18:00
Kranebitten Ri W,,,,,,,,,,,,,,,06:51:00,,,07:21:00,,,08:21:00,,08:51:00,,09:21:00,,10:21:00,,10:51:00,,,11:21:00,,,12:21:00,,12:51:00,13:21:00,,,,14:21:00,14:51:00,,,,15:21:00,,16:21:00,,16:51:00,17:21:00,,,,18:21:00,,18:51:00,,19:21:00,,20:21:00,20:51:00,,,23:21:00
Hochzirl Ri W,,,,,,,,,,,,,,,07:01:00,,,07:31:00,,,08:31:00,,09:01:00,,09:31:00,,10:31:00,,11:01:00,,,11:31:00,,,12:31:00,,13:01:00,13:31:00,,,,14:31:00,15:01:00,,,,15:31:00,,16:31:00,,17:01:00,17:31:00,,,,18:31:00,,19:01:00,,19:31:00,,20:31:00,21:01:00,,,23:31:00
Leithen Ri W,,,,,,,,,,,,,,,07:05:00,,,07:35:00,,,08:35:00,,09:05:00,,09:35:00,,10:35:00,,11:05:00,,,11:35:00,,,12:35:00,,13:05:00,13:35:00,,,,14:35:00,15:05:00,,,,15:35:00,,16:35:00,,17:05:00,17:35:00,,,,18:35:00,,19:05:00,,19:35:00,,20:35:00,21:05:00,,,23:35:00
Reith bei Seefeld Ri N,,,,,,,,,,,,,,,07:10:00,,,07:40:00,,,08:40:00,,09:10:00,,09:40:00,,10:40:00,,11:10:00,,,11:40:00,,,12:40:00,,13:10:00,13:40:00,,,,14:40:00,15:10:00,,,,15:40:00,,16:40:00,,17:10:00,17:40:00,,,,18:40:00,,19:10:00,,19:40:00,,20:40:00,21:10:00,,,23:40:00
Seefeld Ri N,,,,,,,,,,,,,,,07:15:00,,,07:45:00,,,08:45:00,,09:15:00,,09:44:00,10:04:00,10:44:00,,11:15:00,,,11:44:00,,,12:45:00,,13:15:00,13:45:00,,14:04:00,,14:45:00,15:15:00,,,,15:44:00,16:04:00,16:45:00,,17:15:00,17:45:00,,18:04:00,,18:45:00,,19:15:00,,19:44:00,20:04:00,20:45:00,21:15:00,,,23:45:00
Gießenbach Ri N,,,,,,,,,,,,,,,07:22:00,,,07:52:00,,,08:52:00,,09:22:00,,,10:11:00,,,11:22:00,,,,,,12:52:00,,13:22:00,13:52:00,,14:11:00,,14:52:00,15:22:00,,,,,16:11:00,16:52:00,,17:22:00,17:52:00,,18:11:00,,18:52:00,,19:22:00,,,20:11:00,20:52:00,21:22:00,,,23:52:00
Scharnitz Ri N,,,,,,,,,,,,,,,07:28:00,,,07:57:00,,,08:57:00,,09:28:00,,,10:16:00,,,11:28:00,,,,,,12:57:00,,13:28:00,13:57:00,,14:16:00,,14:57:00,15:28:00,,,,,16:16:00,16:57:00,,17:28:00,17:57:00,,18:16:00,,18:57:00,,19:28:00,,,20:16:00,20:57:00,21:28:00,,,23:57:00
