,9611,,,,,,,,,,,,,,,,,,
Kochel Bahnhof,06:00:00,07:00:00,,,09:13:00,10:15:00,11:20:00,,,,12:36:00,,13:49:00,14:25:00,15:50:00,16:53:00,17:53:00,18:20:00,19:35:00
Kochel Gh Schmied von Kochel Ri W,06:01:00,07:01:00,,,09:14:00,10:16:00,11:21:00,,,,12:37:00,,13:50:00,14:26:00,15:51:00,16:54:00,17:54:00,18:21:00,19:36:00
Kochel Loisachbrücke (Trimini) Ri W,06:02:00,07:02:00,,,09:15:00,10:17:00,11:22:00,,,,12:38:00,,13:51:00,14:27:00,15:52:00,16:55:00,17:55:00,18:22:00,19:37:00
Schlehdorf Post Ri N,06:05:00,07:05:00,,,09:18:00,10:20:00,11:26:00,,,12:34:00,12:43:00,,13:54:00,14:30:00,15:56:00,16:58:00,17:58:00,18:26:00,19:41:00
Großweil Rathaus Ri W,06:08:00,07:08:00,,,09:21:00,10:23:00,11:29:00,,,12:37:00,12:49:00,,13:57:00,14:33:00,15:59:00,17:01:00,18:01:00,18:29:00,19:44:00
Glentleiten Freilichtmuseum,,,,,09:25:00,10:27:00,11:33:00,,,,,,14:01:00,14:37:00,,17:05:00,,,
Großweil Bergwerk Ri W,06:10:00,07:10:00,,,09:29:00,10:31:00,11:37:00,,,12:39:00,12:50:00,,14:05:00,14:41:00,16:01:00,17:09:00,18:03:00,18:30:00,19:45:00
Abzw Glentleiten Ri W,06:11:00,07:11:00,,,09:30:00,10:32:00,11:38:00,,,12:40:00,12:51:00,,14:06:00,14:42:00,16:02:00,17:10:00,18:04:00,18:31:00,19:46:00
Abzw Kreuth Ri W,06:12:00,07:12:00,,,09:31:00,10:33:00,11:39:00,,,12:41:00,12:52:00,,14:07:00,14:43:00,16:03:00,17:11:00,18:05:00,18:32:00,19:47:00
Schwaiganger Ri W,06:14:00,07:14:00,,,09:33:00,10:35:00,11:41:00,,,12:43:00,12:54:00,,14:09:00,14:45:00,16:05:00,17:12:00,18:07:00,18:34:00,19:49:00
Ohlstadt Ortsmitte Ri W,,,,,,,,12:04:00,12:44:00,,,13:35:00,,,,,,,
Schwaiganger Azw Ohlstadt Ri W,,07:15:00,07:20:00,,09:34:00,10:36:00,11:42:00,12:06:00,12:46:00,12:44:00,,13:37:00,14:10:00,14:46:00,16:06:00,,18:08:00,,
Achrain Ri N,06:15:00,,,,,,,12:08:00,12:48:00,,12:55:00,13:39:00,,,,17:13:00,,18:35:00,19:50:00
Abzw Mühlhagen Ri N,06:16:00,,,,,,,12:09:00,12:49:00,,12:56:00,13:40:00,,,,17:14:00,,18:36:00,19:51:00
Murnau Unfallklinik Ri W,06:17:00,,,,,,,12:10:00,12:50:00,,12:57:00,13:41:00,,,,17:16:00,,18:37:00,19:52:00
Murnau Kreiskrankenhaus Ri W,06:18:00,,,,,,,12:11:00,12:51:00,,12:58:00,13:42:00,,,,17:17:00,,18:38:00,19:53:00
Murnau Seidelstraße Ri W,06:19:00,,,,,,,12:12:00,12:52:00,,13:00:00,13:43:00,,,,17:18:00,,18:39:00,19:54:00
Ohlstadt Ortsmitte,,07:19:00,07:23:00,08:55:00,09:37:00,10:39:00,11:45:00,,,12:47:00,,,14:13:00,14:49:00,16:09:00,,18:11:00,,
Ohlstadt Abzw Bahnhof Ri W,,07:22:00,07:25:00,08:56:00,09:38:00,10:40:00,11:46:00,,,12:48:00,,,14:14:00,14:50:00,16:10:00,,18:12:00,,
Hechendorf Süd Ri N,06:24:00,,07:30:00,09:01:00,09:43:00,10:45:00,11:51:00,,,12:53:00,,,14:19:00,14:55:00,16:15:00,,18:17:00,,
Hechendorf Gh Salcher Ri N,06:25:00,,07:31:00,09:02:00,09:44:00,10:46:00,11:52:00,,,12:54:00,,,14:20:00,14:56:00,16:16:00,,18:18:00,,
Hechendorf Nord Ri N,06:27:00,,07:32:00,09:03:00,09:45:00,10:47:00,11:53:00,,,12:55:00,,,14:21:00,14:57:00,16:17:00,,18:19:00,,
Murnau Burggraben Ri N,06:30:00,07:30:00,07:34:00,09:05:00,09:46:00,10:50:00,11:56:00,12:13:00,12:53:00,12:58:00,13:02:00,13:44:00,14:22:00,14:58:00,16:19:00,17:19:00,18:20:00,18:40:00,19:55:00
Murnau Postamt Ri N,06:32:00,07:33:00,07:36:00,09:07:00,09:47:00,10:51:00,11:58:00,12:15:00,12:55:00,13:00:00,13:04:00,13:46:00,14:23:00,14:59:00,16:21:00,17:21:00,18:21:00,18:42:00,19:57:00
Murnau Weindorfer Straße Ri O,,07:38:00,07:40:00,,,,,,,,,,,,,,,,
Murnau Sollerstraße Ri S,,07:40:00,07:42:00,,,,,,,,,,,,,,,,
Murnau Grundschule Ri S,,,07:44:00,,,,,,,,,,,,,,,,
Murnau Bahnhof,06:40:00,07:47:00,07:52:00,09:10:00,09:50:00,10:54:00,12:01:00,12:18:00,12:58:00,13:03:00,13:08:00,13:49:00,14:26:00,15:02:00,16:24:00,17:24:00,18:24:00,18:45:00,20:00:00
