,9612,9612,9612,9612,9612,9612,9612,9612,9612,9612,9612,9612,9612,9612,9612,9612
Bad Tölz Bahnhof,,06:55:00,08:15:00,10:02:00,,12:32:00,,14:02:00,,16:02:00,17:02:00,17:32:00,18:02:00,18:32:00,,
Hohenburg Schule,,,,,,,12:55:00,,,,,,,,,
Bad Tölz Grünerbrauerei Ri W,,06:56:00,08:16:00,10:03:00,,12:33:00,13:17:00,14:03:00,,16:03:00,17:03:00,17:33:00,18:03:00,18:33:00,,
Bad Tölz Schulzentrum Ri W,,,,,12:18:00,12:34:00,13:20:00,,15:28:00,,,,,,,
Bad Tölz Mauerbräugasteig,06:10:00,06:58:00,08:18:00,10:05:00,,12:36:00,13:22:00,14:05:00,15:31:00,16:05:00,17:05:00,17:35:00,18:05:00,18:35:00,,
Bad Tölz ZOB / Isarkai Ri S,06:12:00,07:00:00,08:21:00,10:08:00,,12:39:00,13:25:00,14:08:00,15:35:00,16:08:00,17:08:00,17:38:00,18:08:00,18:38:00,22:30:00,00:30:00
Bad Tölz Moralt Park,,,,,,,,,,,,,,,22:33:00,00:33:00
Bad Tölz Max Höfler Platz Ri S,06:14:00,07:02:00,08:24:00,10:11:00,,12:42:00,13:28:00,14:11:00,15:38:00,16:11:00,17:11:00,17:41:00,18:11:00,18:41:00,,
Ruh am Bach Ri W,,,,,12:22:00,12:45:00,13:31:00,14:14:00,15:41:00,16:14:00,17:14:00,,,,,
Blombergbahn Ri W,06:19:00,07:07:00,08:29:00,10:16:00,12:24:00,12:47:00,13:33:00,14:16:00,15:43:00,16:16:00,17:16:00,17:46:00,18:16:00,18:46:00,22:38:00,00:38:00
Vorderstallau Cafe Nirwana Ri W,06:20:00,07:08:00,08:30:00,10:17:00,12:25:00,12:48:00,13:34:00,14:17:00,15:44:00,16:17:00,17:17:00,17:47:00,18:17:00,18:47:00,22:39:00,00:39:00
Hinterstallau Gh Wiesweber Ri W,06:21:00,07:09:00,08:31:00,10:18:00,12:26:00,12:49:00,13:35:00,14:18:00,15:45:00,16:18:00,17:18:00,17:48:00,18:18:00,18:48:00,22:40:00,00:40:00
Hinterstallau Ri W,06:22:00,07:10:00,08:32:00,10:19:00,12:27:00,12:50:00,13:36:00,14:19:00,15:46:00,16:19:00,17:19:00,17:49:00,18:19:00,18:49:00,22:41:00,00:41:00
