,9612,9612,9613,9591,9612,9612,9612,9612,9612,9612,9591,9612,9591,9612,9612
Kochel Fa Dorst Ri N,,06:41:00,,,,,,,,,,,,,
Kochel Bahnhof,06:15:00,06:53:00,07:23:00,,06:53:00,08:10,09:10:00,11:10:00,14:10:00,15:10:00,,17:10:00,,18:10:00,19:10:00
Pessenbach Ötzschlößl Ri N,06:18:00,06:56:00,,,06:56:00,08:13:00,09:13:00,11:13:00,14:13:00,15:13:00,,17:13:00,,18:13:00,19:13:00
Pessenbach Gewerbegebiet Ri N,,,,,,08:15:00,09:15:00,11:15:00,14:15:00,15:15:00,,17:15:00,,18:15:00,
Ried Gh Rabenkopf Ri N,06:20:00,06:58:00,07:30:00,,06:58:00,08:17:00,09:17:00,11:17:00,14:17:00,15:17:00,,17:17:00,,18:17:00,19:15:00
Benediktbeuern Pechlern Ri N,06:21:00,07:00:00,07:32:00,,07:00:00,08:18:00,09:18:00,11:18:00,14:18:00,15:18:00,,17:18:00,,18:18:00,19:16:00
Benediktbeuern Post Ri N,06:23:00,07:02:00,07:33:00,,07:02:00,08:20:00,09:20:00,11:20:00,14:20:00,15:20:00,,17:20:00,,18:20:00,19:18:00
Bichl Gh Bayrischer Löwe Ri N,06:25:00,07:05:00,07:43:00,,07:05:00,08:23:00,09:23:00,11:23:00,14:23:00,15:23:00,,17:23:00,,18:23:00,19:20:00
Bichl Bahnhofstraße Ri N,06:26:00,07:06:00,07:44:00,,07:06:00,08:24:00,09:24:00,11:24:00,14:24:00,15:24:00,,17:24:00,,18:24:00,19:21:00
Untersteinbach Ri O,06:29:00,07:09:00,07:48:00,,07:09:00,08:27:00,09:27:00,11:27:00,14:27:00,15:27:00,,17:27:00,,18:27:00,19:24:00
Langau,,,,,07:12:00,,,,,,,,,,
Bad Heilbrunn Altenheim Ri W,06:32:00,07:13:00,,,07:15:00,08:30:00,09:30:00,11:30:00,14:30:00,15:30:00,,17:30:00,,18:30:00,19:27:00
Bad Heilbrunn Kirche Ri S ankunft,06:33:00,07:14:00,,,07:16:00,08:31:00,09:31:00,11:31:00,14:31:00,15:31:00,,17:31:00,,18:31:00,19:28:00
Bad Heilbrunn Kirche Ri S abfahrt,06:33:00,07:14:00,,08:04:00,07:16:00,08:31:00,09:31:00,11:31:00,14:32:00,15:31:00,16:10:00,17:31:00,18:10:00,18:31:00,19:28:00
Bad Heilbrunn Birkenallee Ri W,,,07:53:00,,,,,,,,,,,,
Bad Heilbrunn Gästeinfo / Fachklinik Ri W,06:34:00,07:15:00,07:54:00,08:05:00,07:17:00,08:32:00,09:32:00,11:32:00,14:32:00,15:32:00,16:11:00,17:32:00,18:11:00,18:32:00,19:29:00
Bad Heilbrunn Kirche Ri S,,,07:55:00,,,,,,,,,,,,
Bad Heilbrunn Birkenallee Ri W,06:35:00,07:17:00,,08:06:00,07:19:00,08:33:00,09:33:00,11:33:00,14:33:00,15:33:00,16:12:00,17:33:00,18:12:00,18:33:00,19:30:00
Bad Heilbrunn Ostfeld Ri W,06:36:00,07:18:00,,08:07:00,07:20:00,08:34:00,09:34:00,11:34:00,14:34:00,15:34:00,16:13:00,17:34:00,18:13:00,18:34:00,19:31:00
Hinterstallau Ri W,06:37:00,07:19:00,,08:08:00,07:21:00,08:35:00,09:35:00,11:35:00,14:35:00,15:35:00,16:14:00,17:35:00,18:14:00,18:35:00,19:32:00
Hinterstallau Gh Wiesweber Ri W,06:38:00,07:20:00,,08:09:00,07:22:00,08:36:00,09:36:00,11:36:00,14:36:00,15:36:00,16:15:00,17:36:00,18:15:00,18:36:00,19:33:00
Vorderstallau Cafe Nirwana Ri W,06:39:00,07:21:00,,08:10:00,07:23:00,08:37:00,09:37:00,11:37:00,14:37:00,15:37:00,16:16:00,17:37:00,18:16:00,18:37:00,19:34:00
Blombergbahn Ri W,06:40:00,07:22:00,,08:11:00,07:24:00,08:38:00,09:38:00,11:38:00,14:38:00,15:38:00,16:17:00,17:38:00,18:17:00,18:38:00,19:35:00
Ruh am Bach Ri W,,07:24:00,,,07:26:00,,,,,,,,,,
Max Höfler Platz Ri S,06:44:00,07:27:00,,08:16:00,,08:43:00,09:43:00,11:43:00,14:43:00,15:43:00,16:22:00,17:43:00,18:22:00,18:43:00,19:39:00
Bad Tölz ZOB / Isarkai Ri S,06:46:00,07:29:00,,08:18:00,07:31:00,08:45:00,09:45:00,11:45:00,14:45:00,15:45:00,16:24:00,17:45:00,18:24:00,18:45:00,19:41:00
Hohenburg Schule,,,,,07:51:00,,,,,,,,,,
Bad Tölz Stadtwerke,06:48:00,07:31:00,,08:20:00,,08:47:00,09:47:00,11:47:00,14:47:00,15:47:00,16:26:00,17:47:00,18:26:00,18:47:00,19:43:00
Bad Tölz Osterleite,06:49:00,07:34:00,,08:21:00,,08:48:00,09:48:00,11:48:00,14:48:00,15:48:00,16:27:00,17:48:00,18:27:00,18:48:00,19:44:00
Bad Tölz Schulzentrum Ri W,,07:37:00,,,,,,,,,,,,,
Bad Tölz Bahnhof,06:53:00,07:42:00,,08:25:00,,08:52:00,09:52:00,11:52:00,14:52:00,15:52:00,16:31:00,17:52:00,18:31:00,18:52:00,19:48:00
