,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961
Kochel,04:37:00,,05:11:00,05:45:00,06:15:00,06:45:00,07:15:00,07:45:00,,08:45:00,09:45:00,10:45:00,11:48:00,13:00:00,13:52:00,14:45:00,15:45:00,16:15:00,16:45:00,,17:45:00,,18:45:00,,19:45:00,,21:16:00,22:16:00,23:16:00
Benediktbeuern Ri N,04:43:00,,05:17:00,05:51:00,06:21:00,06:51:00,07:21:00,07:51:00,,08:51:00,09:51:00,10:51:00,11:54:00,13:06:00,13:59:00,14:51:00,15:51:00,16:21:00,16:51:00,,17:51:00,,18:51:00,,19:51:00,,21:22:00,22:22:00,23:22:00
Bichl Ri N,04:46:00,,05:20:00,05:56:00,06:26:00,06:58:00,07:29:00,08:00:00,,08:59:00,09:59:00,10:59:00,11:57:00,13:09:00,14:01:00,14:59:00,15:59:00,16:29:00,17:00:00,,18:00:00,,19:00:00,,20:00:00,,21:29:00,22:29:00,23:29:00
Penzberg Ri N,04:50:00,,05:25:00,06:00:00,06:31:00,07:02:00,07:34:00,08:04:00,08:32:00,09:03:00,10:03:00,11:03:00,12:02:00,13:13:00,14:06:00,15:03:00,16:03:00,16:34:00,17:04:00,17:33:00,18:04:00,18:33:00,19:04:00,19:33:00,20:04:00,20:33:00,21:34:00,22:34:00,23:34:00
Iffeldorf Ri N,04:54:00,,05:29:00,06:05:00,06:35:00,07:07:00,07:38:00,,08:36:00,09:08:00,10:08:00,11:08:00,12:07:00,13:17:00,14:10:00,15:08:00,16:08:00,,17:09:00,,18:09:00,,19:09:00,,20:09:00,,21:38:00,22:38:00,23:38:00
Seeshaupt Ri N,05:00:00,,05:36:00,06:13:00,06:41:00,07:14:00,07:43:00,08:15:00,08:42:00,09:13:00,10:13:00,11:13:00,12:14:00,13:23:00,14:15:00,15:13:00,16:14:00,16:43:00,17:14:00,17:43:00,18:14:00,18:43:00,19:14:00,19:43:00,20:14:00,20:43:00,21:43:00,22:43:00,23:43:00
Bernried Ri N,05:04:00,,05:40:00,06:17:00,06:46:00,07:19:00,07:48:00,08:20:00,08:46:00,09:17:00,10:17:00,11:17:00,12:19:00,13:27:00,14:19:00,15:17:00,16:19:00,16:47:00,17:18:00,17:47:00,18:19:00,18:47:00,19:18:00,19:47:00,20:18:00,20:47:00,21:47:00,22:47:00,23:47:00
Tutzing Ri N ankunft,05:10:00,,05:47:00,06:25:00,06:51:00,07:25:00,07:53:00,08:27:00,08:52:00,09:24:00,10:24:00,11:24:00,12:25:00,13:33:00,14:24:00,15:24:00,16:25:00,16:53:00,17:25:00,17:53:00,18:25:00,18:53:00,19:26:00,19:53:00,20:26:00,20:53:00,21:53:00,22:53:00,23:53:00
Tutzing Ri N abfahrt,,05:15:00,05:55:00,06:38:00,07:00:00,07:32:00,08:00:00,08:38:00,,09:32:00,10:32:00,11:32:00,12:32:00,13:37:00,14:32:00,15:32:00,16:32:00,,17:32:00,,18:32:00,,19:32:00,,20:32:00,,,,
Starnberg Ri N,,05:24:00,,06:46:00,,07:41:00,,08:47:00,,09:41:00,10:41:00,11:41:00,12:41:00,13:40:00,14:41:00,15:41:00,16:41:00,,17:41:00,,18:41:00,,19:41:00,,20:41:00,,,,
