,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961
Starnberg Ri S,05:12:00,,,,06:18:00,,07:17:00,,08:17:00,09:17:00,10:17:00,,,13:19:00,14:17:00,15:18:00,16:15:00,,17:16:00,,18:15:00,,19:18:00,,20:17:00,,,
Tutzing Ri S ankunft,05:21:00,,06:00:00,,06:26:00,07:00:00,07:26:00,08:00:00,08:26:00,09:26:00,10:26:00,,,13:28:00,14:26:00,15:27:00,16:24:00,,17:24:00,,18:24:00,,19:27:00,,20:26:00,,,
Tutzing Ri S abfahrt,,05:25:00,06:02:00,06:08:00,06:28:00,07:04:00,07:32:00,08:04:00,08:30:00,09:33:00,10:33:00,12:04:00,13:10:00,13:33:00,14:33:00,15:33:00,16:32:00,17:03:00,17:32:00,18:03:00,18:32:00,19:03:00,19:32:00,20:03:00,20:32:00,21:04:00,23:04:00,00:04:00
Bernried Ri S,,05:30:00,06:07:00,06:16:00,06:33:00,07:09:00,07:38:00,08:09:00,08:35:00,09:38:00,10:38:00,12:09:00,13:16:00,13:38:00,14:38:00,15:38:00,16:37:00,17:09:00,17:37:00,18:09:00,18:37:00,19:09:00,19:37:00,20:09:00,20:37:00,21:09:00,23:09:00,00:09:00
Seeshaupt Ri S,,05:37:00,06:12:00,06:24:00,06:42:00,07:13:00,07:44:00,08:15:00,08:43:00,09:43:00,10:43:00,12:14:00,13:24:00,13:43:00,14:43:00,15:43:00,16:44:00,17:15:00,17:44:00,18:15:00,18:44:00,19:15:00,19:44:00,20:15:00,20:44:00,21:14:00,23:14:00,00:14:00
Iffeldorf Ri S,,05:41:00,,06:30:00,06:47:00,07:18:00,07:49:00,,08:47:00,09:48:00,10:48:00,12:19:00,13:28:00,13:48:00,14:48:00,15:47:00,16:49:00,,17:49:00,,18:49:00,,19:49:00,,20:49:00,21:19:00,23:19:00,00:19:00
Penzberg Ri S,,05:46:00,06:20:00,06:43:00,06:51:00,07:23:00,07:54:00,08:24:00,08:52:00,09:52:00,10:52:00,12:23:00,13:33:00,13:52:00,14:52:00,15:52:00,16:53:00,17:24:00,17:53:00,18:24:00,18:53:00,19:24:00,19:53:00,20:24:00,20:53:00,21:23:00,23:23:00,00:23:00
Bichl Ri S,,05:56:00,06:25:00,,06:57:00,07:28:00,07:59:00,,08:57:00,09:57:00,10:57:00,12:28:00,13:38:00,13:57:00,14:57:00,15:57:00,16:58:00,,17:58:00,,18:58:00,,19:58:00,,20:58:00,21:28:00,23:28:00,00:28:00
Benediktbeuern Ri S,,05:59:00,06:28:00,,07:00:00,07:30:00,08:02:00,,09:00:00,10:00:00,11:00:00,12:31:00,13:40:00,14:00:00,15:00:00,16:00:00,17:01:00,,18:01:00,,19:01:00,,20:01:00,,21:01:00,21:31:00,23:31:00,00:31:00
Kochel,,06:06:00,06:36:00,,07:06:00,07:37:00,08:08:00,,09:07:00,10:08:00,11:08:00,12:39:00,13:46:00,14:07:00,15:08:00,16:08:00,17:08:00,,18:08:00,,19:08:00,,20:08:00,,21:08:00,21:38:00,23:38:00,00:38:00
