,9620,9620,9620,9620
Murnau Bahnhof,,,09:40:00,16:36:00
Murnau Kemmel-Park Ri N,,,09:43:00,16:39:00
Murnau Neuegling Ri N,,,09:45:00,16:41:00
Murnau Egling Ri N,,,09:46:00,16:42:00
Hofheim Ri N,,,09:48:00,16:44:00
Waltersberg Ri N,,,09:49:00,16:45:00
Spatzenhausen Ri N,,,09:51:00,16:47:00
Untersöchering Ri O,,,09:55:00,16:51:00
Obersöchering Ri S,,,09:57:00,16:53:00
Leibersberg Aussiedlerhof Ri W,,,10:00:00,16:56:00
Leibersberg Ri S,06:28:00,07:23:00,10:01:00,16:57:00
Aidling Aussiedlerhof Ri O,06:30:00,07:25:00,10:03:00,16:59:00
Aidling Ri O,06:31:00,07:26:00,10:04:00,17:00:00
Riegsee Gemeinde Ri S,06:32:00,07:29:00,10:07:00,17:03:00
Riegsee Am Bimberg Ri S,06:33:00,07:31:00,10:08:00,17:04:00
Froschhausen Ri W,06:37:00,07:33:00,10:10:00,17:06:00
Murnau Weindorf Ri W,06:38:00,07:34:00,10:11:00,17:07:00
Murnau Sollerstraße Ri O,,07:39:00,10:13:00,17:09:00
Murnau Grundschule Ri S,,07:41:00,,
Murnau Bahnhof,06:43:00,07:51:00,10:19:00,17:14:00
