,9621
Grafenaschau Seniorenheim,06:30:00
Murnau Westried Ri O,06:34:00
Hermannswies Erholungsheim Ri O,06:35:00
Murnau Berggeist Ri O,06:36:00
Murnau Seeleiten Ri O,06:37:00
Murnau Klinik Hochried Ri O,06:38:00
Murnau Ramsachleite Ri O,06:39:00
Murnau Seniorenheim Ri O,06:40:00
Murnau Bahnhof ankunft,06:45:00
Murnau Bahnhof abfahrt,13:50:00
Murnau Seniorenheim Ri W,13:52:00
Murnau Ramsachleite Ri W,13:57:00
Murnau Klinik Hochried Ri W,13:59:00
Murnau Seeleiten Ri W,14:00:00
Murnau Berggeist Ri W,14:01:00
Hermannswies Erholungsheim Ri W,14:02:00
Murnau Westried Ri W,14:03:00
Grafenaschau Seniorenheim,14:05:00
Abzw Grafenaschau,14:10:00
Abzw Jägerhaus Ri W,14:14:00
Bad Kohlgrub Abzw Bahnhof Ri W,14:16:00
Bad Kohlgrub Rathaus,14:17:00
