,9622,9622,9622,9622,9622,9622,9622,9622,9622
Oberammergau Bahnhof Ri O,06:40:00,09:30:00,10:25:00,11:20:00,12:25:00,13:11:00,16:00:00,17:25:00,18:30:00
Oberammergau Eugen Papst StraßeRi S,06:42:00,09:32:00,10:27:00,11:22:00,,13:13:00,16:02:00,17:27:00,18:32:00
Oberammergau Tiroler Gasse Ri N,,,,11:30:00,,13:17:00,16:05:00,17:30:00,
Oberammergau Hexenstube Ri O,06:44:00,09:34:00,10:29:00,11:32:00,,13:20:00,16:07:00,17:32:00,18:34:00
Ettal Abzw Zieglerhof Ri O,,09:37:00,,11:35:00,12:28:00,13:25:00,16:09:00,17:34:00,
Ettal Klostergasthof Ri O,,09:38:00,,11:36:00,12:29:00,13:26:00,16:10:00,17:35:00,
Ettal am Berg Ri S,,09:40:00,,11:38:00,12:30:00,13:28:00,16:12:00,17:37:00,
Ettal Klostergasthof Ri W,,09:42:00,,11:40:00,12:31:00,13:31:00,16:14:00,17:39:00,
Ettal Abzw Zieglerhof Ri W,,09:43:00,,11:41:00,12:32:00,13:32:00,16:15:00,17:40:00,
Ettaler Mühle Ri W,06:49:00,09:45:00,10:34:00,11:43:00,12:34:00,13:33:00,16:17:00,17:42:00,18:39:00
Rahm Ri W,06:52:00,09:48:00,10:37:00,11:46:00,12:37:00,13:36:00,16:19:00,17:44:00,18:42:00
Graswang Linderhofer Straße 1 Ri W,06:53:00,09:49:00,10:38:00,11:47:00,12:38:00,13:37:00,16:20:00,17:45:00,18:43:00
Graswang Ri W,06:54:00,09:50:00,10:39:00,11:48:00,12:39:00,13:39:00,16:21:00,17:46:00,18:44:00
Graswang Gröbl Alm Ri W,06:55:00,09:52:00,10:40:00,11:49:00,12:40:00,13:40:00,16:22:00,17:47:00,18:45:00
Linderhof Forsthaus Ri W,07:01:00,09:58:00,10:46:00,11:54:00,12:45:00,13:45:00,16:27:00,17:52:00,18:51:00
Linderhof Schloß,07:05:00,10:00:00,10:50:00,11:58:00,12:49:00,13:48:00,16:29:00,17:54:00,18:55:00
