,9622,9622,9622,9622,9622,9622,9622,9622,9622,9622,9622
Linderhof Schloß,06:10:00,07:06:00,10:00:00,10:50:00,12:00:00,12:50:00,13:50:00,15:06:00,16:04:00,17:55:00,18:56:00
Linderhof Forsthaus Ri O,06:12:00,07:08:00,10:02:00,10:52:00,12:01:00,12:51:00,13:51:00,15:08:00,16:42:00,17:57:00,18:58:00
Graswang Gröbl Alm Ri O,06:17:00,07:13:00,10:07:00,10:57:00,12:06:00,12:56:00,13:55:00,15:13:00,16:47:00,18:02:00,19:03:00
Graswang Ri O,06:18:00,07:14:00,10:08:00,10:58:00,12:07:00,12:57:00,13:56:00,15:14:00,16:48:00,18:03:00,19:04:00
Graswang Linderhofer Straße 1 Ri O,06:19:00,07:15:00,10:09:00,10:59:00,12:08:00,12:58:00,13:57:00,15:15:00,16:49:00,18:04:00,19:05:00
Rahm Ri O,06:20:00,07:16:00,10:10:00,11:00:00,12:09:00,12:59:00,13:58:00,15:16:00,16:50:00,18:05:00,19:06:00
Ettaler Mühle Ri O,06:23:00,07:19:00,10:13:00,11:03:00,12:12:00,13:02:00,14:01:00,15:19:00,16:53:00,18:08:00,19:09:00
Ettal Abzw Zieglerhof Ri O,,07:20:00,10:15:00,,,,14:02:00,15:20:00,,18:10:00,
Ettal Klostergasthof Ri O,,07:21:00,10:16:00,,,,14:03:00,15:21:00,,18:11:00,
Ettal am Berg Ri S,,07:23:00,10:18:00,,,,14:05:00,15:23:00,,18:15:00,
Ettal Klostergasthof Ri W,,07:25:00,10:20:00,,,,14:07:00,15:26:00,,18:17:00,
Ettal Abzw Zieglerhof Ri W,,07:26:00,10:21:00,,,,14:08:00,15:27:00,,18:18:00,
Oberammergau Rainenbichl Ri O,06:27:00,,,,,,,,,,
Oberammergau Aufackerstraße Ri N,06:29:00,,,,,,,,,,
Oberammergau Hexenstube Ri W,,07:29:00,10:24:00,11:07:00,12:16:00,,14:11:00,15:30:00,16:57:00,18:21:00,19:13:00
Oberammergau Tiroler Gasse Ri S,06:32:00,07:32:00,,,12:20:00,,14:13:00,15:32:00,,,
Oberammergau Eugen Papst StraßeRi N,06:34:00,,10:26:00,11:09:00,12:22:00,,14:16:00,15:35:00,16:59:00,18:23:00,19:15:00
Oberammergau Bahnhof Ri W,06:37:00,07:35:00,10:29:00,11:12:00,12:24:00,13:09:00,14:20:00,15:38:00,17:02:00,18:26:00,19:18:00
