,9631,9631
Murnau Bahnhof,13:52:00,17:05:00
Murnau Weindorfer Straße Ri O,13:57:00,17:08:00
Murnau Weindorf Ri O,13:58:00,17:09:00
Murnau Froschhausen Ri O,14:00:00,17:11:00
Riegsee Am Bimberg Ri N,14:02:00,17:13:00
Riegsee Gemeinde Ri N,14:03:00,17:14:00
Aidling Ri W,14:05:00,17:17:00
Aidling Aussiedlerhof Ri W,14:07:00,17:18:00
Leibersberg Ri N,14:09:00,17:20:00
Hofheim Ri S,14:11:00,17:23:00
Waltersberg,14:12:00,17:24:00
Spatzenhausen Ri S,14:14:00,17:25:00
Obersöchering Ri N,14:18:00,17:28:00
Untersöchering Ri W,14:20:00,17:30:00
