,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963
Murnau Ri S,,05:12:00,06:00:00,06:48:00,07:42:00,08:42:00,09:42:00,10:42:00,11:42:00,12:35:00,13:24:00,14:42:00,15:42:00,16:42:00,17:42:00,18:42:00,19:42:00,20:42:00,21:42:00,22:42:00,23:34:00
Murnau Ort Ri S,,05:13:00,06:01:00,06:49:00,07:43:00,08:43:00,09:43:00,10:43:00,11:43:00,12:36:00,13:25:00,14:43:00,15:43:00,16:43:00,17:43:00,18:43:00,19:43:00,20:43:00,21:43:00,22:43:00,23:35:00
Seeleiten-Berggeist Ri S,,05:17:00,06:05:00,06:53:00,07:47:00,08:57:00,09:47:00,10:47:00,11:47:00,12:40:00,13:29:00,14:47:00,15:47:00,16:47:00,17:47:00,18:47:00,19:47:00,20:47:00,21:47:00,22:47:00,23:39:00
Grafenaschau Ri W,,05:21:00,06:09:00,06:56:00,07:51:00,08:51:00,09:51:00,10:51:00,11:51:00,12:43:00,13:33:00,14:51:00,15:51:00,16:51:00,17:51:00,18:51:00,19:51:00,20:51:00,21:51:00,22:51:00,23:42:00
Jägerhaus Ri W,,,,,07:55:00,08:55:00,09:55:00,10:55:00,11:55:00,12:48:00,13:37:00,14:55:00,15:55:00,16:55:00,17:55:00,18:55:00,19:55:00,20:55:00,,,
Bad Kohlgrub Ri W,,05:30:00,06:19:00,07:06:00,08:02:00,09:02:00,10:02:00,11:02:00,12:02:00,12:54:00,13:43:00,15:02:00,16:02:00,17:02:00,18:02:00,19:02:00,20:02:00,21:02:00,22:02:00,23:02:00,23:53:00
Bad Kohlgrub Kurhaus Ri W,,05:33:00,06:21:00,07:08:00,08:04:00,09:04:00,10:04:00,11:04:00,12:04:00,12:56:00,13:45:00,15:04:00,16:04:00,17:04:00,18:04:00,19:04:00,20:04:00,21:04:00,22:04:00,23:04:00,23:55:00
Saulgrub Ri S,,05:35:00,06:24:00,07:11:00,08:07:00,09:07:00,10:07:00,11:07:00,12:07:00,12:59:00,13:48:00,15:07:00,16:07:00,17:07:00,18:07:00,19:07:00,20:07:00,21:07:00,22:07:00,23:07:00,23:58:00
Altenau Ri S,00:02:00,05:39:00,06:28:00,07:15:00,08:11:00,09:11:00,10:11:00,11:11:00,12:11:00,13:03:00,13:52:00,15:11:00,16:11:00,17:11:00,18:11:00,19:11:00,20:11:00,21:11:00,22:11:00,23:11:00,
Unterammergau Ri S,00:07:00,05:44:00,06:33:00,07:20:00,08:16:00,09:16:00,10:16:00,11:16:00,12:16:00,13:08:00,13:57:00,15:16:00,16:16:00,17:16:00,18:16:00,19:16:00,20:16:00,21:16:00,22:16:00,23:16:00,
Oberammergau,00:12:00,05:50:00,06:38:00,07:26:00,08:21:00,09:21:00,10:21:00,11:21:00,12:21:00,13:13:00,14:02:00,15:21:00,16:21:00,17:21:00,18:21:00,19:21:00,20:21:00,21:21:00,22:21:00,23:21:00,
