,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963
Oberammergau,,05:07:00,05:56:00,06:43:00,07:38:00,08:38:00,09:38:00,11:38:00,12:30:00,13:19:00,14:38:00,15:38:00,16:38:00,17:38:00,18:38:00,19:38:00,20:38:00,21:38:00,22:38:00,23:29:00
Unterammergau Ri N,,05:12:00,06:00:00,06:47:00,07:42:00,08:42:00,09:42:00,11:42:00,12:34:00,13:23:00,14:42:00,15:42:00,16:42:00,17:42:00,18:42:00,19:42:00,20:42:00,21:42:00,22:42:00,23:33:00
Altenau Ri N,,05:17:00,06:05:00,06:52:00,07:47:00,08:47:00,09:47:00,11:47:00,12:39:00,13:28:00,14:47:00,15:47:00,16:47:00,17:47:00,18:47:00,19:47:00,20:47:00,21:47:00,22:47:00,23:38:00
Saulgrub Ri N,,05:21:00,06:09:00,06:56:00,07:51:00,08:51:00,09:51:00,11:51:00,12:43:00,13:32:00,14:51:00,15:51:00,16:51:00,17:51:00,18:51:00,19:51:00,20:51:00,21:51:00,22:51:00,23:42:00
Bad Kohlgrub Kurhaus Ri O,,05:22:00,06:10:00,06:58:00,07:53:00,08:53:00,09:53:00,11:53:00,12:45:00,13:34:00,14:53:00,15:53:00,16:53:00,17:53:00,18:53:00,19:53:00,20:53:00,21:53:00,22:53:00,23:44:00
Bad Kohlgrub Ri O,,05:29:00,06:18:00,07:05:00,08:01:00,09:01:00,10:01:00,12:01:00,12:53:00,13:42:00,15:01:00,16:01:00,17:01:00,18:01:00,19:01:00,20:01:00,21:01:00,22:01:00,23:01:00,23:52:00
Jägerhaus Ri O,,,,07:08:00,08:04:00,09:04:00,10:04:00,12:04:00,12:56:00,13:45:00,15:04:00,16:04:00,17:04:00,18:04:00,19:04:00,20:04:00,,,,
Grafenaschau Ri O,00:00:00,05:38:00,06:26:00,07:13:00,08:09:00,09:09:00,10:09:00,12:09:00,13:01:00,13:51:00,15:09:00,16:09:00,17:09:00,18:09:00,19:09:00,20:09:00,21:09:00,22:09:00,23:09:00,
Seeleiten Berggeist Ri N,00:03:00,05:40:00,06:29:00,07:16:00,08:12:00,09:12:00,10:12:00,12:12:00,13:04:00,13:53:00,15:12:00,16:12:00,17:12:00,18:12:00,19:12:00,20:12:00,21:12:00,22:12:00,23:12:00,
Murnau Ort Ri N,00:07:00,05:45:00,06:34:00,07:21:00,08:16:00,09:16:00,10:16:00,12:16:00,13:09:00,13:58:00,15:16:00,16:16:00,17:16:00,18:16:00,19:16:00,20:16:00,21:16:00,22:16:00,23:16:00,
Murnau Ri N,00:10:00,05:47:00,06:36:00,07:23:00,08:19:00,09:19:00,10:19:00,12:19:00,13:11:00,14:01:00,15:19:00,16:19:00,17:19:00,18:19:00,19:19:00,20:19:00,21:19:00,22:19:00,23:19:00,
