,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Eibsee,,06:48:00,,08:10:00,09:10:00,10:10:00,10:14:00,11:10:00,11:14:00,12:10:00,12:14:00,13:00:00,13:50:00,15:10:00,15:40:00,16:10:00,16:40:00,17:10:00,17:40:00,18:10:00,19:10:00,20:10:00,,
Grainau Christlhütte Ri N,,06:51:00,,08:14:00,09:14:00,10:14:00,10:18:00,11:14:00,11:18:00,12:14:00,12:18:00,13:04:00,13:54:00,15:14:00,15:44:00,16:14:00,16:44:00,17:14:00,17:44:00,18:14:00,19:14:00,20:14:00,,
Grainau Badersee Ri N,06:28:00,06:54:00,07:25:00,08:16:00,09:16:00,10:16:00,10:20:00,11:16:00,11:20:00,12:16:00,12:20:00,13:06:00,13:56:00,15:16:00,15:46:00,16:16:00,16:46:00,17:16:00,17:46:00,18:16:00,19:16:00,20:16:00,20:56:00,21:56:00
Dorfplatz Untergrainau Ri S,06:30:00,06:56:00,07:27:00,08:20:00,09:20:00,10:20:00,10:24:00,11:20:00,11:24:00,12:20:00,12:24:00,13:10:00,14:00:00,15:20:00,15:50:00,16:20:00,16:50:00,17:20:00,17:50:00,18:20:00,19:20:00,20:20:00,21:00:00,22:00:00
Grainau Zugspitzbahnhof Ri S,06:32:00,06:58:00,07:29:00,08:22:00,09:22:00,10:22:00,,11:22:00,,12:22:00,,13:12:00,14:02:00,15:22:00,,16:22:00,,17:22:00,,18:22:00,19:22:00,20:22:00,21:02:00,22:02:00
Grainau Hotel Post Ri S,06:33:00,06:59:00,07:30:00,08:24:00,09:24:00,10:24:00,,11:24:00,,12:24:00,,13:14:00,14:04:00,15:24:00,,16:24:00,,17:24:00,,18:24:00,19:24:00,20:24:00,21:04:00,22:04:00
Grainau Schwarzenkopfweg Ri O,06:34:00,07:00:00,07:31:00,08:25:00,09:25:00,10:25:00,,11:25:00,,12:25:00,,13:15:00,14:05:00,15:25:00,,16:25:00,,17:25:00,,18:25:00,19:25:00,20:25:00,21:05:00,22:05:00
Hammersbach,06:36:00,07:02:00,07:33:00,08:28:00,09:28:00,10:28:00,,11:28:00,,12:28:00,,13:18:00,14:08:00,15:28:00,,16:28:00,,17:28:00,,18:28:00,19:28:00,20:28:00,21:08:00,22:08:00
Grainau Höllentalstraße Ri O,06:38:00,07:04:00,07:35:00,08:31:00,09:31:00,10:31:00,,11:31:00,,12:31:00,,13:21:00,14:11:00,15:31:00,,16:31:00,,17:31:00,,18:31:00,19:31:00,20:31:00,21:11:00,22:12:00
Grainau Wankstraße Ri N,06:39:00,07:05:00,07:37:00,08:33:00,09:33:00,10:33:00,,11:33:00,,12:33:00,,13:23:00,14:13:00,15:33:00,,16:33:00,,17:33:00,,18:33:00,19:33:00,20:33:00,21:13:00,22:13:00
