Linie 1,Klinikum ► Bahnhof ► Marienplatz ► Äußere MaximilianstraßE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linie 2,Klinikum ► Bahnhof ► Marienplatz ► Kreuzeck/Alpspitzbahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mo-sa,mo-sa,mo-sa,tgl.,mo-sa,tgl.,mo-fr,tgl.,mo-fr,tgl.,mo-fr,tgl.,mo-fr,tgl.,mo-fr,tgl.,mo-fr,tgl.,mo-fr,tgl.,mo-fr,tgl.,mo-fr,tgl.,mo-fr,tgl.,mo-fr,tgl.,mo-fr,tgl.,tgl.,tgl.,tgl.,tgl.,tgl.,tgl.
Haltestelle/Linie,1,1,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1#,1#,1#,1#,1#,1#
Klinikum  ,,,6:19,7:00,7:27,8:15,,9:00,,9:50,10:10,10:30,10:55,11:15,11:40,12:00,12:25,12:45,13:10,13:31,13:55,14:15,14:40,14:57,15:20,15:42,16:05,16:30,16:55,17:15,18:13,18:52,19:28,19:54,20:34,22:10
Skistadion  ,,,6:20,7:01,7:28,8:16,,9:01,,9:51,10:11,10:31,10:56,11:16,11:41,12:01,12:26,12:46,13:11,13:32,13:56,14:16,14:41,14:58,15:21,15:43,16:06,16:31,16:56,17:16,18:14,18:53,19:29,19:55,20:35,22:10
Wildenauer Straße ,,,6:21,7:02,7:29,8:17,,9:02,,9:52,10:12,10:32,10:57,11:17,11:42,12:02,12:27,12:47,13:12,13:33,13:57,14:17,14:42,14:59,15:22,15:44,16:07,16:32,16:57,17:17,18:15,18:54,19:30,19:56,20:36,22:11
Alpenstraße  ,,,6:21,7:02,7:29,8:18,,9:03,,9:53,10:13,10:33,10:58,11:18,11:43,12:03,12:28,12:48,13:13,13:34,13:58,14:18,14:43,15:00,15:23,15:45,16:08,16:33,16:58,17:18,18:16,18:55,19:30,19:56,20:36,22:11
Mittenwalder Straße ,,,6:22,7:03,7:30,8:19,,9:04,,9:54,10:14,10:34,10:59,11:19,11:44,12:04,12:29,12:49,13:14,13:35,13:59,14:19,14:44,15:01,15:24,15:46,16:09,16:34,16:59,17:19,18:17,18:56,19:31,19:57,20:37,22:12
Haupt-/ Dr. Wigger-Straße,,,6:23,7:04,7:31,8:20,,9:05,,9:55,10:15,10:35,11:00,11:20,11:45,12:05,12:30,12:50,13:15,13:36,14:00,14:20,14:45,15:02,15:25,15:47,16:10,16:35,17:00,17:20,18:18,18:57,19:32,19:58,20:38,22:13
Badgasse/Werdenf. Museum ,,,6:24,7:05,7:32,8:21,,9:06,,9:56,10:16,10:36,11:01,11:21,11:46,12:06,12:31,12:51,13:16,13:37,14:01,14:21,14:46,15:03,15:26,15:48,16:11,16:36,17:01,17:21,18:19,18:58,19:33,19:59,20:39,22:14
Historische Ludwigstraße ,,,6:25,7:07,7:34,8:23,,9:08,,9:58,10:18,10:38,11:03,11:23,11:48,12:08,12:33,12:52,13:18,13:39,14:03,14:23,14:48,15:05,15:28,15:50,16:13,16:38,17:03,17:23,18:21,19:00,19:34,20:00,20:40,22:15
Sebastianskirche  ,,6:05,6:27,7:10,7:37,8:26,8:56,9:11,9:36,10:01,10:21,10:41,11:06,11:26,11:51,12:11,12:36,12:55,13:21,13:42,14:06,14:26,14:51,15:08,15:31,15:53,16:16,16:41,17:06,17:26,18:24,19:03,19:36,20:02,20:42,F
Rathaus  ,,6:06,6:28,7:11,7:38,8:27,8:57,9:12,9:37,10:02,10:22,10:42,11:07,11:27,11:52,12:12,12:37,12:58,13:22,13:43,14:07,14:27,14:52,15:09,15:32,15:54,16:17,16:42,17:07,17:27,18:25,19:04,19:37,20:03,20:43,F
Bahnhof an ,,6:08,6:30,7:15,7:42,8:31,9:01,9:16,9:41,10:06,10:26,10:46,11:11,11:31,11:56,12:16,12:41,13:01,13:26,13:47,14:11,14:31,14:56,15:13,15:36,15:58,16:21,16:46,17:11,17:31,18:29,19:08,19:40,20:06,20:46,F
Bahnhof ab ,,6:08,6:30,7:15,7:42,8:31,9:01,9:16,9:41,10:06,10:26,10:46,11:11,11:31,11:56,12:16,12:41,13:04,13:26,13:47,14:11,14:31,14:56,15:13,15:36,16:02,16:21,16:46,17:11,17:31,18:29,19:08,19:40,20:06,20:46,F
Kurpark  ,5:42,6:09,6:31,7:16,7:43,8:32,9:02,9:17,9:42,10:07,10:27,10:47,11:12,11:32,11:57,12:17,12:42,13:05,13:27,13:48,14:12,14:32,14:57,15:14,15:37,16:03,16:22,16:47,17:12,17:32,18:30,19:09,19:41,20:07,20:47,F
Achenfeldstraße  ,5:43,6:10,6:32,7:18,7:45,8:34,9:04,9:19,9:44,10:09,10:29,10:49,11:14,11:34,11:59,12:19,12:44,13:07,13:29,13:50,14:14,14:34,14:59,15:16,15:39,16:05,16:24,16:49,17:14,17:34,18:32,19:11,19:43,20:08,20:48,F
Alpspitzstraße  ,5:44,6:11,6:33,7:19,7:46,8:35,9:05,9:20,9:45,10:10,10:30,10:50,11:15,11:35,12:00,12:20,12:45,13:08,13:30,13:51,14:15,14:35,15:00,15:17,15:40,16:06,16:25,16:50,17:15,17:35,18:33,19:12,19:44,20:09,20:49,F
Marienplatz  ,5:45,6:12,6:36,7:22,7:49,8:38,9:08,9:23,9:48,10:13,10:33,10:53,11:18,11:38,12:03,12:23,12:48,13:11,13:33,13:54,14:18,14:38,15:03,15:20,15:43,16:09,16:28,16:53,17:18,17:38,18:36,19:15,19:47,20:12,20:52,F
Rießerkopfstraße  ,5:45,6:12,6:36,7:22,7:50,8:39,9:09,9:24,9:49,10:14,10:34,10:54,11:19,11:39,12:04,12:24,12:49,13:12,13:34,13:55,14:19,14:39,15:04,15:21,15:44,16:10,16:29,16:54,17:19,17:39,18:37,19:16,19:48,20:12,20:52,F
Am Mühlbach ,5:46,6:13,6:37,7:23,7:51,8:40,9:10,9:25,9:50,10:15,10:35,10:55,11:20,11:40,12:05,12:25,12:50,13:13,13:35,13:56,14:20,14:40,15:05,15:22,15:45,16:11,16:30,16:55,17:20,17:40,18:38,19:17,19:49,20:13,20:53,F
Fichtackerstraße  ,5:46,6:13,6:37,7:23,7:52,8:41,9:11,9:26,9:51,10:16,10:36,10:56,11:21,11:41,12:06,12:26,12:51,13:14,13:36,13:57,14:21,14:41,15:06,15:23,15:46,16:12,16:31,16:56,17:21,17:41,18:38,19:17,19:49,20:13,20:53,F
Archstraße  ,5:47,6:14,6:38,7:24,7:53,8:42,9:12,9:27,9:52,10:17,10:37,10:57,11:22,11:42,12:07,12:27,12:52,13:15,13:37,13:58,14:22,14:42,15:07,15:24,15:47,16:13,16:32,16:57,17:22,17:42,18:39,19:18,19:50,20:14,20:54,F
Breitenau Zugspitzstraße ,5:47,6:15,6:39,7:25,7:54,8:43,9:13,9:28,9:53,10:18,10:38,10:58,11:23,11:43,12:08,12:28,12:53,13:16,13:38,13:59,14:23,14:43,15:08,15:25,15:48,16:14,16:33,16:58,17:23,17:43,18:40,19:19,19:51,20:15,20:55,F
Breitenau Loisachbrücke ,5:47,6:15,6:39,▼,7:54,▼,▼,▼,▼,▼,10:38,▼,11:23,▼,12:08,▼,12:53,▼,13:38,▼,14:23,▼,15:08,▼,15:48,▼,16:33,▼,17:23,▼,18:40,19:19,19:51,20:15,20:55,F
Äußere Maximilianstraße ,5:50,6:18,6:42,▼,7:58,▼,▼,▼,▼,▼,10:42,▼,11:27,▼,12:12,▼,12:57,▼,13:42,▼,14:27,▼,15:12,▼,15:52,▼,16:34,▼,17:24,▼,18:43,19:22,19:54,20:18,20:58,F
Grainauer Fußweg ,,,,7:26,,8:44,9:14,9:29,9:54,10:19,,10:59,,11:44,,12:29,,13:17,,14:00,,14:44,,15:26,,16:15,16:35,16:59,17:25,17:44,,,,,,F
Aule-Alm-Fußweg  ,,,,7:26,,8:44,9:14,9:29,9:54,10:19,,10:59,,11:44,,12:29,,13:17,,14:00,,14:44,,15:26,,16:15,16:35,16:59,17:25,17:44,,,,,,
Hammersbacher Fußweg ,,,,7:27,,8:45,9:15,9:30,9:55,10:20,,11:00,,11:45,,12:30,,13:18,,14:01,,14:45,,15:27,,16:16,16:36,17:00,17:26,17:45,,,,,,
Kreuzeck / Alpspitzbahn,,,,7:30,,8:50,9:20,9:35,10:00,10:25,,11:05,,11:48,,12:35,,13:23,,14:06,,14:50,,15:32,,16:19,16:43,17:05,17:33,17:50,,,,,,
