"",mo-sa ,mo-sa ,mo-sa ,tgl. ,mo-sa ,So/F ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,tgl. ,tgl. ,tgl. ,tgl. ,tgl.
altestelle / Linie ,1 ,1 ,1 ,2 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,2 ,2 ,2# ,2# ,1# ,1# ,1# ,1# ,1#
reuzeck / Alpspitzbahn ,"","","",7:35 ,"","",9:00 ,9:25 ,9:45 ,10:04 ,10:30 ,"",11:15 ,"",11:58 ,"",12:42 ,"",13:30 ,"",14:15 ,"",15:00 ,"",15:42 ,"",16:30 ,16:48 ,17:22 ,17:37 ,18:09,"","","","",""
ammersbacher Fußweg ,"","","",7:36 ,"","",9:01 ,9:26 ,9:46 ,10:05 ,10:31 ,"",11:16 ,"",11:59 ,"",12:43 ,"",13:31 ,"",14:16 ,"",15:01 ,"",15:43 ,"",16:31 ,16:49 ,17:23 ,17:38 ,18:10,"","","","",""
ule-Alm-Fußweg ,"","","",7:36 ,"","",9:01 ,9:26 ,9:46 ,10:05 ,10:31 ,"",11:16 ,"",11:59 ,"",12:43 ,"",13:31 ,"",14:16 ,"",15:01 ,"",15:43 ,"",16:31 ,16:49 ,17:23 ,17:38 ,18:10,"","","","",""
rainauer Fußweg ,"","","",7:37 ,"","",9:02 ,9:27 ,9:47 ,10:06 ,10:32 ,"",11:17 ,"",12:00 ,"",12:44 ,"",13:32 ,"",14:17 ,"",15:02 ,"",15:44 ,"",16:32 ,16:50 ,17:24 ,17:39 ,18:11,"","","","",""
ußere Maximilianstraße ,5:55 ,6:25 ,6:55 ,▼ ,8:04 ,"",▼ ,9:32 ,▼ ,10:11 ,▼ ,10:55 ,▼ ,11:41 ,▼ ,12:25 ,▼ ,13:10 ,▼ ,13:55 ,▼ ,14:37 ,▼ ,15:25 ,▼ ,16:10 ,▼ ,▼ ,▼ ,▼ ,▼ ,18:46 ,19:24 ,19:55 ,21:02,""
reitenau Loisachbrücke ,5:55 ,6:25 ,6:55 ,▼ ,8:04 ,"",▼ ,9:32 ,▼ ,10:11 ,▼ ,10:55 ,▼ ,11:41 ,▼ ,12:25 ,▼ ,13:10 ,▼ ,13:55 ,▼ ,14:37 ,▼ ,15:25 ,▼ ,16:10 ,▼ ,▼ ,▼ ,▼ ,▼ ,18:46 ,19:24 ,19:55 ,21:02,""
reitenau Zugspitzstraße ,5:56 ,6:26 ,6:56 ,7:38 ,8:05 ,"",9:03 ,9:33 ,9:48 ,10:12 ,10:33 ,10:56 ,11:18 ,11:42 ,12:01 ,12:26 ,12:45 ,13:11 ,13:33 ,13:56 ,14:18 ,14:38 ,15:03 ,15:26 ,15:45 ,16:11 ,16:33 ,16:51 ,17:25 ,17:40 ,18:12 ,18:47 ,19:25 ,19:56 ,21:03,""
rchstraße ,5:57 ,6:27 ,6:58 ,7:40 ,8:07 ,"",9:05 ,9:35 ,9:50 ,10:14 ,10:35 ,10:58 ,11:20 ,11:44 ,12:03 ,12:28 ,12:47 ,13:13 ,13:35 ,13:58 ,14:20 ,14:40 ,15:05 ,15:28 ,15:47 ,16:13 ,16:35 ,16:53 ,17:27 ,17:42 ,18:14 ,18:48 ,19:26 ,19:57 ,21:04,""
ichtackerstraße ,5:58 ,6:28 ,6:59 ,7:41 ,8:08 ,"",9:06 ,9:36 ,9:51 ,10:15 ,10:36 ,10:59 ,11:21 ,11:45 ,12:04 ,12:29 ,12:48 ,13:14 ,13:36 ,13:59 ,14:21 ,14:41 ,15:06 ,15:29 ,15:48 ,16:14 ,16:36 ,16:54 ,17:28 ,17:43 ,18:15 ,18:49 ,19:27 ,19:58 ,21:05,""
