"",S ,S ,mo-sa ,mo-fr ,tgl. ,mo-fr ,tgl. ,tgl. ,tgl. ,S ,tgl. ,tgl. ,tgl. ,tgl. ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,tgl. ,tgl. ,tgl. ,tgl. ,tgl.
Haltestelle / Linie ,3 ,4 ,4 ,2 ,4 ,2 ,4 ,4 ,4 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4# ,4# ,4# ,4# ,4#
Antonistüberl ,6:55 ,"",8:15 ,"",8:55 ,"",9:53 ,10:45 ,11:40 ,"",12:39 ,13:25 ,14:03 ,14:58 ,15:46 ,"",16:38 ,16:56 ,17:30 ,18:21 ,18:56 ,19:52,"",""
Maibaum ,6:56 ,"",8:16 ,"",8:56 ,"",9:54 ,10:46 ,11:41 ,"",12:40 ,13:26 ,14:04 ,14:59 ,15:47 ,"",16:39 ,16:57 ,17:31 ,18:22 ,18:57 ,19:53,"",""
Garmischer Straße ,6:57 ,"",8:17 ,"",8:57 ,"",9:55 ,10:47 ,11:42 ,"",12:41 ,13:27 ,14:05 ,15:00 ,15:48 ,"",16:40 ,16:58 ,17:32 ,18:23 ,18:58 ,19:54,"",""
Steigfeldstraße  ,▼ ,7:27 ,▼ ,"",▼ ,"",▼ ,▼ ,▼ ,"",▼ ,▼ ,▼ ,▼ ,▼ ,"",▼ ,▼ ,▼ ,▼ ,▼ ,▼,"",""
Loisachauen ,6:58 ,7:28 ,8:18 ,"",8:58 ,"",9:56 ,10:48 ,11:43 ,"",12:42 ,13:28 ,14:06 ,15:01 ,15:49 ,"",16:41 ,16:59 ,17:33 ,18:24 ,18:59 ,19:55,"",""
Am Brünnl ,6:59 ,7:29 ,8:19 ,"",8:59 ,"",9:57 ,10:49 ,11:44 ,"",12:43 ,13:29 ,14:07 ,15:02 ,15:50 ,"",16:42 ,17:00 ,17:34 ,18:25 ,19:00 ,19:56,"",""
Friedhof Partenkirchen ,7:00 ,7:30 ,8:20 ,"",9:00 ,"",9:58 ,10:50 ,11:45 ,"",12:44 ,13:30 ,14:08 ,15:03 ,15:51 ,"",16:43 ,17:01 ,17:35 ,18:26 ,19:01 ,19:57,"",""
Gemeindewerke ,▼ ,▼ ,▼ ,8:50 ,▼ ,9:30 ,▼ ,▼ ,▼ ,12:13 ,▼ ,▼ ,14:14 ,▼ ,▼ ,16:15 ,▼ ,▼ ,▼ ,▼ ,▼ ,▼ ,21:13,""
Wankbahn ,▼ ,▼ ,▼ ,▼ ,9:03 ,▼ ,10:01 ,10:53 ,11:48 ,▼ ,12:47 ,▼ ,14:18 ,15:06 ,15:54 ,16:19 ,16:46 ,17:04 ,17:38 ,▼ ,▼ ,▼ ,▼,""
Schützenhaus ,▼ ,▼ ,▼ ,▼ ,9:03 ,▼ ,10:01 ,10:53 ,11:48 ,▼ ,12:47 ,▼ ,14:18 ,15:06 ,15:54 ,16:19 ,16:46 ,17:04 ,17:38 ,▼ ,▼ ,▼ ,▼,""
Altenheim ,7:02 ,7:32 ,8:22 ,8:52 ,9:07 ,9:32 ,10:05 ,10:57 ,11:52 ,12:14 ,12:51 ,13:32 ,14:22 ,15:10 ,15:58 ,16:23 ,16:50 ,17:08 ,17:42 ,18:28 ,19:03 ,19:59 ,21:14,""
Dr.-Gazert-Straße ,7:03 ,7:34 ,8:23 ,8:53 ,9:08 ,9:33 ,10:06 ,10:58 ,11:53 ,12:15 ,12:52 ,13:33 ,14:23 ,15:11 ,15:59 ,16:24 ,16:51 ,17:09 ,17:43 ,18:29 ,19:04 ,20:00 ,21:15,""
Sebastianskirche ,7:05 ,7:37 ,8:26 ,8:56 ,9:11 ,9:36 ,10:09 ,11:01 ,11:55 ,12:17 ,12:55 ,13:36 ,14:26 ,15:14 ,16:02 ,16:27 ,16:54 ,17:12 ,17:46 ,18:32 ,19:06 ,20:02 ,21:17 ,22:17
Rathaus ,7:06 ,7:38 ,8:27 ,8:57 ,9:12 ,9:37 ,10:10 ,11:02 ,11:56 ,12:18 ,12:58 ,13:37 ,14:27 ,15:15 ,16:03 ,16:28 ,16:55 ,17:13 ,17:47 ,18:33 ,19:07 ,20:03 ,21:18 ,22:18
Bahnhof an ,7:09 ,7:42 ,8:31 ,9:01 ,9:16 ,9:41 ,10:14 ,11:06 ,12:00 ,12:22 ,13:01 ,13:41 ,14:31 ,15:19 ,16:07 ,16:32 ,16:59 ,17:17 ,17:51 ,18:37 ,19:11 ,20:06 ,21:21 ,22:21
Bahnhof ab ,7:09 ,7:42 ,8:31 ,9:01 ,9:16 ,9:41 ,10:14 ,11:06 ,12:03 ,12:22 ,13:04 ,13:41 ,14:31 ,15:19 ,16:07 ,16:32 ,16:59 ,17:17 ,17:51 ,18:37 ,19:11 ,20:06 ,21:21 ,22:21
Kurpark ,7:10 ,7:43 ,8:32 ,9:02 ,9:17 ,9:42 ,10:15 ,11:07 ,12:04 ,12:23 ,13:05 ,13:42 ,14:32 ,15:20 ,16:08 ,16:33 ,17:00 ,17:18 ,17:52 ,18:38 ,19:12 ,20:07 ,21:22 ,22:22
Achenfeldstraße ,7:12 ,7:45 ,8:34 ,9:04 ,9:19 ,9:44 ,10:17 ,11:09 ,12:06 ,12:25 ,13:07 ,13:44 ,14:34 ,15:22 ,16:10 ,16:35 ,17:02 ,17:20 ,17:54 ,18:40 ,19:14 ,20:08 ,21:23 ,22:23
Alpspitzstraße ,7:13 ,7:46 ,8:35 ,9:05 ,9:20 ,9:45 ,10:18 ,11:10 ,12:07 ,12:26 ,13:08 ,13:45 ,14:35 ,15:23 ,16:11 ,16:36 ,17:03 ,17:21 ,17:55 ,18:41 ,19:15 ,20:09 ,21:24 ,22:24
Marienplatz ,7:16 ,7:49 ,8:38 ,9:08 ,9:23 ,9:48 ,10:21 ,11:13 ,12:10 ,12:29 ,13:11 ,13:48 ,14:38 ,15:26 ,16:14 ,16:39 ,17:06 ,17:24 ,17:58 ,18:44 ,19:18 ,20:12 ,21:26 ,22:26
Loisachbrücke ,7:17 ,7:50 ,8:39 ,K ,9:24 ,K ,10:22 ,11:14 ,12:11 ,12:30 ,13:12 ,13:49 ,14:39 ,15:27 ,16:15 ,16:40 ,17:07 ,17:25 ,17:59 ,18:45 ,19:19 ,20:13 ,21:27 ,22:27
Alte Kirche ,7:17 ,7:50 ,8:39 ,K ,9:24 ,K ,10:22 ,11:14 ,12:11 ,12:30 ,13:12 ,13:49 ,14:39 ,15:27 ,16:15 ,16:40 ,17:07 ,17:25 ,17:59 ,18:45 ,19:19 ,20:13 ,21:27 ,22:27
Thomas-Knorr-Straße ,7:18 ,7:51 ,8:40 ,K ,9:25 ,K ,10:23 ,11:15 ,12:12 ,12:31 ,13:13 ,13:50 ,14:40 ,15:28 ,16:16 ,16:41 ,17:08 ,17:26 ,18:00 ,18:46 ,19:20 ,20:14 ,21:28 ,22:28
Hörmannstraße ,7:19 ,7:52 ,8:41 ,K ,9:26 ,K ,10:24 ,11:16 ,12:13 ,12:32 ,13:14 ,13:51 ,14:41 ,15:29 ,16:17 ,16:42 ,17:09 ,17:27 ,18:01 ,18:47 ,19:21 ,20:15 ,21:29 ,22:28
