Linie ,9651,9606,9606,9651,9606,9606,9606,9606,9606,9606,73,9606,9651,9606,9606,9606,9606,9606,9606,9606,73,9606,9606,9606,9651,9606,73,9606,9606
Füssen Bahnhof abfahrt,05:30:00,,,,,,,,,,08:05:00,,09:45:00,,,,,,,12:45:00,14:05:00,,,,16:05:00,,17:10:00,,
Steingaden Feuerwehrhaus 2,05:57:00,,,06:16:00,,,,,,,08:44:00,,10:16:00,,,,,,,13:25:00,14:46:00,,,,16:42:00,,17:47:00,,
Wieskirche 2,,,,,,,,,,,08:49:00,,10:21:00,,,,,,,13:30:00,14:57:00,15:00:00,,,16:52:00,,17:59:00,,
Rottenbuch Alte Post 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Bayersoien Echelsbacher Brücke 2 ankunft,06:11:00,,,06:31:00,,,,,,,08:59:00,,10:33:00,,,,,,,13:45:00,,15:12:00,,,17:05:00,,,,
Bad Bayersoien Echelsbacher Brücke 2 abfahrt,,06:19:00,,,06:36:00,,06:42:00,,,,,09:00:00,,,11:20:00,,,13:30:00,13:43:00,13:50:00,,15:12:00,,16:33:00,,17:15:00,,18:08:00,
Bad Bayersoien Echelsbach 2,,06:21:00,,,06:37:00,,,,,,,09:01:00,,,11:21:00,,,13:31:00,13:44:00,13:51:00,,15:13:00,,16:34:00,,17:16:00,,18:09:00,
Bad Bayersoien Gschwendt 2,,06:22:00,,,06:38:00,,,,,,,09:02:00,,,11:22:00,,,13:32:00,13:45:00,13:52:00,,15:14:00,,16:35:00,,17:17:00,,18:10:00,
Bad Bayersoien Gh Weißes Roß 2,,06:24:00,,,06:40:00,,,,,,,09:04:00,,,11:24:00,,,13:34:00,13:47:00,13:54:00,,15:16:00,,16:37:00,,17:19:00,,18:12:00,
Bad Bayersoien Eisplatz 2,,06:26:00,,,06:41:00,,06:47:00,,,,,09:05:00,,,11:25:00,,,13:35:00,13:48:00,13:55:00,,15:17:00,,16:38:00,,17:21:00,,18:13:00,
Saulgrub Rathaus 2,,,,,,,,,,,,09:08:00,,,11:28:00,,,,,13:58:00,,,,16:41:00,,,,18:16:00,
Bad Kohlgrub Feuerwehrhaus 2,,,,,,,,,,,,09:09:00,,,11:29:00,,,,,13:59:00,,,,16:42:00,,,,18:17:00,
Bad Kohlgrub Rathaus 2,,,06:34:00,,,,,,,,,09:12:00,,,11:32:00,,,,,14:02:00,,,,16:45:00,,,,18:20:00,
Bad Kohlgrub Feuerwehrhaus 2,,,06:36:00,,,,,,,,,09:14:00,,,11:34:00,,,,,14:04:00,,,,16:47:00,,,,18:22:00,
Saulgrub Rathaus 2,,,06:39:00,,,,,,,,,09:15:00,,,11:35:00,,,,,14:05:00,,,,16:48:00,,,,18:23:00,
Saulgrub Bahnhof 2,,06:30:00,06:41:00,,06:45:00,,,,,,,09:18:00,,,11:38:00,,,13:39:00,13:52:00,14:08:00,,15:22:00,,16:51:00,,17:26:00,,18:26:00,
Saulgrub Bürgersaal 2,,,,,06:46:00,06:48:00,,,,,,,,,,,,,,,,,,,,,,,
Altenau Abzweig 2,,06:33:00,,,,06:50:00,,,,,,09:20:00,,,11:40:00,,,13:41:00,13:54:00,14:10:00,,15:25:00,,16:53:00,,17:28:00,,18:28:00,
Altenau Säge 2,,06:35:00,06:45:00,,,06:52:00,,,,,,,,,,,,,,,,,,,,,,,
Wurmansau 2,,06:38:00,06:48:00,,,06:55:00,,,,,,09:21:00,,,11:41:00,,,13:42:00,13:55:00,14:11:00,,15:26:00,,16:54:00,,17:29:00,,18:29:00,
Scherenau 2,,06:39:00,06:49:00,,,06:56:00,,,,,,09:22:00,,,11:42:00,,,13:43:00,13:56:00,14:12:00,,15:27:00,,16:55:00,,17:30:00,,18:30:00,
Unterammergau Dorfstraße 2,,06:41:00,,,,06:58:00,,,,,,09:24:00,,,11:44:00,,,13:45:00,13:58:00,14:14:00,,15:28:00,,16:57:00,,17:32:00,,18:32:00,
Unterammergau Rathaus 2,,06:44:00,,,,06:59:00,,,,,,09:25:00,,,11:45:00,,,13:46:00,13:59:00,14:15:00,,15:30:00,,16:58:00,,17:34:00,,18:33:00,
