,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611,9611
Kochel Bahnhof 2 abfahrt,06:00:00,07:00:00,07:15:00,,07:22:00,,,09:13:00,10:15:00,11:20:00,,,,,12:36:00,12:52:00,,,13:49:00,14:25:00,,15:50:00,16:53:00,17:53:00,18:20:00,19:35:00,,09:15:00,11:15:00,14:15:00,15:48:00,17:48:00
Kochel Gh. Schmied von Kochel 1,06:01:00,07:01:00,07:16:00,,07:23:00,,,09:14:00,10:16:00,11:21:00,,,,,12:37:00,12:53:00,,,13:50:00,14:26:00,,15:51:00,16:54:00,17:54:00,18:21:00,19:36:00,,09:16:00,11:16:00,14:16:00,15:49:00,17:49:00
Kochel Loisachbrücke (Trimini) 1,06:02:00,07:02:00,07:17:00,,07:24:00,,,09:15:00,10:17:00,11:22:00,,,,,12:38:00,12:54:00,,,13:51:00,14:27:00,,15:52:00,16:55:00,17:55:00,18:22:00,19:37:00,,09:17:00,11:17:00,14:17:00,15:50:00,17:50:00
Schlehdorf Post 1,06:05:00,07:05:00,07:20:00,,07:28:00,,,09:18:00,10:20:00,11:26:00,,,12:34:00,,12:43:00,12:57:00,,,13:54:00,14:30:00,,15:56:00,16:58:00,17:58:00,18:26:00,19:41:00,,09:20:00,11:20:00,14:20:00,15:53:00,17:53:00
Großweil Rathaus 1,06:08:00,07:08:00,07:23:00,,07:31:00,,,09:21:00,10:23:00,11:29:00,,,12:37:00,,12:49:00,13:00:00,,,13:57:00,14:33:00,,15:59:00,17:01:00,18:01:00,18:29:00,19:44:00,,09:23:00,11:23:00,14:23:00,15:56:00,17:56:00
Glentleiten Freilichtmuseum 1,,,,,,,,09:25:00,10:27:00,11:33:00,,,,,,,,,14:01:00,14:37:00,,,17:05:00,,,, ,09:27:00,11:27:00,14:27:00,16:00:00,
Großweil Bergwerk 1,06:10:00,07:10:00,07:25:00,,07:32:00,,,09:29:00,10:31:00,11:37:00,,,12:39:00,,12:50:00,13:01:00,,,14:05:00,14:41:00,,16:01:00,17:09:00,18:03:00,18:30:00,19:45:00,,09:31:00,11:31:00,14:31:00,16:04:00,17:58:00
Abzw. Glentleiten 1,06:11:00,07:11:00,07:26:00,,07:33:00,,,09:30:00,10:32:00,11:38:00,,,12:40:00,,12:51:00,13:02:00,,,14:06:00,14:42:00,,16:02:00,17:10:00,18:04:00,18:31:00,19:46:00,,09:32:00,11:32:00,14:32:00,16:05:00,17:59:00
Abzw. Kreuth 1,06:12:00,07:12:00,07:27:00,,07:34:00,,,09:31:00,10:33:00,11:39:00,,,12:41:00,,12:52:00,13:03:00,,,14:07:00,14:43:00,,16:03:00,17:11:00,18:05:00,18:32:00,19:47:00,,09:33:00,11:33:00,14:33:00,16:06:00,18:00:00
Schwaiganger 1,06:14:00,07:14:00,07:29:00,,07:36:00,,,09:33:00,10:35:00,11:41:00,,,12:43:00,,12:54:00,13:05:00,,,14:09:00,14:45:00,,16:05:00,17:12:00,18:07:00,18:34:00,19:49:00,,09:35:00,11:34:00,14:35:00,16:07:00,18:02:00
Ohlstadt Ortsmitte 1,,,,,,,,,,,12:04:00,12:44:00,,12:51:00,,,13:35:00,13:51:00,,,14:56:00,,,,,,,,,,,
Schwaiganger Abzw. Ohlstadt 1,,07:15:00,07:30:00,07:20:00,,,,09:34:00,10:36:00,11:42:00,12:06:00,12:46:00,12:44:00,12:53:00,,13:06:00,13:37:00,13:53:00,14:10:00,14:46:00,14:58:00,16:06:00,,18:08:00,,,,09:36:00,,14:36:00,,18:03:00
Achrain 1,06:15:00,,,,07:37:00,,,,,,12:08:00,12:48:00,,12:55:00,12:55:00,,13:39:00,13:55:00,,,15:00:00,,17:13:00,,18:35:00,19:50:00,,,11:35:00,,16:08:00,
Abzweig Mühlhagen 1,06:16:00,,,,07:38:00,,,,,,12:09:00,12:49:00,,12:56:00,12:56:00,,13:40:00,13:56:00,,,15:01:00,,17:14:00,,18:36:00,19:51:00,,,11:36:00,,16:09:00,
Murnau Unfallklinik 1,06:17:00,,,,07:40:00,,,,,,12:10:00,12:50:00,,12:57:00,12:57:00,,13:41:00,13:57:00,,,15:02:00,,17:16:00,,18:37:00,19:52:00,,,11:38:00,,16:11:00,
Murnau Kreiskrankenhaus 1,06:18:00,,,,,,,,,,12:11:00,12:51:00,,12:58:00,12:58:00,,13:42:00,13:58:00,,,15:03:00,,17:17:00,,18:38:00,19:53:00,,,11:39:00,,16:12:00,
Murnau Seidlstraße 1,06:19:00,,,,,,,,,,12:12:00,12:52:00,,12:59:00,13:00:00,,13:43:00,13:59:00,,,15:04:00,,17:18:00,,18:39:00,19:54:00,,,11:40:00,,16:13:00,
Ohlstadt Ortsmitte 1,,07:19:00,07:33:00,07:23:00,,08:55:00,,09:37:00,10:39:00,11:45:00,,,12:47:00,,,13:09:00,,,14:13:00,14:49:00,,16:09:00,,18:11:00,,,,09:38:00,,14:38:00,,18:06:00
Ohlstadt Abzw. Bahnhof 1,,07:22:00,07:34:00,07:25:00,,08:56:00,,09:38:00,10:40:00,11:46:00,,,12:48:00,,,13:10:00,,,14:14:00,14:50:00,,16:10:00,,18:12:00,,,,09:40:00,,14:40:00,,18:07:00
Hechendorf Süd 1,06:24:00,,07:39:00,07:30:00,,09:01:00,,09:43:00,10:45:00,11:51:00,,,12:53:00,,,13:15:00,,,14:19:00,14:55:00,,16:15:00,,18:17:00,,,,09:45:00,,14:45:00,,18:12:00
Hechendorf Gasthof Salcher 1,06:25:00,,07:40:00,07:31:00,,09:02:00,,09:44:00,10:46:00,11:52:00,,,12:54:00,,,13:16:00,,,14:20:00,14:56:00,,16:16:00,,18:18:00,,,,09:46:00,,14:46:00,,18:13:00
Hechendorf Nord 1,06:27:00,,07:41:00,07:32:00,,09:03:00,,09:45:00,10:47:00,11:53:00,,,12:55:00,,,13:17:00,,,14:21:00,14:57:00,,16:17:00,,18:19:00,,,,09:47:00,,14:47:00,,18:14:00
Murnau Burggraben 1,06:30:00,07:30:00,07:42:00,07:34:00,,09:05:00,,09:46:00,10:50:00,11:56:00,12:13:00,12:53:00,12:58:00,13:00:00,13:02:00,13:19:00,13:44:00,14:00:00,14:22:00,14:58:00,15:05:00,16:19:00,17:19:00,18:20:00,18:40:00,19:55:00,,09:49:00,11:41:00,14:49:00,16:14:00,18:16:00
Murnau Postamt 1,06:32:00,07:33:00,07:43:00,07:36:00,,09:07:00,,09:47:00,10:51:00,11:58:00,12:15:00,12:55:00,13:00:00,13:02:00,13:04:00,13:21:00,13:46:00,14:02:00,14:23:00,14:59:00,15:07:00,16:21:00,17:21:00,18:21:00,18:42:00,19:57:00,,09:50:00,11:43:00,14:50:00,16:16:00,18:17:00
Murnau Weindorfer Str. 1,,07:38:00,,07:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murnau Sollerstr. 1,,07:40:00,,07:42:00,07:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murnau Grundschule 1,,,,07:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murnau Bahnhof ankunft,06:40:00,07:47:00,07:46:00,07:52:00,,09:10:00,,09:50:00,10:54:00,12:01:00,12:18:00,12:58:00,13:03:00,13:05:00,13:08:00,13:24:00,13:49:00,14:05:00,14:26:00,15:02:00,15:10:00,16:24:00,17:24:00,18:24:00,18:45:00,20:00:00,,09:54:00,11:47:00,14:54:00,16:20:00,18:21:00
