Linie ,9623,9623,9621,9623,9623
Hagen Kirchplatz,09:05:00,10:05:00,,14:40:00,15:40:00
Murnau Hagener Straße 1,09:07:00,10:07:00,,14:42:00,15:42:00
Murnau Unfallklinik / Schwaigangerstraße 1,09:09:00,10:09:00,,14:44:00,15:44:00
Murnau Kreiskrankenhaus 1,09:10:00,10:10:00,,14:45:00,15:45:00
Murnau Seidlstraße 1,09:11:00,10:11:00,,14:46:00,15:46:00
Murnau Rathaus / Pfarrstraße ,09:13:00,10:13:00,,14:48:00,15:48:00
Murnau Weindorfer Straße 1,09:15:00,10:15:00,,14:50:00,15:50:00
Murnau Sollerstraße 1,09:16:00,10:16:00,,14:51:00,15:51:00
Murnau Bahnhof ankunft,09:20:00,10:20:00,,14:55:00,15:55:00
Murnau Bahnhof abfahrt,09:20:00,10:20:00,13:50:00,14:55:00,15:55:00
Murnau Seniorenheim 1,09:22:00,10:22:00,13:57:00,14:57:00,15:57:00
Murnau Klinik Hochried 1,09:24:00,10:24:00,13:59:00,14:59:00,15:59:00
Murnau Berggeist 1,09:25:00,10:25:00,14:01:00,15:00:00,16:00:00
Hermannswies Erholungsheim 1,09:26:00,10:26:00,14:02:00,15:01:00,16:01:00
Murnau Westried 1,09:27:00,10:27:00,14:03:00,15:02:00,16:02:00
Grafenaschau Bahnhof 1,09:29:00,10:29:00,15:04:00,,16:04:00
Grafenaschau Seniorenheim 1,09:33:00,10:33:00,14:05:00,15:08:00,16:08:00
Grafenaschau Birkenallee,09:35:00,10:35:00,15:10:00,,16:10:00
