Linie ,9621,9623,9623,9623,9623,9623,9623
Grafenaschau Seniorenheim 1,6.30 ,9.33 ,10.33,,14.08,15.08 ,16.08
Grafenaschau Birkenallee,,9.35 ,10.35,,14.10,15.10 ,16.10
Grafenaschau Bahnhof 2,,9.40 ,10.40,,14.15,15.15 ,16.15
Murnau Westried 2,6.34 ,9.42 ,10.42,,14.17,15.17 ,16.17
Hermannswies Erholungsheim 2,6.35 ,9.43 ,10.43,,14.18,15.18 ,16.18
Murnau Berggeist 2,6.36 ,9.44 ,10.44,,14.19,15.19 ,16.19
Murnau Klinik Hochried 2,6.38 ,9.45 ,10.45,,14.20,15.20 ,16.20
Murnau Ramsachleite 2,6.39 ,9.46 ,10.46,,14.21,15.21 ,16.21
Murnau Seniorenheim 2,6.40 ,9.47 ,10.47,,14.22,15.22 ,16.22
Murnau Bahnhof ankunft,6.45 ,9.50 ,10.50,,14.25,15.25 ,16.25
Murnau Bahnhof abfahrt,,9.50 ,,11.17,14.25,15.25,
Murnau Weindorfer Straße 2,,9.53 ,,11.20,14.28,15.28,
Murnau Sollerstraße 2,,9.54 ,,11.21,14.29,15.29,
Murnau Rathaus / Pfarrstraße 2,,9.56 ,,11.23,14.31,15.31,
Murnau Seidlstraße 2,,9.58 ,,11.25,14.33,15.33,
Murnau Kreiskrankenhaus 2,,9.59 ,,11.26,14.34,15.34,
Murnau Unfallklinik / Schwaigangerstraße  2,,10.00 ,,11.27,14.35,15.35,
Murnau Hagener Straße 2,,10.02 ,,11.29,14.37,15.37,
Hagen Kirchplatz,,10.04 ,,11.31,14.39,15.39,
