Haltestelle/Linie,1,1,1,1,1,1,1,1,1,1,1,1,1#,1#,1#,1#,1#,1#
Partenkirchen Klinikum,,,6:19,7:27,10:10,10:55,11:40,12:25,13:10,13:55,14:40,15:20,18:13,18:52,19:28,19:54,20:34,22:10
Partenkirchen Skistadion 1,,,6:20,7:28,10:11,10:56,11:41,12:26,13:11,13:56,14:41,15:21,18:14,18:53,19:29,19:55,20:35,22:10
Partenkirchen Wildenauer Straße 1,,,6:21,7:29,10:12,10:57,11:42,12:27,13:12,13:57,14:42,15:22,18:15,18:54,19:30,19:56,20:36,22:11
Partenkirchen Alpenstraße 1,,,6:21,7:29,10:13,10:58,11:43,12:28,13:13,13:58,14:43,15:23,18:16,18:55,19:30,19:56,20:36,22:11
Partenkirchen Mittenwalder Straße 1,,,6:22,7:30,10:14,10:59,11:44,12:29,13:14,13:59,14:44,15:24,18:17,18:56,19:31,19:57,20:37,22:12
Partenkirchen Hauptstraße / Dr. Wigger Straße 1,,,6:23,7:31,10:15,11:00,11:45,12:30,13:15,14:00,14:45,15:25,18:18,18:57,19:32,19:58,20:38,22:13
Partenkirchen Badgasse / Werdenfels Museum 1,,,6:24,7:32,10:16,11:01,11:46,12:31,13:16,14:01,14:46,15:26,18:19,18:58,19:33,19:59,20:39,22:14
Partenkirchen Historische Ludwigstraße 1,,,6:25,7:34,10:18,11:03,11:48,12:33,13:18,14:03,14:48,15:28,18:21,19:00,19:34,20:00,20:40,22:15
Partenkirchen Sebastianskirche 1,,6:05,6:27,7:37,10:21,11:06,11:51,12:36,13:21,14:06,14:51,15:31,18:24,19:03,19:36,20:02,20:42,
Partenkirchen Rathaus 1,,6:06,6:28,7:38,10:22,11:07,11:52,12:37,13:22,14:07,14:52,15:32,18:25,19:04,19:37,20:03,20:43,
Partenkirchen Bahnhof 1 ankunft,,6:08,6:30,7:42,10:26,11:11,11:56,12:41,13:26,14:11,14:56,15:36,18:29,19:08,19:40,20:06,20:46,
Partenkirchen Bahnhof 1 abfahrt,,6:08,6:30,7:42,10:26,11:11,11:56,12:41,13:26,14:11,14:56,15:36,18:29,19:08,19:40,20:06,20:46,
Partenkirchen Kurpark 1,5:42,6:09,6:31,7:43,10:27,11:12,11:57,12:42,13:27,14:12,14:57,15:37,18:30,19:09,19:41,20:07,20:47,
Partenkirchen Achenfeldstraße 1,5:43,6:10,6:32,7:45,10:29,11:14,11:59,12:44,13:29,14:14,14:59,15:39,18:32,19:11,19:43,20:08,20:48,
Partenkirchen Alpspitzstraße 1,5:44,6:11,6:33,7:46,10:30,11:15,12:00,12:45,13:30,14:15,15:00,15:40,18:33,19:12,19:44,20:09,20:49,
Partenkirchen Marienplatz 1,5:45,6:12,6:36,7:49,10:33,11:18,12:03,12:48,13:33,14:18,15:03,15:43,18:36,19:15,19:47,20:12,20:52,
Partenkirchen Rießerkopfstraße 1,5:45,6:12,6:36,7:50,10:34,11:19,12:04,12:49,13:34,14:19,15:04,15:44,18:37,19:16,19:48,20:12,20:52,
Partenkirchen Am Mühlbach 1,5:46,6:13,6:37,7:51,10:35,11:20,12:05,12:50,13:35,14:20,15:05,15:45,18:38,19:17,19:49,20:13,20:53,
Partenkirchen Fichtackerstraße 1,5:46,6:13,6:37,7:52,10:36,11:21,12:06,12:51,13:36,14:21,15:06,15:46,18:38,19:17,19:49,20:13,20:53,
Partenkirchen Archstraße 1,5:47,6:14,6:38,7:53,10:37,11:22,12:07,12:52,13:37,14:22,15:07,15:47,18:39,19:18,19:50,20:14,20:54,
Partenkirchen Breitenau Zugspitzstraße 1,5:47,6:15,6:39,7:54,10:38,11:23,12:08,12:53,13:38,14:23,15:08,15:48,18:40,19:19,19:51,20:15,20:55,
Partenkirchen Breitenau Loisachbrücke 1,5:47,6:15,6:39,7:54,10:38,11:23,12:08,12:53,13:38,14:23,15:08,15:48,18:40,19:19,19:51,20:15,20:55,
Partenkirchen Äußere Maximilianstraße,5:50,6:18,6:42,7:58,10:42,11:27,12:12,12:57,13:42,14:27,15:12,15:52,18:43,19:22,19:54,20:18,20:58,
Partenkirchen Grainauer Fußweg 1,,,,,,,,,,,,,,,,,,
Partenkirchen Aule Alm Fußweg 1,,,,,,,,,,,,,,,,,,
Partenkirchen Hammersbacher Fußweg 1,,,,,,,,,,,,,,,,,,
Partenkirchen Kreuzeck / Alpspitzbahn,,,,,,,,,,,,,,,,,,
