altestelle / Linie ,1,1,1,1,1,1,1,1,1,1,1,1,1,1# ,1# ,1# ,1# ,1#
Partenkirchen Kreuzeck / Alpspitzbahn,,,,,,,,,,,,,,,,,,
Partenkirchen Hammersbacher Fußweg 2,,,,,,,,,,,,,,,,,,
Partenkirchen Aule Alm Fußweg 2,,,,,,,,,,,,,,,,,,
Partenkirchen Grainauer Fußweg 2,,,,,,,,,,,,,,,,,,
Partenkirchen Äußere Maximilianstraße,5:55 ,6:25 ,6:55 ,8:04 ,,10:55 ,11:41 ,12:25 ,13:10 ,13:55 ,14:37 ,15:25 ,16:10 ,18:46 ,19:24 ,19:55 ,21:02,
Partenkirchen Breitenau Loisachbrücke 2,5:55 ,6:25 ,6:55 ,8:04 ,,10:55 ,11:41 ,12:25 ,13:10 ,13:55 ,14:37 ,15:25 ,16:10 ,18:46 ,19:24 ,19:55 ,21:02,
Partenkirchen Breitenau Zugspitzstraße 2,5:56 ,6:26 ,6:56 ,8:05 ,,10:56 ,11:42 ,12:26 ,13:11 ,13:56 ,14:38 ,15:26 ,16:11 ,18:47 ,19:25 ,19:56 ,21:03,
Partenkirchen Archstraße 2,5:57 ,6:27 ,6:58 ,8:07 ,,10:58 ,11:44 ,12:28 ,13:13 ,13:58 ,14:40 ,15:28 ,16:13 ,18:48 ,19:26 ,19:57 ,21:04,
Partenkirchen Fichtackerstraße 2,5:58 ,6:28 ,6:59 ,8:08 ,,10:59 ,11:45 ,12:29 ,13:14 ,13:59 ,14:41 ,15:29 ,16:14 ,18:49 ,19:27 ,19:58 ,21:05,
Partenkirchen Am Mühlbach 2,5:59 ,6:29 ,7:00 ,8:09 ,,11:00 ,11:46 ,12:30 ,13:15 ,14:00 ,14:42 ,15:30 ,16:15 ,18:50 ,19:28 ,19:59 ,21:06,
Partenkirchen Rießerkopfstraße 2,6:00 ,6:30 ,7:01 ,8:10 ,,11:01 ,11:47 ,12:31 ,13:16 ,14:01 ,14:43 ,15:31 ,16:16 ,18:51 ,19:29 ,20:00 ,21:07,
