altestelle / Linie ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2# ,2# 
Partenkirchen Kreuzeck / Alpspitzbahn,7:35 ,9:00 ,9:25 ,9:45 ,10:04 ,10:30 ,11:15 ,11:58 ,12:42 ,13:30 ,14:15 ,15:00 ,15:42 ,16:30 ,16:48 ,17:22 ,17:37 ,18:09
Partenkirchen Hammersbacher Fußweg 2,7:36 ,9:01 ,9:26 ,9:46 ,10:05 ,10:31 ,11:16 ,11:59 ,12:43 ,13:31 ,14:16 ,15:01 ,15:43 ,16:31 ,16:49 ,17:23 ,17:38 ,18:10
Partenkirchen Aule Alm Fußweg 2,7:36 ,9:01 ,9:26 ,9:46 ,10:05 ,10:31 ,11:16 ,11:59 ,12:43 ,13:31 ,14:16 ,15:01 ,15:43 ,16:31 ,16:49 ,17:23 ,17:38 ,18:10
Partenkirchen Grainauer Fußweg 2,7:37 ,9:02 ,9:27 ,9:47 ,10:06 ,10:32 ,11:17 ,12:00 ,12:44 ,13:32 ,14:17 ,15:02 ,15:44 ,16:32 ,16:50 ,17:24 ,17:39 ,18:11
Partenkirchen Äußere Maximilianstraße,,,9:32 ,,10:11 ,,,,,,,,,,,,,
Partenkirchen Breitenau Loisachbrücke 2,,,9:32 ,,10:11 ,,,,,,,,,,,,,
Partenkirchen Breitenau Zugspitzstraße 2,7:38 ,9:03 ,9:33 ,9:48 ,10:12 ,10:33 ,11:18 ,12:01 ,12:45 ,13:33 ,14:18 ,15:03 ,15:45 ,16:33 ,16:51 ,17:25 ,17:40 ,18:12 
Partenkirchen Archstraße 2,7:40 ,9:05 ,9:35 ,9:50 ,10:14 ,10:35 ,11:20 ,12:03 ,12:47 ,13:35 ,14:20 ,15:05 ,15:47 ,16:35 ,16:53 ,17:27 ,17:42 ,18:14 
Partenkirchen Fichtackerstraße 2,7:41 ,9:06 ,9:36 ,9:51 ,10:15 ,10:36 ,11:21 ,12:04 ,12:48 ,13:36 ,14:21 ,15:06 ,15:48 ,16:36 ,16:54 ,17:28 ,17:43 ,18:15 
Partenkirchen Am Mühlbach 2,7:42 ,9:07 ,9:37 ,9:52 ,10:16 ,10:37 ,11:22 ,12:05 ,12:49 ,13:37 ,14:22 ,15:07 ,15:49 ,16:37 ,16:55 ,17:29 ,17:44 ,18:16 
Partenkirchen Rießerkopfstraße 2,7:43 ,9:08 ,9:38 ,9:53 ,10:17 ,10:38 ,11:23 ,12:06 ,12:50 ,13:38 ,14:23 ,15:08 ,15:50 ,16:38 ,16:56 ,17:30 ,17:45 ,18:17 
Partenkirchen Marienplatz 2,7:47 ,9:12 ,9:42 ,9:57 ,10:21 ,10:42 ,11:27 ,12:10 ,12:54 ,13:42 ,14:27 ,15:12 ,15:54 ,16:42 ,17:00 ,17:34 ,17:49 ,18:21 
Partenkirchen Alpspitzstraße 2,7:47 ,9:12 ,9:42 ,9:57 ,10:21 ,10:42 ,11:27 ,12:10 ,12:54 ,13:42 ,14:27 ,15:12 ,15:54 ,16:42 ,17:00 ,17:34 ,17:49 ,18:21 
Partenkirchen Achenfeldstraße 2,7:48 ,9:13 ,9:43 ,9:58 ,10:22 ,10:43 ,11:28 ,12:11 ,12:55 ,13:43 ,14:28 ,15:13 ,15:55 ,16:43 ,17:01 ,17:35 ,17:50 ,18:22 
