Haltestelle / Linie ,3,3
Farchant Antonistüberl 1,6:55 ,
Farchant Maibaum 2,6:56 ,
Farchant Garmischer Straße 2,6:57 ,
Partenkirchen Loisachauen 2,6:58 ,
Partenkirchen Am Brünnl 2,6:59 ,
Partenkirchen Friedhof 2,7:00 ,
Partenkirchen Gemeindewerke,,12:13 
Partenkirchen Altenheim 1,7:02 ,12:14 
Partenkirchen Dr Gazert Straße 1,7:03 ,12:15 
Partenkirchen Sebastianskirche 1,7:05 ,12:17 
Partenkirchen Rathaus 1,7:06 ,12:18 
Partenkirchen Bahnhof 1 ankunft,7:09 ,12:22 
Partenkirchen Bahnhof 1 abfahrt,7:09 ,12:22 
Partenkirchen Kurpark 1,7:10 ,12:23 
Partenkirchen Achenfeldstraße 1,7:12 ,12:25 
Partenkirchen Alpspitzstraße 1,7:13 ,12:26 
Partenkirchen Marienplatz 1,7:16 ,12:29 
Partenkirchen Loisachbrücke 3,7:17 ,12:30 
Partenkirchen Alte Kirche 1,7:17 ,12:30 
Partenkirchen Thomas Knorr Straße 1,7:18 ,12:31 
Partenkirchen Hörmannstraße 1,7:19 ,12:32 
Partenkirchen Sonnenbichl 1,7:20 ,12:33 
Schwaigwang 1,7:21 ,12:34 
Burgrain 1,7:22 ,12:35 
Steigfeldstraße 1,7:23 ,12:37 
