Haltestelle / Linie ,3,3,3,3# ,3# ,3#
Farchant Antonistüberl 1,7:08 ,,,19:11 ,20:24 ,21:40
Farchant Maibaum 2,7:09 ,,,19:12 ,20:25 ,21:41
Farchant Garmischer Straße 2,7:09 ,,,19:12 ,20:25 ,21:41
Steigfeldstraße 2,7:12 ,8:03 ,9:46 ,19:14 ,20:27 ,21:43
Burgrain 2,7:13 ,8:04 ,9:47 ,19:15 ,20:28 ,21:44
Schwaigwang 2,7:14 ,8:05 ,9:48 ,19:16 ,20:29 ,21:45
Partenkirchen Sonnenbichl 2,7:15 ,8:06 ,9:49 ,19:17 ,20:30 ,21:46
Partenkirchen Hörmannstraße 2,7:16 ,8:07 ,9:50 ,19:18 ,20:31 ,21:47
Partenkirchen Thomas Knorr Straße 2,7:16 ,8:08 ,9:51 ,19:18 ,20:31 ,21:47
Partenkirchen Alte Kirche 2,7:17 ,8:09 ,9:52 ,19:19 ,20:32 ,21:48
Partenkirchen Loisachbrücke 4,7:18 ,8:10 ,9:53 ,19:20 ,20:33 ,21:49
Partenkirchen Marienplatz 2,7:22 ,8:14 ,9:57 ,19:23 ,20:36 ,
Partenkirchen Alpspitzstraße 2,7:22 ,8:14 ,9:57 ,19:23 ,20:36 ,
Partenkirchen Achenfeldstraße 2,7:23 ,8:15 ,9:58 ,19:24 ,20:37 ,
Partenkirchen Kurpark 2,7:26 ,8:18 ,10:01 ,19:25 ,20:38 ,
Partenkirchen Bahnhof 2 ankunft,7:30 ,8:22 ,10:05 ,19:29 ,20:41 ,
Partenkirchen Bahnhof 2 abfahrt,7:30 ,8:22 ,10:05 ,19:29 ,20:41 ,
Partenkirchen Rathaus 2,7:31 ,8:23 ,10:06 ,19:30 ,20:42 ,
Partenkirchen Sebastianskirche 2,7:34 ,8:26 ,10:09 ,19:32 ,20:44 ,
Partenkirchen Dr Gazert Straße 2,7:35 ,8:27 ,10:10 ,19:33 ,20:45,
Partenkirchen Altenheim 2,7:36 ,8:28 ,10:11 ,19:34 ,20:46,
Partenkirchen Wankbahn,,8:31 ,10:14 ,19:37 ,20:49,
Partenkirchen Schützenhaus 2,,8:31 ,10:14 ,19:37 ,20:49,
Partenkirchen Friedhof 4,7:37 ,8:33 ,10:16 ,19:39 ,20:51,
Partenkirchen Gemeindewerke,7:37 ,8:35 ,10:18 ,19:41 ,20:53,
Partenkirchen Am Brünnl 2,7:38 ,,,,,
Partenkirchen Loisachauen 1,7:39 ,,,,,
Steigfeldstraße 1,7:41 ,,,,,
