Haltestelle / Linie ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5# ,5# 
Farchant Antonistüberl 1,5:50 ,6:20 ,6:51 ,7:33 ,8:23 ,9:04 ,10:06 ,11:03 ,11:46 ,12:28 ,13:15 ,13:59 ,14:41 ,15:39 ,16:45 ,17:48 ,18:29 
Farchant Maibaum 2,5:51 ,6:21 ,6:52 ,7:34 ,8:24 ,9:05 ,10:07 ,11:04 ,11:47 ,12:29 ,13:16 ,14:00 ,14:42 ,15:40 ,16:46 ,17:49 ,18:30 
Farchant Garmischer Straße 2,5:51 ,6:21 ,6:52 ,7:34 ,8:24 ,9:05 ,10:07 ,11:04 ,11:47 ,12:29 ,13:16 ,14:00 ,14:42 ,15:40 ,16:46 ,17:49 ,18:30 
Steigfeldstraße 2,5:53 ,6:23 ,6:55 ,7:37 ,8:27 ,9:08 ,10:10 ,11:07 ,11:50 ,12:32 ,13:19 ,14:03 ,14:45 ,15:43 ,16:49 ,17:52 ,18:32 
Burgrain 2,5:54 ,6:24 ,6:56 ,7:38 ,8:28 ,9:09 ,10:11 ,11:08 ,11:51 ,12:33 ,13:20 ,14:04 ,14:46 ,15:44 ,16:50 ,17:53 ,18:33 
Schwaigwang 2,5:55 ,6:25 ,6:57 ,7:39 ,8:29 ,9:10 ,10:12 ,11:09 ,11:52 ,12:34 ,13:21 ,14:05 ,14:47 ,15:45 ,16:51 ,17:54 ,18:34 
Partenkirchen Sonnenbichl 2,5:56 ,6:26 ,6:58 ,7:40 ,8:30 ,9:11 ,10:13 ,11:10 ,11:53 ,12:35 ,13:22 ,14:06 ,14:48 ,15:46 ,16:52 ,17:55 ,18:35 
Partenkirchen Hörmannstraße 2,5:57 ,6:27 ,6:59 ,7:41 ,8:31 ,9:12 ,10:14 ,11:11 ,11:54 ,12:36 ,13:23 ,14:07 ,14:49 ,15:47 ,16:53 ,17:56 ,18:36 
Partenkirchen Thomas Knorr Straße 2,5:57 ,6:27 ,6:59 ,7:41 ,8:32 ,9:13 ,10:15 ,11:12 ,11:55 ,12:37 ,13:24 ,14:08 ,14:50 ,15:48 ,16:54 ,17:57 ,18:37 
Partenkirchen Alte Kirche 2,5:58 ,6:28 ,7:00 ,7:42 ,8:33 ,9:14 ,10:16 ,11:13 ,11:56 ,12:38 ,13:25 ,14:09 ,14:51 ,15:49 ,16:55 ,17:58 ,18:38 
Partenkirchen Loisachbrücke 4,5:59 ,6:29 ,7:01 ,7:43 ,8:34 ,9:15 ,10:17 ,11:14 ,11:57 ,12:39 ,13:26 ,14:10 ,14:52 ,15:50 ,16:56 ,17:59 ,18:39 
Partenkirchen Marienplatz 2,6:02 ,6:32 ,7:05 ,7:47 ,8:38 ,9:19 ,10:21 ,11:18 ,12:01 ,12:43 ,13:30 ,14:14 ,14:56 ,15:54 ,17:00 ,18:03 ,18:43 
Partenkirchen Alpspitzstraße 2,6:02 ,6:32 ,7:05 ,7:47 ,8:38 ,9:19 ,10:21 ,11:18 ,12:01 ,12:43 ,13:30 ,14:14 ,14:56 ,15:54 ,17:00 ,18:03 ,18:43 
Partenkirchen Achenfeldstraße 2,6:03 ,6:33 ,7:06 ,7:48 ,8:39 ,9:20 ,10:22 ,11:19 ,12:02 ,12:44 ,13:31 ,14:15 ,14:57 ,15:55 ,17:01 ,18:04 ,18:44 
Partenkirchen Kurpark 2,6:04 ,6:34 ,7:08 ,7:51 ,8:42 ,9:23 ,10:25 ,11:22 ,12:05 ,12:47 ,13:34 ,14:18 ,15:00 ,15:58 ,17:04 ,18:07 ,18:47 
Partenkirchen Bahnhof 2 ankunft,6:08 ,6:38 ,7:12 ,7:55 ,8:46 ,9:27 ,10:29 ,11:26 ,12:09 ,12:51 ,13:38 ,14:22 ,15:04 ,16:02 ,17:08 ,18:11 ,18:51 
Partenkirchen Bahnhof 2 abfahrt,6:08 ,6:38 ,7:12 ,7:55 ,8:46 ,9:27 ,10:29 ,11:26 ,12:09 ,12:51 ,13:38 ,14:22 ,15:04 ,16:02 ,17:08 ,18:11 ,18:51 
Partenkirchen Rathaus 2,6:09 ,6:39 ,7:13 ,7:56 ,8:47 ,9:28 ,10:30 ,11:27 ,12:10 ,12:52 ,13:39 ,14:23 ,15:05 ,16:03 ,17:09 ,18:12 ,18:52 
