Seefeld i. T. Bahnhof,Seefeld i. T. Hotel Metropol,Seefeld i. T. Birkenlift,Leutasch Unterkelle,Leutasch Gh Neuleutasch/Skilifte,Leutasch Weidach Kreithkapelle,Leutasch Weidach Gh Zum See,Leutasch Weidach Gh Zum See,Leutasch Weidach Quellenhof,Leutasch Weidach Föhrenwald,Leutasch Gasse Gh Rössl,Leutasch Gasse Naturwirt,Leutasch Ahrn,Leutasch Puitbach,Leutasch Reindlau,Leutasch Lochlehn,Leutasch Unterkirchen,Leutasch Gh Brücke,Leutasch Gh Mühle,Leutasch Staatsgrenze,Leutasch Geisterklamm,Mittenwald Dekan-Karl-Platz,Mittenwald Bahnhof/Postamt,Mittenwald Bahnhof/Postamt,Mittenwald Dekan-Karl-Platz,Scharnitz Gh Risserhof,Gießenbach Abzw Bahnhaltestelle,Seefeld i. T. Rosshütte,Seefeld i. T. Bahnhof,Seefeld i. T. Bahnhof,Reith b. S. Krinz,Reith b. S. Abzw Gschwandtkopf,Reith b. S. Auland,Reith b. S. Information,Reith b. S. Kirche,Leithen Gh Hirschen
,,,,,,,06:20,,,06:22,06:24,06:25,06:26,06:28,06:29,06:31,06:32,06:33,06:35,,,,,,,,,,,,,,,,
08:20,08:22,08:23,08:24,08:25,08:28,08:29,08:30,,,08:32,08:34,08:35,08:36,08:38,08:39,08:41,08:42,08:43,08:45,08:46,08:54,08:56,09:03,09:05,09:13,09:16,09:22,09:25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30,09:32,09:34,09:35,09:37,09:38,09:40
09:40,09:42,09:43,09:44,09:45,09:48,09:49,09:50,,,09:52,09:54,09:55,09:56,09:58,09:59,10:01,10:02,10:03,10:05,10:06,10:54,10:56,11:03,11:05,11:13,11:16,11:22,11:25,,,,,,,
10:20,10:22,10:23,10:24,10:25,10:28,10:29,10:30,,,10:32,10:34,10:35,10:36,10:38,10:39,10:41,10:42,10:43,10:45,10:46,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30,11:32,11:34,11:35,11:37,11:38,11:40
,,,,,,,11:45,11:46,11:50,11:52,11:54,11:55,11:56,11:58,11:59,12:01,12:02,12:03,12:05,12:06,,,,,,,,,,,,,,,
12:25,12:27,12:28,12:29,12:30,12:33,12:34,12:40,12:41,12:45,12:47,12:49,12:50,12:51,12:53,12:54,12:56,12:57,12:58,13:00,13:01,13:09,13:11,13:13,13:15,13:23,13:26,13:32,13:35,13:40,13:42,13:44,13:45,13:47,13:48,13:50
13:20,13:22,13:23,13:24,13:25,13:28,13:29,13:30,,,13:32,13:34,13:35,13:36,13:38,13:39,13:41,13:42,13:43,13:45,13:46,,,,,,,,,,,,,,,
14:20,14:22,14:23,14:24,14:25,14:28,14:29,14:30,,,14:32,14:34,14:35,14:36,14:38,14:39,14:41,14:42,14:43,14:45,14:46,14:54,14:56,15:03,15:05,15:13,15:16,15:22,15:25,15:30,15:32,15:34,15:35,15:37,15:38,15:40
,,,,,,,15:20,,,15:22,15:24,15:25,15:26,15:28,15:29,15:31,15:32,15:33,15:35,15:36,,,,,,,,,,,,,,,
16:20,16:22,16:23,16:24,16:25,16:28,16:29,16:30,,,16:32,16:34,16:35,16:36,16:38,16:39,16:41,16:42,16:43,16:45,16:46,16:54,16:56,17:03,17:05,17:13,17:16,17:22,17:25,17:30,17:32,17:34,17:35,17:37,17:38,17:40
,,,,,,,17:30,,,17:32,17:34,17:35,17:36,17:38,17:39,17:41,17:42,17:43,17:45,17:46,,,,,,,,,,,,,,,
