Fahrtnummer,1
Haltestellen,S
Grafenaschau Seniorenheim ab,06:30:00
Murnau Westried,06:34:00
Hermannswies Erholungsheim,06:35:00
Murnau Berggeist,06:36:00
Murnau Seeleiten,06:37:00
Murnau Klinik Hochried,06:38:00
Murnau Ramsachleite,06:39:00
Murnau Seniorenheim,06:40:00
Murnau Bahnhof an,06:45:00
Anschlußhinweis,
Zug nach München ab,06:55:00
Zug nach Garmisch-Partenk. ab,06:52:00
,
,
Fahrtnummer,2
Haltestellen,S
Murnau Bahnhof ab,13:50:00
Murnau Postamt,13:52:00
Murnau Seniorenheim,13:57:00
Murnau Klinik Hochried,13:59:00
Murnau Seeleiten,14:00:00
Murnau Berggeist,14:01:00
Hermannswies Erholungsheim,14:02:00
Murnau Westried,14:03:00
Grafenaschau Seniorenheim,14:05:00
Abzw. Grafenaschau,14:10:00
Abzw. Jägerhaus,14:14:00
Bad Kohlgrub Abzw. Bahnhof,14:16:00
Bad Kohlgrub Rathaus,14:17:00
