"","","","","",Montag - Freitag ,"","","","","",Samstag ,"","",Sonn- und Feiertag,""
Fahrtnummer ,001 ,003 ,005 ,105 ,007 009 011 ,013 ,217 ,117 ,019 ,601 ,603 605 ,607 ,701 ,703 705 ,707
Haltestellen ,S ,"",S ,F ,S S ,"",N ,F ,S ,"",G ,G,"","",""
Anschlußhinweis,"","","","","","","","","","","","","","",""
Bus aus Garmisch-Partenk. an ,6.14 ,10.23 ,11.19 ,11.19 ,12.47 ,15.55 ,"","",18.19 ,10.23 ,12.50 14.10 ,16.00 ,10.23 ,12.55 14.10 ,16.00
Zug aus Murnau an ,6.38 ,10.21 ,"",11.21 ,12.21 14.02 ,15.21 ,17.21 ,17.21 ,18.21 ,10.21 ,13.21 14.21 ,15.21 ,10.21 ,13.21 14.21 ,15.21
Oberammergau Bahnhof ab ,6.40 ,10.25 ,11.20 ,11.25 ,12.25 13.11 14.35 ,16.00 ,17.25 ,17.25 ,18.30 ,10.35 ,13.25 14.35 ,16.05 ,10.35 ,13.25 14.35 ,16.05
Oberammergau Eugen-Papst-Str. ,6.42 ,10.27 ,11.22 ,11.27 ,13.13 14.37 ,16.02 ,17.27 ,17.27 ,18.32 ,10.37 ,13.27 14.37 ,16.07 ,10.37 ,13.27 14.37 ,16.07
Oberammergau Tiroler Gasse ,"","",11.30 ,"",13.17 ,16.05 ,17.30 ,17.30,"","","","","","",""
Oberammergau Hexenstube ,6.44 ,10.29 ,11.32 ,11.29 ,13.20 14.39 ,16.07 ,17.32 ,17.32 ,18.34 ,10.39 ,13.29 14.39 ,16.09 ,10.39 ,13.29 14.39 ,16.09
Ettal Abzw. Zieglerhof ,"","",11.35 ,11.32 ,12.28 13.25 14.42 ,16.09 ,17.34 ,17.34 ,"",10.42 ,13.32 14.42 ,"",10.42 ,13.32 14.42,""
Ettal Klostergasthof ,"","",11.36 ,11.33 ,12.29 13.26 14.43 ,16.10 ,17.35 ,17.35 ,"",10.43 ,13.33 14.43 ,"",10.43 ,13.33 14.43,""
Ettal am Berg ,"","",11.38 ,11.35 ,12.30 13.28 14.45 ,16.12 ,17.37 ,17.37 ,"",10.45 ,13.35 14.45 ,"",10.45 ,13.35 14.45,""
Anschlußhinweis,"","","","","","","","","","","","","","",""
Bus aus Garmisch-Partenk. an ,"","",11.04 ,11.04 ,12.30 13.25 14.35 ,15.40 ,17.14 ,17.14 ,"",10.08 ,"","",10.08,"",""
Ettal Klostergasthof ab ,"","",11.40 ,11.37 ,12.31 13.31 14.47 ,16.14 ,17.39 ,17.39 ,"",10.47 ,13.37 14.47 ,"",10.47 ,13.37 14.47,""
Ettal Abzw. Zieglerhof ,"","",11.41 ,11.38 ,12.32 13.32 14.48 ,16.15 ,17.40 ,17.40 ,"",10.48 ,13.38 14.48 ,"",10.48 ,13.38 14.48,""
Ettaler Mühle ,6.49 ,10.34 ,11.43 ,11.40 ,12.34 13.33 14.50 ,16.17 ,17.42 ,17.42 ,18.39 ,10.50 ,13.40 14.50 ,16.14 ,10.50 ,13.40 14.50 ,16.14
Rahm ,6.52 ,10.37 ,11.46 ,11.43 ,12.37 13.36 14.53 ,16.19 ,17.44 ,17.44 ,18.42 ,10.53 ,13.43 14.53 ,16.17 ,10.53 ,13.43 14.53 ,16.17
Graswang Linderhofer Str. 1 ,6.53 ,10.38 ,11.47 ,11.44 ,12.38 13.37 14.54 ,16.20 ,17.45 ,17.45 ,18.43 ,10.54 ,13.44 14.54 ,16.18 ,10.54 ,13.44 14.54 ,16.18
Graswang ,6.54 ,10.39 ,11.48 ,11.45 ,12.39 13.39 14.55 ,16.21 ,17.46 ,17.46 ,18.44 ,10.55 ,13.45 14.55 ,16.19 ,10.55 ,13.45 14.55 ,16.19
Graswang Gröbl-Alm ,6.55 ,10.40 ,11.49 ,11.47 ,12.40 13.40 14.57 ,16.22 ,17.47 ,17.47 ,18.45 ,10.57 ,13.47 14.57 ,16.20 ,10.57 ,13.47 14.57 ,16.20
Linderhof Forsthaus ,7.01 ,10.46 ,11.54 ,11.53 ,12.45 13.45 15.03 ,16.27 ,17.52 ,17.52 ,18.51 ,11.03 ,13.53 15.03 ,16.26 ,11.03 ,13.53 15.03 ,16.26
Fahrtnummer ,002 ,004 ,006 ,008 ,108 ,010 ,012 ,020 ,014 ,216 ,116 ,018 ,602 ,604 ,606 ,608 ,702 ,704 ,706 ,708
Haltestellen ,S ,S ,"",S ,F ,S ,S ,"","",N ,F ,S ,"","",G ,G,"","","",""
Linderhof Schloß ab ,6.10 ,7.06 ,10.50 ,12.00 ,12.00 ,12.50 ,13.50 ,15.06 ,16.40 ,17.55 ,17.55 ,18.56 ,11.06 ,14.00 ,15.06 ,16.35 ,11.06 ,14.00 ,15.06 ,16.35
Linderhof Forsthaus ,6.12 ,7.08 ,10.52 ,12.01 ,12.02 ,12.51 ,13.51 ,15.08 ,16.42 ,17.57 ,17.57 ,18.58 ,11.08 ,14.02 ,15.08 ,16.37 ,11.08 ,14.02 ,15.08 ,16.37
Graswang Gröbl-Alm ,6.17 ,7.13 ,10.57 ,12.06 ,12.07 ,12.56 ,13.55 ,15.13 ,16.47 ,18.02 ,18.02 ,19.03 ,11.13 ,14.07 ,15.13 ,16.42 ,11.13 ,14.07 ,15.13 ,16.42
Graswang ,6.18 ,7.14 ,10.58 ,12.07 ,12.08 ,12.57 ,13.56 ,15.14 ,16.48 ,18.03 ,18.03 ,19.04 ,11.14 ,14.08 ,15.14 ,16.43 ,11.14 ,14.08 ,15.14 ,16.43
Graswang Linderhofer Str. 1 ,6.19 ,7.15 ,10.59 ,12.08 ,12.09 ,12.58 ,13.57 ,15.15 ,16.49 ,18.04 ,18.04 ,19.05 ,11.15 ,14.09 ,15.15 ,16.44 ,11.15 ,14.09 ,15.15 ,16.44
Rahm ,6.20 ,7.16 ,11.00 ,12.09 ,12.10 ,12.59 ,13.58 ,15.16 ,16.50 ,18.05 ,18.05 ,19.06 ,11.16 ,14.10 ,15.16 ,16.45 ,11.16 ,14.10 ,15.16 ,16.45
Ettaler Mühle ,6.23 ,7.19 ,11.03 ,12.12 ,12.13 ,13.02 ,14.01 ,15.19 ,16.53 ,18.08 ,18.08 ,19.09 ,11.19 ,14.13 ,15.19 ,16.48 ,11.19 ,14.13 ,15.19 ,16.48
Ettal Abzw. Zieglerhof ,"",7.20 ,"","",12.15 ,"",14.02 ,15.20 ,"",18.10 ,18.10 ,"",11.21 ,14.15 ,15.21 ,"",11.21 ,14.15 ,15.21,""
Ettal Klostergasthof ,"",7.21 ,"","",12.16 ,"",14.03 ,15.21 ,"",18.11 ,18.11 ,"",11.22 ,14.16 ,15.22 ,"",11.22 ,14.16 ,15.22,""
Ettal am Berg ,"",7.23 ,"","",12.18 ,"",14.05 ,15.23 ,"",18.15 ,18.15 ,"",11.24 ,14.18 ,15.24 ,"",11.24 ,14.18 ,15.24,""
Ettal Klostergasthof ,"",7.25 ,"","",12.20 ,"",14.07 ,15.26 ,"",18.17 ,18.17 ,"",11.26 ,14.20 ,15.26 ,"",11.26 ,14.20 ,15.26,""
Anschlußhinweis,"","","","","","","","","","","","","","","","","","","",""
Bus nach Garmisch-Partenk. ab ,"",7.49 ,"","","","",14.51 ,15.50 ,"",18.56 ,18.56 ,"","",14.38 ,"","","",14.38 ,15.35,""
Ettal Abzw. Zieglerhof ab ,"",7.26 ,"","",12.21 ,"",14.08 ,15.27 ,"",18.18 ,18.18 ,"",11.27 ,14.21 ,15.27 ,"",11.27 ,14.21 ,15.27,""
Oberammergau Rainenbichl ,6.27,"","","","","","","","","","","","","","","","","","",""
Oberammergau Aufackerstraße ,6.29,"","","","","","","","","","","","","","","","","","",""
Oberammergau Hexenstube ,"",7.29 ,11.07 ,12.16 ,12.24 ,"",14.11 ,15.30 ,16.57 ,18.21 ,18.21 ,19.13 ,11.30 ,14.24 ,15.30 ,16.52 ,11.30 ,14.24 ,15.30 ,16.52
Oberammergau Tiroler Gasse ,6.32 ,7.32 ,"",12.20 ,"","",14.13 ,15.32,"","","","","","","","","","","",""
Oberammergau Eugen-Papst-Str. ,6.34 ,"",11.09 ,12.22 ,12.26 ,"",14.16 ,15.35 ,16.59 ,18.23 ,18.23 ,19.15 ,11.32 ,14.26 ,15.32 ,16.54 ,11.32 ,14.26 ,15.32 ,16.54
Oberammergau Bahnhof an ,6.37 ,7.35 ,11.12 ,12.24 ,12.29 ,13.09 ,14.20 ,15.38 ,17.02 ,18.26 ,18.26 ,19.18 ,11.35 ,14.29 ,15.35 ,16.57 ,11.35 ,14.29 ,15.35 ,16.57
Anschlußhinweis,"","","","","","","","","","","","","","","","","","","",""
Zug nach Murnau ab ,6.44 ,7.39 ,11.39 ,12.30 ,"",13.19 ,14.39 ,"",17.39 ,18.39 ,18.39 ,19.39 ,11.39 ,14.39 ,15.39 ,17.39 ,11.39 ,14.39 ,15.39 ,17.39
Bus nach Garmisch-Partenk. ab ,6.49 ,7.35 ,11.15 ,13.08 ,"",13.51 ,14.35 ,"",17.05 ,18.40 ,18.40 ,"","",14.49 ,"",17.00 ,"","","",17.35
Haltestellen ,"",S ,"","",S ,F ,S ,"","","","","","","","","","","","","","",""
Anschlußhinweis,"","","","","","","","","","","","","","","","","","","","","",""
Bus aus Garmisch-Partenk. ,an ,6.14 ,9.15 ,10.23 ,11.19 ,11.19 ,"",12.47 ,"",15.55 ,"",18.19 ,10.23 ,12.50 ,14.10 ,16.00 ,17.25 ,10.23 ,12.55 ,14.10 ,16.00 ,17.2
Zug aus Murnau ,an ,6.38 ,9.21 ,10.21 ,"",11.21 ,12.21 ,"",14.02 ,15.21 ,17.21 ,18.21 ,10.21 ,13.21 ,14.21 ,15.21 ,17.21 ,10.21 ,13.21 ,14.21 ,15.21 ,17.2
Oberammergau Bahnhof ,ab ,6.40 ,9.30 ,10.25 ,11.20 ,11.25 ,12.25 ,13.11 ,14.35 ,16.00 ,17.25 ,18.30 ,10.35 ,13.25 ,14.35 ,16.05 ,17.25 ,10.35 ,13.25 ,14.35 ,16.05 ,17.2
Oberammergau Eugen-Papst-Str. ,"",6.42 ,9.32 ,10.27 ,11.22 ,11.27 ,"",13.13 ,14.37 ,16.02 ,17.27 ,18.32 ,10.37 ,13.27 ,14.37 ,16.07 ,17.27 ,10.37 ,13.27 ,14.37 ,16.07 ,17.2
Oberammergau Tiroler Gasse ,"","","","",11.30 ,"","",13.17 ,"",16.05 ,17.30,"","","","","","","","","","",""
Oberammergau Hexenstube ,"",6.44 ,9.34 ,10.29 ,11.32 ,11.29 ,"",13.20 ,14.39 ,16.07 ,17.32 ,18.34 ,10.39 ,13.29 ,14.39 ,16.09 ,17.29 ,10.39 ,13.29 ,14.39 ,16.09 ,17.2
Ettal Abzw. Zieglerhof ,"","",9.37 ,"",11.35 ,11.32 ,12.28 ,13.25 ,14.42 ,16.09 ,17.34 ,"",10.42 ,13.32 ,14.42 ,"",17.32 ,10.42 ,13.32 ,14.42 ,"",17.3
Ettal Klostergasthof ,"","",9.38 ,"",11.36 ,11.33 ,12.29 ,13.26 ,14.43 ,16.10 ,17.35 ,"",10.43 ,13.33 ,14.43 ,"",17.33 ,10.43 ,13.33 ,14.43 ,"",17.3
Ettal am Berg ,"","",9.40 ,"",11.38 ,11.35 ,12.30 ,13.28 ,14.45 ,16.12 ,17.37 ,"",10.45 ,13.35 ,14.45 ,"",17.35 ,10.45 ,13.35 ,14.45 ,"",17.3
Anschlußhinweis,"","","","","","","","","","","","","","","","","","","","","",""
Bus aus Garmisch-Partenk. ,an ,"",9.00 ,"",11.04 ,11.04 ,12.30 ,13.25 ,14.35 ,15.40 ,17.14 ,"",10.08 ,"","","",17.10 ,10.08 ,"","","",17.1
Ettal Klostergasthof ,ab ,"",9.42 ,"",11.40 ,11.37 ,12.31 ,13.31 ,14.47 ,16.14 ,17.39 ,"",10.47 ,13.37 ,14.47 ,"",17.37 ,10.47 ,13.37 ,14.47 ,"",17.3
Ettal Abzw. Zieglerhof ,"","",9.43 ,"",11.41 ,11.38 ,12.32 ,13.32 ,14.48 ,16.15 ,17.40 ,"",10.48 ,13.38 ,14.48 ,"",17.38 ,10.48 ,13.38 ,14.48 ,"",17.3
Ettaler Mühle ,"",6.49 ,9.45 ,10.34 ,11.43 ,11.40 ,12.34 ,13.33 ,14.50 ,16.17 ,17.42 ,18.39 ,10.50 ,13.40 ,14.50 ,16.14 ,17.40 ,10.50 ,13.40 ,14.50 ,16.14 ,17.4
Rahm ,"",6.52 ,9.48 ,10.37 ,11.46 ,11.43 ,12.37 ,13.36 ,14.53 ,16.19 ,17.44 ,18.42 ,10.53 ,13.43 ,14.53 ,16.17 ,17.43 ,10.53 ,13.43 ,14.53 ,16.17 ,17.4
Graswang Linderhofer Str. 1 ,"",6.53 ,9.49 ,10.38 ,11.47 ,11.44 ,12.38 ,13.37 ,14.54 ,16.20 ,17.45 ,18.43 ,10.54 ,13.44 ,14.54 ,16.18 ,17.44 ,10.54 ,13.44 ,14.54 ,16.18 ,17.4
Graswang ,"",6.54 ,9.50 ,10.39 ,11.48 ,11.45 ,12.39 ,13.39 ,14.55 ,16.21 ,17.46 ,18.44 ,10.55 ,13.45 ,14.55 ,16.19 ,17.45 ,10.55 ,13.45 ,14.55 ,16.19 ,17.4
Graswang Gröbl-Alm ,"",6.55 ,9.52 ,10.40 ,11.49 ,11.47 ,12.40 ,13.40 ,14.57 ,16.22 ,17.47 ,18.45 ,10.57 ,13.47 ,14.57 ,16.20 ,17.47 ,10.57 ,13.47 ,14.57 ,16.20 ,17.4
Linderhof Forsthaus ,"",7.01 ,9.58 ,10.46 ,11.54 ,11.53 ,12.45 ,13.45 ,15.03 ,16.27 ,17.52 ,18.51 ,11.03 ,13.53 ,15.03 ,16.26 ,17.53 ,11.03 ,13.53 ,15.03 ,16.26 ,17.5
Linderhof Schloß ,an ,7.05 ,10.00 ,10.50 ,11.58 ,11.55 ,12.49 ,13.48 ,15.05 ,16.29 ,17.54 ,18.55 ,11.05 ,13.55 ,15.05 ,16.30 ,17.55 ,11.05 ,13.55 ,15.05 ,16.30 ,17.5
Fahrtnummer ,002 ,004 ,022 ,006 ,008 ,108 ,010 ,012 ,020 ,014 ,016 ,018 ,602 ,604 ,606 ,608 ,610 ,702 ,704 ,706 ,708 ,710
Haltestellen ,S ,S ,"","",S ,F ,S ,"","","","","","","","","","","","","","",""
Linderhof Schloß ab ,6.10 ,7.06 ,10.00 ,10.50 ,12.00 ,12.00 ,12.50 ,13.50 ,15.06 ,16.40 ,17.55 ,18.56 ,11.06 ,14.00 ,15.06 ,16.35 ,17.55 ,11.06 ,14.00 ,15.06 ,16.35 ,17.55
Linderhof Forsthaus ,6.12 ,7.08 ,10.02 ,10.52 ,12.01 ,12.02 ,12.51 ,13.51 ,15.08 ,16.42 ,17.57 ,18.58 ,11.08 ,14.02 ,15.08 ,16.37 ,17.57 ,11.08 ,14.02 ,15.08 ,16.37 ,17.57
Graswang Gröbl-Alm ,6.17 ,7.13 ,10.07 ,10.57 ,12.06 ,12.07 ,12.56 ,13.55 ,15.13 ,16.47 ,18.02 ,19.03 ,11.13 ,14.07 ,15.13 ,16.42 ,18.02 ,11.13 ,14.07 ,15.13 ,16.42 ,18.02
Graswang ,6.18 ,7.14 ,10.08 ,10.58 ,12.07 ,12.08 ,12.57 ,13.56 ,15.14 ,16.48 ,18.03 ,19.04 ,11.14 ,14.08 ,15.14 ,16.43 ,18.03 ,11.14 ,14.08 ,15.14 ,16.43 ,18.03
Graswang Linderhofer Str. 1 ,6.19 ,7.15 ,10.09 ,10.59 ,12.08 ,12.09 ,12.58 ,13.57 ,15.15 ,16.49 ,18.04 ,19.05 ,11.15 ,14.09 ,15.15 ,16.44 ,18.04 ,11.15 ,14.09 ,15.15 ,16.44 ,18.04
Rahm ,6.20 ,7.16 ,10.10 ,11.00 ,12.09 ,12.10 ,12.59 ,13.58 ,15.16 ,16.50 ,18.05 ,19.06 ,11.16 ,14.10 ,15.16 ,16.45 ,18.05 ,11.16 ,14.10 ,15.16 ,16.45 ,18.05
Ettaler Mühle ,6.23 ,7.19 ,10.13 ,11.03 ,12.12 ,12.13 ,13.02 ,14.01 ,15.19 ,16.53 ,18.08 ,19.09 ,11.19 ,14.13 ,15.19 ,16.48 ,18.08 ,11.19 ,14.13 ,15.19 ,16.48 ,18.08
Ettal Abzw. Zieglerhof ,"",7.20 ,Y 10.15 ,"","",12.15 ,"",14.02 ,15.20 ,"",18.10 ,"",11.21 ,14.15 ,15.21 ,"",18.10 ,11.21 ,14.15 ,15.21 ,"",18.10
Ettal Klostergasthof ,"",7.21 ,Y 10.16 ,"","",12.16 ,"",14.03 ,15.21 ,"",18.11 ,"",11.22 ,14.16 ,15.22 ,"",18.11 ,11.22 ,14.16 ,15.22 ,"",18.11
Ettal am Berg ,"",7.23 ,Y 10.18 ,"","",12.18 ,"",14.05 ,15.23 ,"",18.15 ,"",11.24 ,14.18 ,15.24 ,"",18.15 ,11.24 ,14.18 ,15.24 ,"",18.15
Ettal Klostergasthof ,"",7.25 ,Y 10.20 ,"","",12.20 ,"",14.07 ,15.26 ,"",18.17 ,"",11.26 ,14.20 ,15.26 ,"",18.17 ,11.26 ,14.20 ,15.26 ,"",18.17
Anschlußhinweis,"","","","","","","","","","","","","","","","","","","","","",""
Bus nach Garmisch-Partenk. ab ,"",7.49 ,"","","","","",14.51 ,15.50 ,"",18.56 ,"","",14.38 ,"","",18.56 ,"",14.38 ,15.35 ,"",18.56
Ettal Abzw. Zieglerhof ab ,"",7.26 ,Y 10.21 ,"","",12.21 ,"",14.08 ,15.27 ,"",18.18 ,"",11.27 ,14.21 ,15.27 ,"",18.18 ,11.27 ,14.21 ,15.27 ,"",18.18
Oberammergau Rainenbichl ,6.27,"","","","","","","","","","","","","","","","","","","","",""
Oberammergau Aufackerstraße ,6.29,"","","","","","","","","","","","","","","","","","","","",""
