09180112;Bad Kohlgrub;;; ;;;;;
;;09162000;München, Landeshauptstadt;64;43;21;55;9;X
;;09162;München, Landeshauptstadt;64;43;21;55;9;X
;;09173;Bad Tölz-Wolfratshausen;16;12;4;X;X;X
;;09180112;Bad Kohlgrub;160;64;96;142;18;7
;;09180113;Bad Bayersoien;27;14;13;24;3;6
;;09180115;Ettal;13;9;4;10;3;X
;;09180117;Garmisch-Partenkirchen, Markt;52;28;24;X;X;4
;;09180124;Murnau a.Staffelsee, Markt;137;55;82;130;7;4
;;09180125;Oberammergau;51;16;35;46;5;3
;;09180129;Saulgrub;50;29;21;45;5;X
;;09180131;Schwaigen;10;4;6;X;X;X
;;09180132;Seehausen a.Staffelsee;10;5;5;X;X;X
;;09180134;Uffing a.Staffelsee;12;7;5;X;X;X
;;09180;Übrige Gemeinden (Kreis);39;26;13;X;X;X
;;09180;Garmisch-Partenkirchen;561;257;304;519;42;33
;;09184;München;10;7;3;X;X;X
;;09190141;Penzberg, Stadt;21;14;7;X;X;X
;;09190148;Schongau, Stadt;11;7;4;X;X;X
;;09190157;Weilheim i.OB, Stadt;29;15;14;X;X;3
;;09190;Übrige Gemeinden (Kreis);45;31;14;X;X;5
;;09190;Weilheim-Schongau;106;67;39;X;X;10
;;091;Übrige Kreise (Regierungsbezirk);36;27;9;32;4;5
;;091;Oberbayern;793;413;380;736;57;50
;;09;Übrige Regierungsbezirke (Bundesland);14;11;3;9;5;X
;;09;Bayern;807;424;383;745;62;51
;;ZZ;Übrige Bundesländer;27;21;6;X;X;X
;;ZZ;BUNDESGEBIET;834;445;389;772;62;52
;;ZZ;INSGESAMT;834;445;389;772;62;52
;;ZZ;Darunter: AUSPENDLER;674;381;293;630;44;45
;;ZZ;  davon: in die ABL;672;379;293;628;44;45
;;ZZ;  davon: in die NBL;X;X;X;X;X;X
09180113;Bad Bayersoien;;; ;;;;;
;;09162000;München, Landeshauptstadt;11;6;5;X;X;X
;;09162;München, Landeshauptstadt;11;6;5;X;X;X
;;09180112;Bad Kohlgrub;19;10;9;X;X;X
;;09180113;Bad Bayersoien;82;41;41;77;5;4
;;09180117;Garmisch-Partenkirchen, Markt;13;7;6;X;X;X
;;09180124;Murnau a.Staffelsee, Markt;29;11;18;X;X;4
;;09180125;Oberammergau;32;11;21;29;3;4
;;09180129;Saulgrub;36;20;16;X;X;X
;;09180;Übrige Gemeinden (Kreis);30;19;11;X;X;X
;;09180;Garmisch-Partenkirchen;241;119;122;231;10;16
;;09190140;Peiting, Markt;20;9;11;X;X;4
;;09190145;Rottenbuch;10;7;3;X;X;X
;;09190148;Schongau, Stadt;29;17;12;X;X;X
;;09190;Übrige Gemeinden (Kreis);49;30;19;X;X;9
;;09190;Weilheim-Schongau;108;63;45;X;X;16
;;091;Übrige Kreise (Regierungsbezirk);20;14;6;X;X;X
;;091;Oberbayern;380;202;178;365;15;34
;;097;Schwaben;13;X;X;X;X;X
;;09;Übrige Regierungsbezirke (Bundesland);X;X;X;X;X;X
;;09;Bayern;395;214;181;380;15;34
;;ZZ;Übrige Bundesländer;10;X;X;X;X;X
;;ZZ;BUNDESGEBIET;405;223;182;390;15;34
;;ZZ;INSGESAMT;405;223;182;390;15;34
;;ZZ;Darunter: AUSPENDLER;323;182;141;313;10;30
;;ZZ;  davon: in die ABL;321;180;141;311;10;30
;;ZZ;  davon: in die NBL;X;X;X;X;X;X
09180114;Eschenlohe;;; ;;;;;
;;09162000;München, Landeshauptstadt;38;17;21;X;X;X
;;09162;München, Landeshauptstadt;38;17;21;X;X;X
;;09173;Bad Tölz-Wolfratshausen;16;7;9;X;X;X
;;09180114;Eschenlohe;110;69;41;76;34;X
;;09180116;Farchant;17;9;8;X;X;X
;;09180117;Garmisch-Partenkirchen, Markt;131;51;80;126;5;12
;;09180124;Murnau a.Staffelsee, Markt;89;43;46;83;6;3
;;09180126;Oberau;16;9;7;X;X;X
;;09180127;Ohlstadt;18;7;11;X;X;X
;;09180;Übrige Gemeinden (Kreis);40;23;17;X;X;5
;;09180;Garmisch-Partenkirchen;421;211;210;374;47;24
;;09190141;Penzberg, Stadt;28;16;12;X;X;3
;;09190157;Weilheim i.OB, Stadt;19;15;4;X;X;X
;;09190;Übrige Gemeinden (Kreis);14;11;3;X;X;X
;;09190;Weilheim-Schongau;61;42;19;X;X;6
;;091;Übrige Kreise (Regierungsbezirk);21;18;3;X;X;X
;;091;Oberbayern;557;295;262;507;50;32
;;09;Übrige Regierungsbezirke (Bundesland);7;X;X;X;X;X
;;09;Bayern;564;301;263;513;51;33
;;ZZ;Übrige Bundesländer;11;6;5;X;X;X
;;ZZ;BUNDESGEBIET;575;307;268;524;51;33
;;ZZ;INSGESAMT;575;307;268;524;51;33
;;ZZ;Darunter: AUSPENDLER;465;238;227;448;17;32
;;ZZ;  davon: in die ABL;464;237;227;447;17;32
;;ZZ;  davon: in die NBL;X;X;X;X;X;X
09180115;Ettal;;; ;;;;;
;;09180115;Ettal;115;46;69;67;48;X
;;09180117;Garmisch-Partenkirchen, Markt;36;18;18;32;4;3
;;09180124;Murnau a.Staffelsee, Markt;17;8;9;X;X;X
;;09180125;Oberammergau;37;18;19;32;5;4
;;09180;Übrige Gemeinden (Kreis);32;18;14;X;X;3
;;09180;Garmisch-Partenkirchen;237;108;129;179;58;13
;;091;Übrige Kreise (Regierungsbezirk);23;18;5;X;X;X
;;091;Oberbayern;260;126;134;201;59;15
;;09;Übrige Regierungsbezirke (Bundesland);3;X;X;X;X;X
;;09;Bayern;263;129;134;203;60;15
;;ZZ;Übrige Bundesländer;4;X;X;X;X;X
;;ZZ;BUNDESGEBIET;267;133;134;207;60;15
;;ZZ;INSGESAMT;267;133;134;207;60;15
;;ZZ;Darunter: AUSPENDLER;152;87;65;140;12;13
;;ZZ;  davon: in die ABL;151;86;65;139;12;13
;;ZZ;  davon: in die NBL;X;X;X;X;X;X
09180116;Farchant;;; ;;;;;
;;064;Reg.-Bez. Darmstadt;14;11;3;X;X;X
;;06;Hessen;14;11;3;X;X;X
;;08;Baden-Württemberg;10;6;4;X;X;X
;;09162000;München, Landeshauptstadt;66;37;29;X;X;X
