09180112;Bad Kohlgrub;;; ;;;;;
;;09180112;Bad Kohlgrub;160;64;96;142;18;7
;;09180113;Bad Bayersoien;19;10;9;X;X;X
;;09180124;Murnau a.Staffelsee, Markt;11;3;8;X;X;X
;;09180125;Oberammergau;22;8;14;X;X;3
;;09180129;Saulgrub;44;16;28;X;X;3
;;09180135;Unterammergau;14;4;10;X;X;X
;;09180;Übrige Gemeinden (Kreis);30;13;17;26;4;X
;;09180;Garmisch-Partenkirchen;300;118;182;275;25;15
;;09190;Weilheim-Schongau;37;17;20;34;3;3
;;091;Übrige Kreise (Regierungsbezirk);8;4;4;X;X;X
;;091;Oberbayern;345;139;206;315;30;20
;;09;Übrige Regierungsbezirke (Bundesland);7;3;4;X;X;X
;;09;Bayern;352;142;210;321;31;20
;;ZZ;Übrige (Bundes)Länder;X;X;X;X;X;X
;;ZZ;BUNDESGEBIET;354;143;211;323;31;20
;;ZZ;INSGESAMT;354;143;211;323;31;20
;;ZZ;Darunter: EINPENDLER;194;79;115;181;13;13
;;ZZ;  davon: aus den ABL;194;79;115;181;13;13
09180113;Bad Bayersoien;;; ;;;;;
;;09180112;Bad Kohlgrub;27;14;13;24;3;6
;;09180113;Bad Bayersoien;82;41;41;77;5;4
;;09180;Übrige Gemeinden (Kreis);34;14;20;X;X;X
;;09180;Garmisch-Partenkirchen;143;69;74;135;8;12
;;09190;Weilheim-Schongau;50;23;27;X;X;9
;;091;Übrige Kreise (Regierungsbezirk);4;X;X;X;X;X
;;091;Oberbayern;197;94;103;188;9;22
;;09;Übrige Regierungsbezirke (Bundesland);9;3;6;X;X;X
;;09;Bayern;206;97;109;196;10;24
;;ZZ;Übrige (Bundes)Länder;3;X;X;X;X;X
;;ZZ;BUNDESGEBIET;209;99;110;199;10;24
;;ZZ;INSGESAMT;209;99;110;199;10;24
;;ZZ;Darunter: EINPENDLER;127;58;69;122;5;20
;;ZZ;  davon: aus den ABL;125;57;68;120;5;20
;;ZZ; davon: aus den NBL;X;X;X;X;X;X
09180114;Eschenlohe;;; ;;;;;
;;09173;Bad Tölz-Wolfratshausen;10;7;3;X;X;X
;;09180114;Eschenlohe;110;69;41;76;34;X
;;09180117;Garmisch-Partenkirchen, Markt;52;34;18;43;9;3
;;09180123;Mittenwald, Markt;13;X;X;X;X;X
;;09180124;Murnau a.Staffelsee, Markt;21;13;8;X;X;X
;;09180127;Ohlstadt;12;4;8;X;X;X
;;09180;Übrige Gemeinden (Kreis);70;54;16;X;X;4
;;09180;Garmisch-Partenkirchen;278;185;93;231;47;8
;;09190;Weilheim-Schongau;21;17;4;X;X;X
